,>ENST00000579765.1,ENSG00000199405.1,>ENST00000457883.1,>ENST00000578727.1,>ENST00000443486.1,>ENST00000604970.1,>ENST00000570133.1,>ENST00000559695.1,ENSG00000222329.1,>ENST00000509821.1,>ENST00000453556.1,>ENST00000471178.2,>ENST00000582280.1,>ENST00000604574.1,>ENST00000438536.1,>ENST00000472250.1,>ENST00000445100.1,>ENST00000417480.1,>ENST00000419096.1,>ENST00000573133.1,>ENST00000580065.1,>ENST00000430917.1,>ENST00000587900.1,>ENST00000420145.1,>ENST00000561684.1,>ENST00000474219.1,>ENST00000604148.1,>ENST00000448529.1,>ENST00000433227.1,>ENST00000526420.1,>ENST00000411645.1,>ENST00000424746.1,>ENST00000428299.2,>ENST00000453803.2,>ENST00000512654.2,>ENST00000404930.1,>ENST00000414143.1,ENSG00000139908.14
>ENST00000579765.1,0.0,7.0,10.0,11.0,8.0,9.0,10.0,9.0,8.0,7.0,9.0,8.0,10.0,8.0,11.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,11.0
ENSG00000199405.1,7.0,0.0,9.0,9.0,9.0,10.0,9.0,8.0,6.0,8.0,7.0,7.0,10.0,6.0,8.0,9.0,7.0,10.0,7.0,8.0,8.0,8.0,11.0,9.0,7.0,8.0,7.0,7.0,9.0,13.0,8.0,8.0,10.0,10.0,6.0,8.0,8.0,9.0
>ENST00000457883.1,10.0,9.0,0.0,11.0,12.0,12.0,10.0,10.0,8.0,10.0,11.0,10.0,10.0,9.0,12.0,10.0,11.0,10.0,9.0,8.0,10.0,12.0,11.0,11.0,10.0,11.0,10.0,11.0,9.0,11.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0
>ENST00000578727.1,11.0,9.0,11.0,0.0,11.0,12.0,10.0,11.0,8.0,10.0,11.0,13.0,11.0,9.0,10.0,11.0,12.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,12.0,10.0,9.0,10.0,9.0,11.0,9.0,13.0
>ENST00000443486.1,8.0,9.0,12.0,11.0,0.0,9.0,10.0,10.0,6.0,9.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0,11.0,9.0,10.0,11.0,9.0,9.0,9.0,8.0,11.0,11.0,10.0,8.0,14.0,9.0,10.0
>ENST00000604970.1,9.0,10.0,12.0,12.0,9.0,0.0,11.0,9.0,8.0,10.0,11.0,8.0,10.0,9.0,10.0,11.0,9.0,12.0,10.0,9.0,9.0,10.0,10.0,8.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,11.0,9.0,10.0,8.0,11.0,11.0,10.0
>ENST00000570133.1,10.0,9.0,10.0,10.0,10.0,11.0,0.0,10.0,8.0,9.0,11.0,9.0,10.0,9.0,11.0,12.0,9.0,10.0,9.0,11.0,10.0,10.0,9.0,10.0,10.0,11.0,8.0,12.0,9.0,11.0,9.0,9.0,12.0,10.0,11.0,11.0,11.0,12.0
>ENST00000559695.1,9.0,8.0,10.0,11.0,10.0,9.0,10.0,0.0,8.0,9.0,8.0,9.0,10.0,9.0,11.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,11.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,11.0,10.0
ENSG00000222329.1,8.0,6.0,8.0,8.0,6.0,8.0,8.0,8.0,0.0,8.0,10.0,8.0,8.0,7.0,9.0,8.0,8.0,10.0,7.0,6.0,9.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,7.0,8.0,9.0,7.0,8.0,8.0,7.0,9.0
>ENST00000509821.1,7.0,8.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,0.0,9.0,8.0,10.0,8.0,10.0,9.0,8.0,9.0,10.0,8.0,8.0,10.0,8.0,11.0,8.0,9.0,7.0,9.0,7.0,9.0,9.0,10.0,8.0,11.0,8.0,11.0,8.0,10.0
