,ENSG00000275266.1,>ENST00000514583.2,>ENST00000447700.1,>ENST00000433316.1,ENSG00000184388.5,ENSG00000200248.1,>ENST00000511037.1,ENSG00000139329.4
ENSG00000275266.1,0.0,6.0,6.0,6.0,10.0,6.0,6.0,10.0
>ENST00000514583.2,6.0,0.0,8.0,8.0,10.0,8.0,8.0,10.0
>ENST00000447700.1,6.0,8.0,0.0,128.0,14.0,7.0,9.0,11.0
>ENST00000433316.1,6.0,8.0,128.0,0.0,12.0,10.0,10.0,11.0
ENSG00000184388.5,10.0,10.0,14.0,12.0,0.0,8.0,10.0,13.0
ENSG00000200248.1,6.0,8.0,7.0,10.0,8.0,0.0,9.0,10.0
>ENST00000511037.1,6.0,8.0,9.0,10.0,10.0,9.0,0.0,12.0
ENSG00000139329.4,10.0,10.0,11.0,11.0,13.0,10.0,12.0,0.0
