,ENSG00000201300.1,>ENST00000435098.1,>ENST00000424829.1,>ENST00000400795.3,>ENST00000404100.1,>ENST00000450819.1,>ENST00000452572.1,>ENST00000496620.1,>ENST00000475260.1,>ENST00000526644.1,>ENST00000473622.1,>ENST00000452056.1,>ENST00000515611.1,>ENST00000433990.1,>ENST00000603634.1,>ENST00000450133.5,>ENST00000439253.1,>ENST00000258651.4,>ENST00000456151.1,>ENST00000509557.1,>ENST00000604731.1,>ENST00000611383.1,>ENST00000498163.1,>ENST00000416911.1
ENSG00000201300.1,0.0,7.0,8.0,8.0,7.0,6.0,7.0,9.0,7.0,8.0,8.0,7.0,9.0,10.0,7.0,8.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0
>ENST00000435098.1,7.0,0.0,9.0,8.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,7.0,8.0,10.0,10.0
>ENST00000424829.1,8.0,9.0,0.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,11.0,10.0,9.0,9.0,8.0,9.0,10.0,11.0,11.0,10.0,12.0,10.0,9.0,10.0
>ENST00000400795.3,8.0,8.0,10.0,0.0,8.0,11.0,9.0,11.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,11.0,10.0,8.0,8.0,10.0,8.0,10.0,9.0,9.0
>ENST00000404100.1,7.0,8.0,9.0,8.0,0.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,12.0,9.0,9.0,9.0,9.0,9.0,11.0
>ENST00000450819.1,6.0,8.0,10.0,11.0,8.0,0.0,9.0,9.0,9.0,8.0,7.0,13.0,9.0,12.0,8.0,10.0,11.0,9.0,8.0,12.0,8.0,10.0,10.0,8.0
>ENST00000452572.1,7.0,9.0,9.0,9.0,9.0,9.0,0.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,8.0,10.0,11.0,10.0,9.0,11.0,11.0,9.0
>ENST00000496620.1,9.0,10.0,10.0,11.0,9.0,9.0,11.0,0.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0
>ENST00000475260.1,7.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,0.0,9.0,12.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,10.0,7.0,9.0,168.0,10.0
>ENST00000526644.1,8.0,9.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,0.0,9.0,9.0,8.0,11.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0
>ENST00000473622.1,8.0,9.0,11.0,9.0,8.0,7.0,10.0,10.0,12.0,9.0,0.0,8.0,8.0,9.0,12.0,11.0,9.0,9.0,12.0,9.0,9.0,9.0,10.0,9.0
>ENST00000452056.1,7.0,7.0,10.0,9.0,9.0,13.0,10.0,9.0,9.0,9.0,8.0,0.0,7.0,8.0,10.0,11.0,8.0,8.0,11.0,8.0,7.0,8.0,9.0,7.0
>ENST00000515611.1,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,7.0,0.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,10.0,12.0
>ENST00000433990.1,10.0,9.0,9.0,9.0,10.0,12.0,10.0,9.0,10.0,11.0,9.0,8.0,9.0,0.0,9.0,11.0,8.0,11.0,11.0,9.0,8.0,12.0,9.0,9.0
>ENST00000603634.1,7.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,12.0,10.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0
>ENST00000450133.5,8.0,9.0,9.0,11.0,9.0,10.0,11.0,10.0,10.0,10.0,11.0,11.0,9.0,11.0,10.0,0.0,9.0,11.0,10.0,12.0,10.0,10.0,10.0,10.0
>ENST00000439253.1,6.0,9.0,10.0,10.0,9.0,11.0,8.0,9.0,9.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,0.0,10.0,9.0,9.0,9.0,11.0,11.0,8.0
>ENST00000258651.4,7.0,9.0,11.0,8.0,12.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,11.0,8.0,11.0,10.0,0.0,9.0,10.0,8.0,12.0,10.0,9.0
>ENST00000456151.1,7.0,9.0,11.0,8.0,9.0,8.0,11.0,10.0,8.0,10.0,12.0,11.0,9.0,11.0,9.0,10.0,9.0,9.0,0.0,9.0,8.0,12.0,11.0,9.0
>ENST00000509557.1,7.0,10.0,10.0,10.0,9.0,12.0,10.0,11.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,12.0,9.0,10.0,9.0,0.0,8.0,11.0,10.0,9.0
>ENST00000604731.1,6.0,7.0,12.0,8.0,9.0,8.0,9.0,10.0,7.0,9.0,9.0,7.0,8.0,8.0,8.0,10.0,9.0,8.0,8.0,8.0,0.0,8.0,7.0,7.0
>ENST00000611383.1,7.0,8.0,10.0,10.0,9.0,10.0,11.0,9.0,9.0,9.0,9.0,8.0,9.0,12.0,9.0,10.0,11.0,12.0,12.0,11.0,8.0,0.0,9.0,9.0
>ENST00000498163.1,6.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,168.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,11.0,10.0,11.0,10.0,7.0,9.0,0.0,9.0
>ENST00000416911.1,7.0,10.0,10.0,9.0,11.0,8.0,9.0,9.0,10.0,8.0,9.0,7.0,12.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,7.0,9.0,9.0,0.0
