,>ENST00000414799.2,>ENST00000438821.1,>ENST00000619266.1,>ENST00000604365.1,>ENST00000481618.2,>ENST00000493479.1,>ENST00000426099.2,>ENST00000565286.1,>ENST00000435260.1,>ENST00000411668.1,>ENST00000359695.4,>ENST00000436826.1
>ENST00000414799.2,0.0,8.0,7.0,10.0,7.0,8.0,9.0,8.0,10.0,10.0,9.0,6.0
>ENST00000438821.1,8.0,0.0,8.0,9.0,6.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0
>ENST00000619266.1,7.0,8.0,0.0,9.0,6.0,9.0,8.0,8.0,9.0,9.0,9.0,5.0
>ENST00000604365.1,10.0,9.0,9.0,0.0,9.0,10.0,8.0,10.0,11.0,11.0,10.0,7.0
>ENST00000481618.2,7.0,6.0,6.0,9.0,0.0,7.0,8.0,7.0,7.0,11.0,8.0,7.0
>ENST00000493479.1,8.0,9.0,9.0,10.0,7.0,0.0,10.0,10.0,11.0,12.0,9.0,7.0
>ENST00000426099.2,9.0,8.0,8.0,8.0,8.0,10.0,0.0,8.0,10.0,9.0,10.0,7.0
>ENST00000565286.1,8.0,9.0,8.0,10.0,7.0,10.0,8.0,0.0,11.0,10.0,10.0,7.0
>ENST00000435260.1,10.0,9.0,9.0,11.0,7.0,11.0,10.0,11.0,0.0,11.0,11.0,9.0
>ENST00000411668.1,10.0,10.0,9.0,11.0,11.0,12.0,9.0,10.0,11.0,0.0,11.0,8.0
>ENST00000359695.4,9.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,11.0,11.0,0.0,7.0
>ENST00000436826.1,6.0,9.0,5.0,7.0,7.0,7.0,7.0,7.0,9.0,8.0,7.0,0.0
