,>ENST00000400109.2,>ENST00000442113.1,>ENST00000493028.1,>ENST00000503894.1,>ENST00000565833.1,>ENST00000496596.1,>ENST00000456841.2,>ENST00000415580.2,ENSG00000130487.5
>ENST00000400109.2,0.0,9.0,10.0,10.0,13.0,9.0,9.0,10.0,11.0
>ENST00000442113.1,9.0,0.0,10.0,9.0,10.0,10.0,9.0,8.0,11.0
>ENST00000493028.1,10.0,10.0,0.0,9.0,10.0,10.0,9.0,8.0,11.0
>ENST00000503894.1,10.0,9.0,9.0,0.0,8.0,8.0,10.0,8.0,11.0
>ENST00000565833.1,13.0,10.0,10.0,8.0,0.0,13.0,10.0,8.0,13.0
>ENST00000496596.1,9.0,10.0,10.0,8.0,13.0,0.0,12.0,9.0,11.0
>ENST00000456841.2,9.0,9.0,9.0,10.0,10.0,12.0,0.0,8.0,9.0
>ENST00000415580.2,10.0,8.0,8.0,8.0,8.0,9.0,8.0,0.0,11.0
ENSG00000130487.5,11.0,11.0,11.0,11.0,13.0,11.0,9.0,11.0,0.0
