,>ENST00000585803.1,>ENST00000592511.1,>ENST00000565486.2,>ENST00000508347.1,>ENST00000611406.1,>ENST00000502312.1,>ENST00000423016.1,>ENST00000605314.1,>ENST00000431340.1,>ENST00000487308.1,>ENST00000424737.2,>ENST00000504322.5,>ENST00000454125.2,>ENST00000446071.1,>ENST00000436962.1,>ENST00000579581.1,>ENST00000429946.1,ENSG00000221717.1,>ENST00000520107.1,>ENST00000504393.1,>ENST00000606610.1,>ENST00000511513.1,>ENST00000432820.1,>ENST00000442739.1,>ENST00000511690.1,>ENST00000407656.1,>ENST00000400142.2,>ENST00000327891.6,>ENST00000433495.1,>ENST00000605154.1,>ENST00000423510.2,>ENST00000599104.1,>ENST00000441148.1,>ENST00000604674.1,>ENST00000415208.1,>ENST00000450202.2,>ENST00000564312.1,>ENST00000417020.1,>ENST00000509123.1,>ENST00000484521.1,>ENST00000587972.1,>ENST00000413425.1,>ENST00000452205.1
>ENST00000585803.1,0.0,8.0,8.0,11.0,10.0,9.0,13.0,11.0,10.0,8.0,11.0,10.0,11.0,11.0,11.0,9.0,9.0,10.0,10.0,10.0,10.0,12.0,12.0,11.0,11.0,11.0,11.0,13.0,12.0,9.0,11.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,11.0,9.0,12.0,10.0
>ENST00000592511.1,8.0,0.0,7.0,10.0,7.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,9.0,10.0,10.0,7.0,7.0,9.0,8.0,7.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,10.0,7.0,8.0,8.0,8.0,8.0
>ENST00000565486.2,8.0,7.0,0.0,9.0,7.0,8.0,9.0,8.0,10.0,9.0,8.0,10.0,8.0,8.0,8.0,10.0,7.0,8.0,8.0,9.0,8.0,7.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,7.0,10.0,9.0,10.0,8.0,8.0,10.0,8.0,12.0,7.0,9.0,9.0,8.0
>ENST00000508347.1,11.0,10.0,9.0,0.0,8.0,8.0,11.0,8.0,10.0,9.0,9.0,10.0,10.0,8.0,11.0,10.0,8.0,7.0,11.0,9.0,9.0,13.0,10.0,10.0,10.0,10.0,12.0,10.0,22.0,10.0,7.0,11.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0
>ENST00000611406.1,10.0,7.0,7.0,8.0,0.0,7.0,8.0,8.0,9.0,8.0,7.0,8.0,9.0,8.0,12.0,10.0,10.0,6.0,11.0,8.0,9.0,8.0,10.0,11.0,10.0,9.0,10.0,10.0,9.0,7.0,8.0,9.0,9.0,11.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0
>ENST00000502312.1,9.0,7.0,8.0,8.0,7.0,0.0,7.0,8.0,8.0,8.0,11.0,8.0,9.0,8.0,10.0,8.0,7.0,7.0,8.0,9.0,8.0,9.0,8.0,8.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,8.0,8.0,7.0,11.0,8.0,7.0,12.0,8.0,7.0,8.0,8.0,8.0
>ENST00000423016.1,13.0,7.0,9.0,11.0,8.0,7.0,0.0,10.0,10.0,8.0,8.0,8.0,8.0,7.0,9.0,8.0,10.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,10.0,9.0,9.0,8.0,11.0,8.0,5.0,9.0,8.0,8.0,10.0,7.0,8.0,7.0,8.0,9.0,7.0,9.0,8.0
>ENST00000605314.1,11.0,8.0,8.0,8.0,8.0,8.0,10.0,0.0,9.0,11.0,9.0,10.0,10.0,11.0,9.0,8.0,11.0,7.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,8.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,9.0,8.0,9.0,8.0
>ENST00000431340.1,10.0,7.0,10.0,10.0,9.0,8.0,10.0,9.0,0.0,9.0,9.0,10.0,12.0,8.0,8.0,10.0,8.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,11.0,9.0,10.0,10.0,8.0,8.0,7.0,9.0,9.0,9.0,8.0,10.0,8.0,10.0,10.0,10.0,8.0,9.0,8.0
>ENST00000487308.1,8.0,8.0,9.0,9.0,8.0,8.0,8.0,11.0,9.0,0.0,10.0,11.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,11.0,8.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,11.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,11.0
