,>ENST00000454392.1,>ENST00000522014.1,>ENST00000436163.2,>ENST00000424054.1,>ENST00000521306.1,>ENST00000611420.1,>ENST00000441944.2,>ENST00000476880.1,>ENST00000414801.1,>ENST00000407054.1,>ENST00000502880.1,>ENST00000510057.1,>ENST00000426257.1,>ENST00000545978.1,>ENST00000532869.2,>ENST00000413059.1,>ENST00000559068.2,>ENST00000418689.1,>ENST00000433031.1,ENSG00000253056.1,>ENST00000469424.1,>ENST00000604893.1,>ENST00000527940.1,>ENST00000464061.1,>ENST00000521750.3,>ENST00000517332.1,>ENST00000400154.1,>ENST00000414112.1,>ENST00000630678.1,>ENST00000441743.1,>ENST00000490340.1,>ENST00000566701.5,>ENST00000521887.1,>ENST00000603164.2,>ENST00000455326.2,>ENST00000556014.1
>ENST00000454392.1,0.0,9.0,11.0,8.0,8.0,11.0,8.0,9.0,8.0,8.0,10.0,7.0,11.0,8.0,8.0,10.0,6.0,9.0,8.0,6.0,11.0,8.0,11.0,9.0,10.0,10.0,8.0,8.0,11.0,8.0,8.0,12.0,8.0,7.0,7.0,11.0
>ENST00000522014.1,9.0,0.0,8.0,9.0,8.0,10.0,11.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,10.0,12.0,7.0,10.0,9.0,12.0,8.0,11.0,12.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,8.0,8.0,10.0
>ENST00000436163.2,11.0,8.0,0.0,8.0,8.0,9.0,10.0,8.0,8.0,9.0,9.0,11.0,8.0,8.0,9.0,9.0,8.0,11.0,9.0,8.0,8.0,10.0,10.0,8.0,10.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,10.0
>ENST00000424054.1,8.0,9.0,8.0,0.0,10.0,10.0,12.0,10.0,10.0,9.0,11.0,9.0,9.0,10.0,9.0,13.0,9.0,10.0,11.0,7.0,11.0,9.0,12.0,9.0,12.0,9.0,9.0,9.0,10.0,11.0,12.0,12.0,9.0,10.0,10.0,13.0
>ENST00000521306.1,8.0,8.0,8.0,10.0,0.0,10.0,9.0,8.0,9.0,8.0,11.0,11.0,8.0,8.0,8.0,9.0,8.0,10.0,10.0,8.0,9.0,8.0,10.0,10.0,8.0,8.0,7.0,8.0,10.0,9.0,10.0,9.0,8.0,8.0,9.0,11.0
>ENST00000611420.1,11.0,10.0,9.0,10.0,10.0,0.0,11.0,11.0,9.0,10.0,10.0,8.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,9.0,11.0,9.0,11.0,13.0,10.0,13.0,9.0,9.0,11.0,10.0,12.0,11.0,10.0,8.0,9.0,10.0
>ENST00000441944.2,8.0,11.0,10.0,12.0,9.0,11.0,0.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,11.0,10.0,9.0,10.0,12.0,7.0,12.0,10.0,9.0,10.0,11.0,12.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,8.0,8.0,11.0
>ENST00000476880.1,9.0,9.0,8.0,10.0,8.0,11.0,8.0,0.0,9.0,8.0,11.0,10.0,8.0,9.0,10.0,11.0,9.0,9.0,10.0,6.0,11.0,8.0,10.0,9.0,9.0,9.0,8.0,11.0,9.0,10.0,10.0,11.0,8.0,9.0,9.0,10.0
>ENST00000414801.1,8.0,10.0,8.0,10.0,9.0,9.0,9.0,9.0,0.0,8.0,11.0,7.0,8.0,9.0,9.0,9.0,8.0,8.0,10.0,7.0,8.0,8.0,9.0,11.0,9.0,10.0,11.0,10.0,8.0,8.0,9.0,8.0,7.0,7.0,9.0,8.0
>ENST00000407054.1,8.0,10.0,9.0,9.0,8.0,10.0,8.0,8.0,8.0,0.0,9.0,14.0,10.0,8.0,8.0,10.0,8.0,8.0,16.0,8.0,10.0,9.0,11.0,11.0,9.0,8.0,9.0,10.0,8.0,10.0,10.0,10.0,9.0,9.0,8.0,11.0
>ENST00000502880.1,10.0,10.0,9.0,11.0,11.0,10.0,9.0,11.0,11.0,9.0,0.0,12.0,8.0,9.0,10.0,10.0,8.0,12.0,10.0,8.0,10.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0
>ENST00000510057.1,7.0,8.0,11.0,9.0,11.0,8.0,9.0,10.0,7.0,14.0,12.0,0.0,8.0,7.0,9.0,10.0,8.0,10.0,9.0,7.0,9.0,10.0,8.0,9.0,10.0,10.0,8.0,8.0,10.0,9.0,9.0,11.0,9.0,8.0,9.0,10.0
>ENST00000426257.1,11.0,9.0,8.0,9.0,8.0,10.0,8.0,8.0,8.0,10.0,8.0,8.0,0.0,8.0,8.0,10.0,11.0,8.0,10.0,8.0,10.0,10.0,10.0,11.0,9.0,9.0,8.0,9.0,11.0,9.0,9.0,9.0,7.0,7.0,8.0,10.0
>ENST00000545978.1,8.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,7.0,8.0,0.0,7.0,9.0,7.0,10.0,10.0,6.0,9.0,8.0,9.0,7.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,10.0,8.0,8.0,6.0,8.0
>ENST00000532869.2,8.0,9.0,9.0,9.0,8.0,10.0,11.0,10.0,9.0,8.0,10.0,9.0,8.0,7.0,0.0,9.0,8.0,12.0,10.0,7.0,11.0,8.0,10.0,9.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0
>ENST00000413059.1,10.0,10.0,9.0,13.0,9.0,11.0,10.0,11.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,0.0,10.0,11.0,12.0,9.0,11.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,13.0,11.0,9.0,10.0,9.0,11.0
>ENST00000559068.2,6.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,11.0,7.0,8.0,10.0,0.0,12.0,11.0,7.0,9.0,9.0,9.0,9.0,8.0,8.0,12.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,7.0,8.0
>ENST00000418689.1,9.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,8.0,8.0,12.0,10.0,8.0,10.0,12.0,11.0,12.0,0.0,11.0,8.0,10.0,9.0,12.0,9.0,11.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,8.0,10.0,11.0
>ENST00000433031.1,8.0,12.0,9.0,11.0,10.0,10.0,12.0,10.0,10.0,16.0,10.0,9.0,10.0,10.0,10.0,12.0,11.0,11.0,0.0,10.0,11.0,9.0,11.0,12.0,12.0,10.0,9.0,12.0,9.0,10.0,11.0,11.0,10.0,10.0,9.0,11.0
ENSG00000253056.1,6.0,7.0,8.0,7.0,8.0,9.0,7.0,6.0,7.0,8.0,8.0,7.0,8.0,6.0,7.0,9.0,7.0,8.0,10.0,0.0,8.0,8.0,7.0,7.0,7.0,6.0,7.0,8.0,7.0,8.0,7.0,8.0,7.0,6.0,5.0,8.0
>ENST00000469424.1,11.0,10.0,8.0,11.0,9.0,11.0,12.0,11.0,8.0,10.0,10.0,9.0,10.0,9.0,11.0,11.0,9.0,10.0,11.0,8.0,0.0,11.0,11.0,11.0,11.0,10.0,8.0,9.0,9.0,10.0,9.0,14.0,10.0,10.0,10.0,12.0
>ENST00000604893.1,8.0,9.0,10.0,9.0,8.0,9.0,10.0,8.0,8.0,9.0,9.0,10.0,10.0,8.0,8.0,10.0,9.0,9.0,9.0,8.0,11.0,0.0,12.0,9.0,9.0,10.0,8.0,10.0,10.0,11.0,10.0,10.0,9.0,8.0,8.0,8.0
>ENST00000527940.1,11.0,12.0,10.0,12.0,10.0,11.0,9.0,10.0,9.0,11.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0,12.0,11.0,7.0,11.0,12.0,0.0,10.0,11.0,12.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,12.0,10.0,12.0
>ENST00000464061.1,9.0,8.0,8.0,9.0,10.0,13.0,10.0,9.0,11.0,11.0,8.0,9.0,11.0,7.0,9.0,10.0,9.0,9.0,12.0,7.0,11.0,9.0,10.0,0.0,10.0,9.0,9.0,10.0,11.0,9.0,9.0,10.0,10.0,9.0,7.0,11.0
>ENST00000521750.3,10.0,11.0,10.0,12.0,8.0,10.0,11.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,8.0,11.0,12.0,7.0,11.0,9.0,11.0,10.0,0.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,13.0
>ENST00000517332.1,10.0,12.0,8.0,9.0,8.0,13.0,12.0,9.0,10.0,8.0,9.0,10.0,9.0,8.0,8.0,10.0,8.0,8.0,10.0,6.0,10.0,10.0,12.0,9.0,11.0,0.0,8.0,8.0,11.0,9.0,11.0,13.0,9.0,8.0,8.0,10.0
>ENST00000400154.1,8.0,8.0,10.0,9.0,7.0,9.0,8.0,8.0,11.0,9.0,8.0,8.0,8.0,10.0,8.0,10.0,12.0,9.0,9.0,7.0,8.0,8.0,9.0,9.0,9.0,8.0,0.0,9.0,9.0,10.0,8.0,9.0,7.0,9.0,8.0,9.0
>ENST00000414112.1,8.0,9.0,9.0,9.0,8.0,9.0,8.0,11.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,12.0,8.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,0.0,8.0,9.0,10.0,10.0,9.0,7.0,8.0,10.0
>ENST00000630678.1,11.0,10.0,10.0,10.0,10.0,11.0,8.0,9.0,8.0,8.0,9.0,10.0,11.0,8.0,9.0,10.0,10.0,9.0,9.0,7.0,9.0,10.0,10.0,11.0,10.0,11.0,9.0,8.0,0.0,10.0,9.0,10.0,8.0,8.0,10.0,10.0
>ENST00000441743.1,8.0,10.0,10.0,11.0,9.0,10.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,9.0,10.0,8.0,10.0,11.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,0.0,10.0,11.0,10.0,9.0,10.0,9.0
>ENST00000490340.1,8.0,9.0,9.0,12.0,10.0,12.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,13.0,8.0,10.0,11.0,7.0,9.0,10.0,9.0,9.0,9.0,11.0,8.0,10.0,9.0,10.0,0.0,10.0,8.0,9.0,9.0,10.0
>ENST00000566701.5,12.0,10.0,10.0,12.0,9.0,11.0,10.0,11.0,8.0,10.0,9.0,11.0,9.0,10.0,10.0,11.0,9.0,10.0,11.0,8.0,14.0,10.0,11.0,10.0,9.0,13.0,9.0,10.0,10.0,11.0,10.0,0.0,10.0,12.0,9.0,9.0
>ENST00000521887.1,8.0,9.0,9.0,9.0,8.0,10.0,9.0,8.0,7.0,9.0,8.0,9.0,7.0,8.0,10.0,9.0,9.0,8.0,10.0,7.0,10.0,9.0,9.0,10.0,9.0,9.0,7.0,9.0,8.0,10.0,8.0,10.0,0.0,9.0,7.0,8.0
>ENST00000603164.2,7.0,8.0,9.0,10.0,8.0,8.0,8.0,9.0,7.0,9.0,8.0,8.0,7.0,8.0,9.0,10.0,9.0,8.0,10.0,6.0,10.0,8.0,12.0,9.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0,12.0,9.0,0.0,8.0,9.0
>ENST00000455326.2,7.0,8.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,6.0,8.0,9.0,7.0,10.0,9.0,5.0,10.0,8.0,10.0,7.0,8.0,8.0,8.0,8.0,10.0,10.0,9.0,9.0,7.0,8.0,0.0,9.0
>ENST00000556014.1,11.0,10.0,10.0,13.0,11.0,10.0,11.0,10.0,8.0,11.0,10.0,10.0,10.0,8.0,9.0,11.0,8.0,11.0,11.0,8.0,12.0,8.0,12.0,11.0,13.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,8.0,9.0,9.0,0.0
