,>ENST00000434743.1,>ENST00000555477.2,>ENST00000419540.1,>ENST00000426330.1,>ENST00000445147.1,>ENST00000582184.1,>ENST00000453979.2,>ENST00000614709.1,>ENST00000318104.2,>ENST00000586416.1,>ENST00000428812.1,>ENST00000622316.1,>ENST00000428850.2,>ENST00000510257.1,>ENST00000578523.1,>ENST00000429006.1,>ENST00000440317.1,>ENST00000620775.1,>ENST00000505315.1,>ENST00000412238.1,>ENST00000603609.1,>ENST00000633785.1,>ENST00000453822.1,>ENST00000468501.1,>ENST00000406496.1,ENSG00000238447.1,>ENST00000502445.1,>ENST00000521474.1,>ENST00000495689.1,>ENST00000486062.1
>ENST00000434743.1,0.0,12.0,9.0,9.0,10.0,10.0,11.0,9.0,11.0,11.0,11.0,11.0,9.0,8.0,9.0,10.0,10.0,10.0,8.0,9.0,12.0,9.0,10.0,10.0,11.0,8.0,9.0,8.0,10.0,9.0
>ENST00000555477.2,12.0,0.0,11.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,12.0,10.0,11.0,10.0,9.0,10.0,9.0,11.0,14.0,10.0,12.0,8.0,11.0,10.0,12.0,10.0
>ENST00000419540.1,9.0,11.0,0.0,9.0,10.0,10.0,11.0,8.0,13.0,9.0,10.0,8.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,12.0,7.0,10.0,8.0,9.0,8.0
>ENST00000426330.1,9.0,10.0,9.0,0.0,9.0,10.0,9.0,9.0,9.0,9.0,12.0,9.0,8.0,8.0,11.0,8.0,10.0,10.0,10.0,8.0,9.0,8.0,11.0,9.0,9.0,8.0,8.0,8.0,10.0,10.0
>ENST00000445147.1,10.0,10.0,10.0,9.0,0.0,9.0,10.0,10.0,12.0,10.0,11.0,8.0,10.0,9.0,11.0,12.0,9.0,11.0,8.0,10.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,10.0,10.0,9.0
>ENST00000582184.1,10.0,10.0,10.0,10.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,8.0,11.0,7.0,13.0,9.0,11.0,9.0,7.0,10.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,10.0,8.0
>ENST00000453979.2,11.0,12.0,11.0,9.0,10.0,9.0,0.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,11.0,10.0,11.0,8.0,10.0,10.0,10.0,12.0,9.0,9.0,7.0,10.0,9.0,10.0,8.0
>ENST00000614709.1,9.0,10.0,8.0,9.0,10.0,9.0,9.0,0.0,10.0,8.0,11.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,10.0,10.0,10.0,8.0,10.0,6.0,8.0,9.0,10.0,8.0
>ENST00000318104.2,11.0,10.0,13.0,9.0,12.0,9.0,9.0,10.0,0.0,10.0,11.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,7.0,10.0,8.0,11.0,11.0,9.0,14.0,8.0,10.0,9.0,10.0,9.0
>ENST00000586416.1,11.0,10.0,9.0,9.0,10.0,9.0,10.0,8.0,10.0,0.0,10.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,11.0,11.0,10.0,11.0,9.0,10.0,7.0,11.0,8.0,12.0,9.0
>ENST00000428812.1,11.0,10.0,10.0,12.0,11.0,9.0,9.0,11.0,11.0,10.0,0.0,9.0,14.0,10.0,12.0,10.0,10.0,11.0,9.0,13.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,9.0,11.0,11.0
>ENST00000622316.1,11.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0,11.0,9.0,0.0,8.0,8.0,9.0,11.0,8.0,9.0,8.0,7.0,7.0,7.0,9.0,9.0,9.0,6.0,8.0,7.0,10.0,8.0
>ENST00000428850.2,9.0,11.0,10.0,8.0,10.0,11.0,10.0,8.0,10.0,9.0,14.0,8.0,0.0,8.0,9.0,9.0,11.0,9.0,10.0,11.0,8.0,10.0,11.0,9.0,11.0,8.0,8.0,8.0,11.0,9.0
>ENST00000510257.1,8.0,10.0,8.0,8.0,9.0,7.0,9.0,9.0,8.0,9.0,10.0,8.0,8.0,0.0,8.0,9.0,9.0,11.0,7.0,7.0,9.0,7.0,10.0,8.0,9.0,5.0,9.0,8.0,9.0,9.0
>ENST00000578523.1,9.0,12.0,9.0,11.0,11.0,13.0,9.0,9.0,10.0,9.0,12.0,9.0,9.0,8.0,0.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,7.0,10.0,9.0,9.0,10.0
>ENST00000429006.1,10.0,10.0,10.0,8.0,12.0,9.0,11.0,10.0,10.0,9.0,10.0,11.0,9.0,9.0,10.0,0.0,10.0,9.0,8.0,9.0,11.0,15.0,11.0,9.0,11.0,8.0,9.0,9.0,11.0,9.0
>ENST00000440317.1,10.0,11.0,9.0,10.0,9.0,11.0,10.0,9.0,10.0,9.0,10.0,8.0,11.0,9.0,10.0,10.0,0.0,10.0,10.0,12.0,9.0,10.0,10.0,11.0,9.0,8.0,9.0,9.0,9.0,11.0
>ENST00000620775.1,10.0,10.0,9.0,10.0,11.0,9.0,11.0,9.0,10.0,9.0,11.0,9.0,9.0,11.0,10.0,9.0,10.0,0.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,7.0,12.0,8.0,12.0,9.0
>ENST00000505315.1,8.0,9.0,10.0,10.0,8.0,7.0,8.0,8.0,7.0,8.0,9.0,8.0,10.0,7.0,9.0,8.0,10.0,9.0,0.0,7.0,10.0,9.0,8.0,7.0,8.0,6.0,8.0,7.0,8.0,9.0
>ENST00000412238.1,9.0,10.0,10.0,8.0,10.0,10.0,10.0,8.0,10.0,11.0,13.0,7.0,11.0,7.0,9.0,9.0,12.0,8.0,7.0,0.0,8.0,9.0,10.0,10.0,9.0,8.0,9.0,7.0,9.0,8.0
>ENST00000603609.1,12.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0,11.0,10.0,7.0,8.0,9.0,10.0,11.0,9.0,10.0,10.0,8.0,0.0,11.0,10.0,9.0,8.0,6.0,8.0,8.0,9.0,8.0
>ENST00000633785.1,9.0,11.0,10.0,8.0,10.0,8.0,10.0,10.0,11.0,10.0,10.0,7.0,10.0,7.0,9.0,15.0,10.0,9.0,9.0,9.0,11.0,0.0,10.0,9.0,9.0,6.0,8.0,9.0,10.0,8.0
>ENST00000453822.1,10.0,14.0,10.0,11.0,10.0,9.0,12.0,10.0,11.0,11.0,10.0,9.0,11.0,10.0,9.0,11.0,10.0,10.0,8.0,10.0,10.0,10.0,0.0,11.0,9.0,7.0,9.0,8.0,610.0,9.0
>ENST00000468501.1,10.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,11.0,10.0,7.0,10.0,9.0,9.0,11.0,0.0,12.0,6.0,9.0,8.0,10.0,11.0
>ENST00000406496.1,11.0,12.0,12.0,9.0,10.0,9.0,9.0,10.0,14.0,10.0,10.0,9.0,11.0,9.0,9.0,11.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,12.0,0.0,8.0,9.0,9.0,9.0,9.0
ENSG00000238447.1,8.0,8.0,7.0,8.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,6.0,8.0,5.0,7.0,8.0,8.0,7.0,6.0,8.0,6.0,6.0,7.0,6.0,8.0,0.0,7.0,7.0,7.0,7.0
>ENST00000502445.1,9.0,11.0,10.0,8.0,9.0,8.0,10.0,8.0,10.0,11.0,10.0,8.0,8.0,9.0,10.0,9.0,9.0,12.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,7.0,0.0,15.0,9.0,8.0
>ENST00000521474.1,8.0,10.0,8.0,8.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,7.0,8.0,8.0,9.0,9.0,9.0,8.0,7.0,7.0,8.0,9.0,8.0,8.0,9.0,7.0,15.0,0.0,13.0,9.0
>ENST00000495689.1,10.0,12.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,11.0,10.0,11.0,9.0,9.0,11.0,9.0,12.0,8.0,9.0,9.0,10.0,610.0,10.0,9.0,7.0,9.0,13.0,0.0,9.0
>ENST00000486062.1,9.0,10.0,8.0,10.0,9.0,8.0,8.0,8.0,9.0,9.0,11.0,8.0,9.0,9.0,10.0,9.0,11.0,9.0,9.0,8.0,8.0,8.0,9.0,11.0,9.0,7.0,8.0,9.0,9.0,0.0
