,>ENST00000338964.6,>ENST00000442276.1,>ENST00000423806.2,>ENST00000566360.1,>ENST00000555160.2,>ENST00000520874.1,>ENST00000449817.1,>ENST00000402707.1,>ENST00000442229.2,>ENST00000622156.1,>ENST00000443549.1,>ENST00000454630.1,>ENST00000433620.1,>ENST00000564116.1,>ENST00000440127.1,>ENST00000521318.1,>ENST00000414735.2,>ENST00000605633.1,>ENST00000414627.1,>ENST00000489915.1,>ENST00000492017.3,>ENST00000565168.1,>ENST00000513426.1,>ENST00000557444.5,ENSG00000252089.1,>ENST00000619081.1
>ENST00000338964.6,0.0,8.0,9.0,10.0,13.0,9.0,11.0,9.0,11.0,11.0,9.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,8.0,10.0,9.0,11.0,11.0,16.0,8.0,9.0
>ENST00000442276.1,8.0,0.0,9.0,8.0,9.0,10.0,11.0,8.0,12.0,11.0,9.0,11.0,9.0,12.0,10.0,10.0,12.0,10.0,8.0,10.0,11.0,9.0,10.0,10.0,8.0,8.0
>ENST00000423806.2,9.0,9.0,0.0,11.0,8.0,10.0,8.0,9.0,9.0,9.0,7.0,8.0,8.0,11.0,11.0,10.0,8.0,9.0,6.0,10.0,8.0,9.0,10.0,10.0,10.0,11.0
>ENST00000566360.1,10.0,8.0,11.0,0.0,8.0,9.0,9.0,8.0,9.0,11.0,10.0,10.0,9.0,13.0,10.0,8.0,9.0,9.0,8.0,10.0,9.0,8.0,11.0,11.0,8.0,9.0
>ENST00000555160.2,13.0,9.0,8.0,8.0,0.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,10.0,8.0,10.0,11.0,9.0,10.0,7.0,10.0,8.0,8.0,9.0,10.0,8.0,8.0
>ENST00000520874.1,9.0,10.0,10.0,9.0,9.0,0.0,11.0,9.0,10.0,8.0,11.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,11.0,10.0,10.0,7.0,9.0
>ENST00000449817.1,11.0,11.0,8.0,9.0,10.0,11.0,0.0,10.0,10.0,10.0,9.0,11.0,10.0,10.0,9.0,8.0,11.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0
>ENST00000402707.1,9.0,8.0,9.0,8.0,8.0,9.0,10.0,0.0,8.0,14.0,9.0,10.0,8.0,9.0,10.0,8.0,9.0,8.0,7.0,10.0,10.0,8.0,10.0,9.0,7.0,8.0
>ENST00000442229.2,11.0,12.0,9.0,9.0,9.0,10.0,10.0,8.0,0.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,7.0,9.0,10.0,10.0,9.0,11.0,10.0,9.0
>ENST00000622156.1,11.0,11.0,9.0,11.0,9.0,8.0,10.0,14.0,9.0,0.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,12.0,12.0,8.0,9.0
