,>ENST00000468934.1,>ENST00000603988.1,>ENST00000526681.1,>ENST00000421279.1,>ENST00000449138.1,ENSG00000222937.1,>ENST00000423138.2,ENSG00000210678.1,>ENST00000519036.1,>ENST00000421494.1,>ENST00000440618.2,>ENST00000550421.1,>ENST00000621022.1,>ENST00000509786.1,>ENST00000522410.1,>ENST00000468797.1,>ENST00000554613.1,>ENST00000610519.1,>ENST00000526649.1,>ENST00000418340.1,>ENST00000423102.2,>ENST00000418510.1,>ENST00000399411.2,>ENST00000515712.1,>ENST00000445695.1,>ENST00000447760.1,>ENST00000440018.1,>ENST00000450488.1,>ENST00000571869.1,>ENST00000430810.1
>ENST00000468934.1,0.0,9.0,9.0,9.0,8.0,8.0,10.0,7.0,9.0,8.0,9.0,9.0,6.0,9.0,6.0,9.0,9.0,8.0,9.0,10.0,8.0,10.0,9.0,9.0,11.0,8.0,9.0,10.0,9.0,9.0
>ENST00000603988.1,9.0,0.0,10.0,9.0,8.0,8.0,10.0,7.0,8.0,13.0,12.0,11.0,8.0,9.0,6.0,9.0,9.0,9.0,11.0,10.0,9.0,10.0,10.0,10.0,11.0,9.0,8.0,11.0,9.0,8.0
>ENST00000526681.1,9.0,10.0,0.0,9.0,11.0,11.0,11.0,6.0,9.0,8.0,7.0,9.0,10.0,11.0,8.0,11.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,8.0,9.0,11.0,10.0,9.0,9.0
>ENST00000421279.1,9.0,9.0,9.0,0.0,10.0,7.0,11.0,8.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0,9.0,11.0,10.0,9.0,8.0,10.0,11.0,10.0,9.0,12.0,10.0,10.0,9.0,9.0
>ENST00000449138.1,8.0,8.0,11.0,10.0,0.0,7.0,10.0,11.0,9.0,8.0,25.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0
ENSG00000222937.1,8.0,8.0,11.0,7.0,7.0,0.0,8.0,6.0,7.0,8.0,7.0,9.0,5.0,9.0,5.0,8.0,7.0,7.0,9.0,8.0,9.0,8.0,8.0,7.0,8.0,7.0,7.0,9.0,7.0,7.0
>ENST00000423138.2,10.0,10.0,11.0,11.0,10.0,8.0,0.0,13.0,11.0,11.0,9.0,10.0,9.0,10.0,7.0,10.0,10.0,11.0,10.0,9.0,11.0,10.0,11.0,12.0,10.0,10.0,11.0,11.0,9.0,10.0
ENSG00000210678.1,7.0,7.0,6.0,8.0,11.0,6.0,13.0,0.0,9.0,10.0,8.0,10.0,6.0,10.0,5.0,8.0,10.0,8.0,10.0,7.0,9.0,10.0,9.0,8.0,8.0,8.0,7.0,8.0,7.0,9.0
>ENST00000519036.1,9.0,8.0,9.0,9.0,9.0,7.0,11.0,9.0,0.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,11.0,10.0,11.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,11.0,9.0
>ENST00000421494.1,8.0,13.0,8.0,9.0,8.0,8.0,11.0,10.0,9.0,0.0,7.0,7.0,8.0,8.0,7.0,8.0,9.0,10.0,10.0,10.0,8.0,9.0,15.0,7.0,8.0,10.0,9.0,9.0,7.0,9.0
>ENST00000440618.2,9.0,12.0,7.0,9.0,25.0,7.0,9.0,8.0,9.0,7.0,0.0,8.0,7.0,11.0,6.0,7.0,8.0,8.0,8.0,10.0,9.0,9.0,13.0,9.0,9.0,9.0,9.0,11.0,8.0,9.0
>ENST00000550421.1,9.0,11.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,7.0,8.0,0.0,9.0,9.0,8.0,9.0,10.0,11.0,11.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,8.0
>ENST00000621022.1,6.0,8.0,10.0,9.0,8.0,5.0,9.0,6.0,8.0,8.0,7.0,9.0,0.0,7.0,6.0,8.0,8.0,8.0,9.0,7.0,7.0,9.0,8.0,8.0,8.0,8.0,8.0,10.0,8.0,10.0
>ENST00000509786.1,9.0,9.0,11.0,11.0,10.0,9.0,10.0,10.0,10.0,8.0,11.0,9.0,7.0,0.0,6.0,8.0,12.0,9.0,10.0,9.0,8.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,9.0
>ENST00000522410.1,6.0,6.0,8.0,9.0,8.0,5.0,7.0,5.0,8.0,7.0,6.0,8.0,6.0,6.0,0.0,7.0,8.0,7.0,8.0,5.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,8.0,7.0,6.0
>ENST00000468797.1,9.0,9.0,11.0,10.0,8.0,8.0,10.0,8.0,9.0,8.0,7.0,9.0,8.0,8.0,7.0,0.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0
>ENST00000554613.1,9.0,9.0,8.0,9.0,9.0,7.0,10.0,10.0,11.0,9.0,8.0,10.0,8.0,12.0,8.0,10.0,0.0,11.0,11.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0
>ENST00000610519.1,8.0,9.0,9.0,11.0,9.0,7.0,11.0,8.0,10.0,10.0,8.0,11.0,8.0,9.0,7.0,9.0,11.0,0.0,9.0,8.0,9.0,10.0,12.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0
>ENST00000526649.1,9.0,11.0,9.0,10.0,10.0,9.0,10.0,10.0,11.0,10.0,8.0,11.0,9.0,10.0,8.0,9.0,11.0,9.0,0.0,9.0,10.0,10.0,11.0,10.0,10.0,9.0,11.0,9.0,9.0,10.0
>ENST00000418340.1,10.0,10.0,10.0,9.0,8.0,8.0,9.0,7.0,9.0,10.0,10.0,8.0,7.0,9.0,5.0,10.0,8.0,8.0,9.0,0.0,8.0,9.0,12.0,8.0,8.0,9.0,9.0,11.0,8.0,9.0
>ENST00000423102.2,8.0,9.0,10.0,8.0,9.0,9.0,11.0,9.0,10.0,8.0,9.0,9.0,7.0,8.0,7.0,9.0,9.0,9.0,10.0,8.0,0.0,12.0,9.0,8.0,9.0,10.0,9.0,11.0,9.0,10.0
>ENST00000418510.1,10.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,7.0,10.0,10.0,10.0,10.0,9.0,12.0,0.0,9.0,10.0,11.0,9.0,11.0,10.0,12.0,11.0
>ENST00000399411.2,9.0,10.0,10.0,11.0,9.0,8.0,11.0,9.0,9.0,15.0,13.0,10.0,8.0,11.0,8.0,9.0,10.0,12.0,11.0,12.0,9.0,9.0,0.0,11.0,9.0,11.0,9.0,11.0,11.0,10.0
>ENST00000515712.1,9.0,10.0,10.0,10.0,9.0,7.0,12.0,8.0,9.0,7.0,9.0,10.0,8.0,11.0,8.0,9.0,9.0,10.0,10.0,8.0,8.0,10.0,11.0,0.0,11.0,11.0,9.0,13.0,11.0,8.0
>ENST00000445695.1,11.0,11.0,8.0,9.0,9.0,8.0,10.0,8.0,10.0,8.0,9.0,9.0,8.0,10.0,7.0,9.0,9.0,9.0,10.0,8.0,9.0,11.0,9.0,11.0,0.0,9.0,9.0,11.0,12.0,9.0
>ENST00000447760.1,8.0,9.0,9.0,12.0,10.0,7.0,10.0,8.0,10.0,10.0,9.0,9.0,8.0,10.0,7.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,11.0,11.0,9.0,0.0,9.0,10.0,10.0,10.0
>ENST00000440018.1,9.0,8.0,11.0,10.0,9.0,7.0,11.0,7.0,10.0,9.0,9.0,11.0,8.0,10.0,7.0,9.0,8.0,9.0,11.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,0.0,11.0,9.0,14.0
>ENST00000450488.1,10.0,11.0,10.0,10.0,10.0,9.0,11.0,8.0,9.0,9.0,11.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,11.0,11.0,10.0,11.0,13.0,11.0,10.0,11.0,0.0,9.0,9.0
>ENST00000571869.1,9.0,9.0,9.0,9.0,10.0,7.0,9.0,7.0,11.0,7.0,8.0,9.0,8.0,9.0,7.0,8.0,9.0,9.0,9.0,8.0,9.0,12.0,11.0,11.0,12.0,10.0,9.0,9.0,0.0,8.0
>ENST00000430810.1,9.0,8.0,9.0,9.0,9.0,7.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,6.0,8.0,9.0,11.0,10.0,9.0,10.0,11.0,10.0,8.0,9.0,10.0,14.0,9.0,8.0,0.0
