,>ENST00000435997.2,>ENST00000458074.1,>ENST00000440167.1,>ENST00000525324.1,>ENST00000613408.1,>ENST00000514084.1,>ENST00000431013.1,>ENST00000432077.2,>ENST00000563532.1,>ENST00000438328.1,>ENST00000617613.1,>ENST00000424157.2,>ENST00000438469.2,>ENST00000429856.1,>ENST00000531328.1,>ENST00000520516.1,>ENST00000615883.1,>ENST00000515046.2,ENSG00000100258.17,>ENST00000492925.1,>ENST00000482727.1,>ENST00000574825.1,>ENST00000424182.1,>ENST00000443452.1,>ENST00000447107.1,>ENST00000454560.2,>ENST00000435137.1,>ENST00000456901.1,>ENST00000529200.1,>ENST00000424470.1,>ENST00000527117.1,>ENST00000392131.3,>ENST00000413417.1,>ENST00000507418.6,>ENST00000529914.1,>ENST00000558497.1,>ENST00000514280.1,>ENST00000419457.1,>ENST00000432517.1,>ENST00000522384.2,>ENST00000416718.2,>ENST00000445384.1,>ENST00000603850.1,>ENST00000605378.1,>ENST00000604953.1,>ENST00000468034.1,>ENST00000426656.2,>ENST00000430443.1,>ENST00000507985.1,>ENST00000438556.1,>ENST00000593340.1,>ENST00000605565.1,>ENST00000449978.2,>ENST00000400791.4,>ENST00000439448.2,>ENST00000529569.1
>ENST00000435997.2,0.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0,11.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,12.0,10.0,9.0,9.0,8.0,8.0,10.0,8.0,8.0,9.0,11.0,11.0,10.0,8.0,10.0,9.0,8.0,8.0,9.0,10.0,8.0,8.0,8.0,10.0,9.0,9.0,14.0,7.0,9.0,8.0,10.0,13.0,9.0
>ENST00000458074.1,9.0,0.0,11.0,14.0,8.0,10.0,11.0,10.0,11.0,9.0,10.0,11.0,10.0,11.0,10.0,10.0,9.0,9.0,12.0,11.0,9.0,9.0,9.0,10.0,12.0,10.0,10.0,11.0,9.0,10.0,11.0,10.0,9.0,10.0,9.0,9.0,9.0,11.0,9.0,10.0,11.0,10.0,12.0,9.0,10.0,9.0,12.0,12.0,11.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0
>ENST00000440167.1,9.0,11.0,0.0,11.0,11.0,11.0,10.0,10.0,10.0,9.0,12.0,13.0,11.0,10.0,11.0,10.0,10.0,11.0,13.0,10.0,10.0,9.0,9.0,10.0,12.0,9.0,10.0,10.0,9.0,10.0,11.0,15.0,10.0,12.0,10.0,10.0,11.0,10.0,10.0,11.0,10.0,12.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,9.0,11.0,9.0,9.0,10.0,10.0
>ENST00000525324.1,9.0,14.0,11.0,0.0,11.0,12.0,11.0,9.0,12.0,13.0,11.0,13.0,11.0,10.0,10.0,12.0,12.0,11.0,12.0,11.0,11.0,10.0,10.0,12.0,12.0,10.0,11.0,12.0,10.0,11.0,11.0,10.0,12.0,10.0,11.0,10.0,14.0,12.0,11.0,11.0,10.0,10.0,12.0,10.0,10.0,11.0,15.0,10.0,12.0,11.0,10.0,10.0,10.0,10.0,12.0,10.0
>ENST00000613408.1,7.0,8.0,11.0,11.0,0.0,11.0,9.0,8.0,9.0,7.0,8.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,11.0,9.0,8.0,8.0,9.0,9.0,10.0,7.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,12.0,10.0,7.0,8.0,10.0,10.0,9.0,8.0,11.0,13.0,7.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,7.0,9.0,8.0,10.0
>ENST00000514084.1,9.0,10.0,11.0,12.0,11.0,0.0,9.0,8.0,10.0,10.0,10.0,11.0,10.0,10.0,9.0,12.0,8.0,9.0,11.0,11.0,11.0,8.0,9.0,10.0,10.0,8.0,9.0,11.0,9.0,10.0,9.0,9.0,14.0,12.0,9.0,9.0,9.0,11.0,10.0,10.0,13.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,11.0,9.0,11.0
>ENST00000431013.1,9.0,11.0,10.0,11.0,9.0,9.0,0.0,7.0,11.0,13.0,8.0,8.0,8.0,9.0,10.0,9.0,10.0,9.0,12.0,9.0,9.0,8.0,7.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,12.0,10.0,8.0,7.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,8.0,11.0,11.0,10.0,8.0,10.0,11.0,8.0,7.0,8.0,8.0,8.0,9.0
>ENST00000432077.2,9.0,10.0,10.0,9.0,8.0,8.0,7.0,0.0,10.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,11.0,10.0,8.0,9.0,9.0,9.0,9.0,8.0,11.0,9.0,9.0,8.0,9.0,8.0,10.0,8.0,7.0,8.0,10.0,9.0,9.0,9.0,7.0,8.0,11.0,8.0,10.0,7.0,9.0,9.0,10.0,9.0,8.0,8.0,7.0,11.0,10.0,12.0
>ENST00000563532.1,8.0,11.0,10.0,12.0,9.0,10.0,11.0,10.0,0.0,9.0,9.0,10.0,10.0,15.0,11.0,11.0,9.0,10.0,11.0,13.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,11.0,10.0,10.0,10.0,10.0,12.0,9.0,11.0,9.0,11.0,9.0,9.0,12.0,9.0,10.0,12.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,8.0,10.0,11.0
>ENST00000438328.1,11.0,9.0,9.0,13.0,7.0,10.0,13.0,9.0,9.0,0.0,9.0,8.0,12.0,10.0,9.0,10.0,8.0,8.0,10.0,9.0,11.0,9.0,10.0,10.0,11.0,9.0,9.0,11.0,9.0,10.0,10.0,9.0,11.0,10.0,14.0,9.0,9.0,11.0,8.0,10.0,9.0,10.0,14.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,7.0,9.0,10.0,11.0
>ENST00000617613.1,8.0,10.0,12.0,11.0,8.0,10.0,8.0,10.0,9.0,9.0,0.0,9.0,10.0,9.0,9.0,11.0,10.0,9.0,11.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0,9.0,11.0,12.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,11.0,8.0,9.0,9.0,9.0,12.0,9.0,9.0,10.0,11.0,10.0,9.0,10.0,9.0,10.0,8.0,8.0,10.0,11.0
>ENST00000424157.2,9.0,11.0,13.0,13.0,10.0,11.0,8.0,8.0,10.0,8.0,9.0,0.0,10.0,10.0,10.0,10.0,10.0,11.0,13.0,10.0,10.0,7.0,8.0,11.0,9.0,9.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,12.0,9.0,9.0,10.0,11.0,9.0,10.0,9.0,9.0,11.0,8.0,9.0,10.0,11.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0
>ENST00000438469.2,10.0,10.0,11.0,11.0,10.0,10.0,8.0,9.0,10.0,12.0,10.0,10.0,0.0,11.0,9.0,12.0,12.0,10.0,11.0,11.0,10.0,10.0,9.0,11.0,10.0,9.0,10.0,11.0,9.0,10.0,12.0,12.0,10.0,11.0,11.0,15.0,10.0,11.0,9.0,9.0,12.0,10.0,13.0,10.0,10.0,11.0,11.0,13.0,10.0,9.0,11.0,9.0,8.0,10.0,12.0,10.0
>ENST00000429856.1,9.0,11.0,10.0,10.0,9.0,10.0,9.0,10.0,15.0,10.0,9.0,10.0,11.0,0.0,9.0,9.0,9.0,9.0,11.0,10.0,10.0,8.0,11.0,10.0,13.0,9.0,9.0,10.0,10.0,10.0,12.0,11.0,11.0,11.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,11.0,35.0,9.0,18.0,10.0,8.0,11.0,8.0,9.0,9.0,9.0,12.0,11.0
>ENST00000531328.1,8.0,10.0,11.0,10.0,9.0,9.0,10.0,9.0,11.0,9.0,9.0,10.0,9.0,9.0,0.0,8.0,8.0,9.0,11.0,9.0,11.0,7.0,8.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,11.0,9.0,9.0,10.0,11.0,8.0,10.0,11.0,7.0,9.0,8.0,9.0,13.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0,8.0,11.0,13.0,11.0,9.0
>ENST00000520516.1,10.0,10.0,10.0,12.0,9.0,12.0,9.0,9.0,11.0,10.0,11.0,10.0,12.0,9.0,8.0,0.0,11.0,9.0,10.0,9.0,10.0,10.0,9.0,11.0,10.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,9.0,11.0,9.0,9.0,11.0,11.0,10.0,13.0,11.0,10.0,12.0,10.0,8.0,10.0,12.0,11.0,9.0,11.0,9.0,9.0,8.0,9.0,9.0,26.0
