,>ENST00000479895.1,>ENST00000392794.3,ENSG00000207365.1,>ENST00000329806.5,>ENST00000444653.1
>ENST00000479895.1,0.0,10.0,7.0,11.0,9.0
>ENST00000392794.3,10.0,0.0,7.0,11.0,9.0
ENSG00000207365.1,7.0,7.0,0.0,10.0,8.0
>ENST00000329806.5,11.0,11.0,10.0,0.0,9.0
>ENST00000444653.1,9.0,9.0,8.0,9.0,0.0
