,>ENST00000562317.1,>ENST00000533701.1,>ENST00000633895.1,>ENST00000517810.1,>ENST00000525753.1,ENSG00000238362.1,>ENST00000520479.1,>ENST00000425785.1,>ENST00000605040.1,>ENST00000454907.1,>ENST00000534163.1,>ENST00000424633.1,>ENST00000539268.1,>ENST00000624266.1,>ENST00000559957.1,>ENST00000440529.1,>ENST00000519599.1,>ENST00000433698.2,>ENST00000603103.1,>ENST00000436895.1,>ENST00000456635.1,>ENST00000505048.1,>ENST00000457352.3,>ENST00000421222.1,>ENST00000497389.6,>ENST00000467206.1,>ENST00000454518.1,>ENST00000421957.1,ENSG00000239030.1
>ENST00000562317.1,0.0,13.0,10.0,10.0,9.0,8.0,10.0,11.0,11.0,10.0,11.0,10.0,11.0,10.0,9.0,14.0,9.0,12.0,9.0,13.0,12.0,11.0,12.0,10.0,12.0,11.0,6.0,10.0,10.0
>ENST00000533701.1,13.0,0.0,8.0,9.0,8.0,7.0,7.0,11.0,11.0,13.0,13.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0,11.0,10.0,10.0,9.0,12.0,9.0,12.0,10.0,8.0,9.0,9.0
>ENST00000633895.1,10.0,8.0,0.0,8.0,7.0,7.0,8.0,8.0,8.0,10.0,8.0,9.0,9.0,10.0,8.0,10.0,9.0,10.0,7.0,10.0,8.0,9.0,11.0,7.0,10.0,8.0,6.0,9.0,7.0
>ENST00000517810.1,10.0,9.0,8.0,0.0,7.0,7.0,7.0,10.0,7.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,8.0,7.0,11.0,7.0
>ENST00000525753.1,9.0,8.0,7.0,7.0,0.0,7.0,8.0,10.0,8.0,10.0,10.0,8.0,9.0,10.0,8.0,8.0,7.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,7.0,9.0,7.0
ENSG00000238362.1,8.0,7.0,7.0,7.0,7.0,0.0,5.0,8.0,8.0,7.0,8.0,7.0,8.0,11.0,8.0,10.0,7.0,8.0,7.0,8.0,7.0,8.0,8.0,7.0,10.0,8.0,6.0,8.0,6.0
>ENST00000520479.1,10.0,7.0,8.0,7.0,8.0,5.0,0.0,9.0,7.0,9.0,8.0,7.0,8.0,8.0,7.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,7.0,10.0,8.0,8.0,9.0,8.0
>ENST00000425785.1,11.0,11.0,8.0,10.0,10.0,8.0,9.0,0.0,10.0,11.0,14.0,11.0,12.0,12.0,15.0,10.0,10.0,9.0,12.0,10.0,10.0,11.0,13.0,8.0,11.0,12.0,8.0,14.0,8.0
>ENST00000605040.1,11.0,11.0,8.0,7.0,8.0,8.0,7.0,10.0,0.0,10.0,9.0,10.0,10.0,11.0,11.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,7.0,9.0,9.0,7.0,9.0,6.0
>ENST00000454907.1,10.0,13.0,10.0,9.0,10.0,7.0,9.0,11.0,10.0,0.0,11.0,11.0,10.0,9.0,10.0,11.0,10.0,10.0,11.0,11.0,11.0,11.0,10.0,11.0,13.0,11.0,8.0,10.0,9.0
>ENST00000534163.1,11.0,13.0,8.0,8.0,10.0,8.0,8.0,14.0,9.0,11.0,0.0,11.0,9.0,10.0,12.0,9.0,9.0,11.0,12.0,11.0,9.0,10.0,11.0,8.0,12.0,11.0,7.0,10.0,8.0
>ENST00000424633.1,10.0,10.0,9.0,9.0,8.0,7.0,7.0,11.0,10.0,11.0,11.0,0.0,11.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,11.0,7.0,10.0,10.0,11.0,9.0,7.0
>ENST00000539268.1,11.0,10.0,9.0,9.0,9.0,8.0,8.0,12.0,10.0,10.0,9.0,11.0,0.0,12.0,9.0,10.0,8.0,10.0,9.0,12.0,10.0,10.0,11.0,8.0,11.0,11.0,7.0,11.0,8.0
