,>ENST00000568980.1,>ENST00000458691.1,>ENST00000425735.1,>ENST00000453148.2,>ENST00000486611.2,>ENST00000427296.1,>ENST00000566937.1,>ENST00000447495.1,>ENST00000572493.1,ENSG00000252106.2,>ENST00000344033.5,>ENST00000438531.1,>ENST00000414673.5,>ENST00000521219.2,>ENST00000603162.1,>ENST00000519198.2,>ENST00000445131.2,>ENST00000422934.1,>ENST00000604645.1,>ENST00000415184.1,>ENST00000538799.1,>ENST00000605538.1,>ENST00000397055.2,>ENST00000569988.1,>ENST00000616920.1,>ENST00000527023.1,>ENST00000439189.1,>ENST00000614748.1,>ENST00000417727.1,>ENST00000496376.1,ENSG00000252074.1,>ENST00000521313.1,>ENST00000603240.1,>ENST00000427589.2,>ENST00000605450.1,>ENST00000605258.1,>ENST00000514441.2,>ENST00000397487.3,>ENST00000533085.2,>ENST00000419995.2,>ENST00000526326.1,>ENST00000470598.1,>ENST00000433554.2,>ENST00000440099.1,>ENST00000355274.4,>ENST00000635219.1
>ENST00000568980.1,0.0,10.0,11.0,9.0,11.0,9.0,11.0,9.0,14.0,8.0,10.0,10.0,11.0,12.0,10.0,11.0,9.0,10.0,8.0,9.0,9.0,10.0,12.0,11.0,10.0,9.0,9.0,9.0,10.0,10.0,8.0,12.0,8.0,9.0,12.0,11.0,10.0,11.0,11.0,11.0,10.0,10.0,11.0,10.0,9.0,13.0
>ENST00000458691.1,10.0,0.0,10.0,8.0,14.0,10.0,10.0,8.0,9.0,7.0,12.0,10.0,9.0,9.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,12.0,11.0,9.0,10.0,9.0,7.0,10.0,11.0,9.0,10.0,9.0,8.0,10.0,9.0,10.0,11.0,12.0,10.0,12.0,10.0,13.0,10.0,10.0,9.0
>ENST00000425735.1,11.0,10.0,0.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,11.0,10.0,12.0,10.0,9.0,9.0,8.0,8.0,9.0,11.0,11.0,11.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,8.0,12.0,8.0
>ENST00000453148.2,9.0,8.0,9.0,0.0,9.0,9.0,9.0,6.0,9.0,7.0,9.0,9.0,10.0,8.0,8.0,12.0,8.0,10.0,7.0,8.0,10.0,8.0,9.0,12.0,10.0,10.0,8.0,7.0,10.0,9.0,6.0,10.0,8.0,9.0,8.0,11.0,9.0,10.0,12.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0
>ENST00000486611.2,11.0,14.0,9.0,9.0,0.0,11.0,9.0,9.0,10.0,8.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,7.0,9.0,9.0,11.0,9.0,10.0,8.0,7.0,7.0,7.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,11.0,9.0,11.0,9.0,11.0,10.0,8.0,8.0,7.0,9.0
>ENST00000427296.1,9.0,10.0,9.0,9.0,11.0,0.0,10.0,10.0,9.0,7.0,9.0,11.0,10.0,8.0,10.0,11.0,13.0,12.0,10.0,8.0,8.0,9.0,10.0,14.0,9.0,8.0,9.0,7.0,9.0,10.0,8.0,11.0,8.0,8.0,9.0,9.0,11.0,11.0,10.0,10.0,9.0,9.0,10.0,8.0,9.0,10.0
>ENST00000566937.1,11.0,10.0,9.0,9.0,9.0,10.0,0.0,8.0,10.0,6.0,8.0,8.0,11.0,8.0,9.0,11.0,8.0,9.0,7.0,27.0,8.0,7.0,10.0,9.0,7.0,8.0,9.0,7.0,8.0,9.0,8.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,9.0,10.0,7.0,8.0,8.0
>ENST00000447495.1,9.0,8.0,9.0,6.0,9.0,10.0,8.0,0.0,7.0,6.0,8.0,10.0,10.0,8.0,11.0,8.0,10.0,9.0,8.0,8.0,8.0,10.0,10.0,11.0,10.0,8.0,9.0,7.0,7.0,10.0,7.0,9.0,7.0,8.0,10.0,9.0,8.0,10.0,10.0,12.0,8.0,9.0,10.0,7.0,8.0,7.0
>ENST00000572493.1,14.0,9.0,10.0,9.0,10.0,9.0,10.0,7.0,0.0,10.0,8.0,10.0,12.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,13.0,12.0,9.0,11.0,12.0,9.0,12.0,11.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,11.0,10.0,10.0,10.0,7.0,12.0,8.0,9.0,8.0,10.0,11.0
ENSG00000252106.2,8.0,7.0,9.0,7.0,8.0,7.0,6.0,6.0,10.0,0.0,6.0,7.0,8.0,8.0,10.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,9.0,8.0,7.0,6.0,7.0,5.0,8.0,10.0,6.0,7.0,8.0,9.0,8.0,6.0,9.0,9.0,9.0,9.0,8.0,8.0,12.0,6.0,8.0,8.0
