,>ENST00000583567.1,>ENST00000440833.2,>ENST00000458156.1,>ENST00000423182.2,>ENST00000432574.2,>ENST00000605472.1,>ENST00000489253.1,>ENST00000596415.1,>ENST00000413550.1,>ENST00000603184.1,>ENST00000491307.1,>ENST00000485582.1,>ENST00000437762.1,>ENST00000429515.1,>ENST00000447905.1,>ENST00000558299.1,>ENST00000619270.1,>ENST00000439229.2,>ENST00000539579.2,>ENST00000435916.1,>ENST00000581275.1,>ENST00000439401.1,>ENST00000557862.1,>ENST00000470614.1,>ENST00000452855.1,>ENST00000455851.1,>ENST00000424002.1,>ENST00000566935.1,>ENST00000416471.2,>ENST00000624797.1,>ENST00000428062.1
>ENST00000583567.1,0.0,7.0,9.0,8.0,6.0,8.0,7.0,9.0,8.0,8.0,6.0,9.0,8.0,7.0,9.0,8.0,6.0,7.0,6.0,7.0,8.0,8.0,7.0,7.0,9.0,7.0,8.0,10.0,8.0,10.0,8.0
>ENST00000440833.2,7.0,0.0,10.0,13.0,9.0,11.0,8.0,11.0,10.0,9.0,8.0,10.0,9.0,10.0,8.0,11.0,10.0,10.0,10.0,12.0,8.0,9.0,8.0,11.0,11.0,10.0,10.0,11.0,10.0,12.0,11.0
>ENST00000458156.1,9.0,10.0,0.0,8.0,9.0,10.0,10.0,10.0,10.0,11.0,9.0,9.0,9.0,11.0,9.0,10.0,8.0,11.0,9.0,11.0,9.0,9.0,8.0,8.0,11.0,9.0,10.0,9.0,9.0,9.0,10.0
>ENST00000423182.2,8.0,13.0,8.0,0.0,9.0,9.0,11.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0,11.0,10.0,11.0,10.0,9.0,9.0,11.0,9.0,9.0,11.0,9.0,8.0,8.0,14.0,10.0,10.0
>ENST00000432574.2,6.0,9.0,9.0,9.0,0.0,13.0,7.0,8.0,8.0,8.0,8.0,7.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,12.0,9.0,10.0,10.0,8.0,9.0,11.0,10.0,8.0
>ENST00000605472.1,8.0,11.0,10.0,9.0,13.0,0.0,9.0,10.0,9.0,10.0,9.0,11.0,11.0,10.0,8.0,9.0,8.0,9.0,11.0,12.0,10.0,10.0,10.0,8.0,10.0,9.0,9.0,12.0,9.0,10.0,11.0
>ENST00000489253.1,7.0,8.0,10.0,11.0,7.0,9.0,0.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,11.0,9.0,9.0,10.0,8.0,9.0,11.0,11.0,10.0,8.0,7.0,9.0,9.0,9.0
>ENST00000596415.1,9.0,11.0,10.0,9.0,8.0,10.0,10.0,0.0,9.0,9.0,8.0,9.0,12.0,11.0,8.0,11.0,8.0,11.0,10.0,10.0,12.0,9.0,9.0,8.0,11.0,10.0,8.0,8.0,11.0,9.0,11.0
>ENST00000413550.1,8.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,0.0,10.0,8.0,9.0,11.0,10.0,10.0,10.0,10.0,11.0,9.0,10.0,8.0,9.0,8.0,8.0,11.0,9.0,11.0,9.0,11.0,9.0,9.0
>ENST00000603184.1,8.0,9.0,11.0,8.0,8.0,10.0,9.0,9.0,10.0,0.0,10.0,9.0,9.0,9.0,9.0,8.0,7.0,9.0,10.0,14.0,9.0,7.0,7.0,7.0,10.0,8.0,7.0,8.0,9.0,10.0,84.0
>ENST00000491307.1,6.0,8.0,9.0,10.0,8.0,9.0,9.0,8.0,8.0,10.0,0.0,8.0,8.0,10.0,9.0,8.0,9.0,9.0,10.0,11.0,10.0,12.0,8.0,8.0,11.0,8.0,10.0,7.0,10.0,9.0,10.0
