,>ENST00000396270.3,>ENST00000424759.1,>ENST00000490908.1,>ENST00000519437.1,>ENST00000456661.1,>ENST00000394891.3,>ENST00000433992.2,>ENST00000443127.1,>ENST00000407940.1,>ENST00000503122.1,>ENST00000419829.2,>ENST00000451581.1,>ENST00000564603.1,>ENST00000473054.1,>ENST00000398740.2,>ENST00000614456.1,>ENST00000509838.1,>ENST00000481866.2,>ENST00000532337.1,>ENST00000457537.1,>ENST00000510896.1,>ENST00000447840.1,>ENST00000424827.1,>ENST00000514799.1,>ENST00000416078.1,>ENST00000561752.1,>ENST00000433427.1,>ENST00000454641.1,>ENST00000427378.1,>ENST00000532193.1,>ENST00000512887.1,>ENST00000605302.1,>ENST00000605266.1,>ENST00000421884.2,>ENST00000451418.1,ENSG00000238803.1,>ENST00000520963.1,>ENST00000445127.2,>ENST00000554755.1,>ENST00000449200.1,>ENST00000426436.1,>ENST00000433398.1,>ENST00000603712.1,>ENST00000423199.1,>ENST00000616908.1,>ENST00000393073.4,>ENST00000463867.1
>ENST00000396270.3,0.0,10.0,10.0,11.0,10.0,10.0,12.0,10.0,9.0,10.0,9.0,9.0,12.0,12.0,9.0,9.0,9.0,10.0,12.0,13.0,11.0,10.0,9.0,11.0,10.0,10.0,12.0,9.0,11.0,10.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,11.0,12.0,10.0,10.0,12.0,12.0,9.0,10.0,10.0
>ENST00000424759.1,10.0,0.0,9.0,8.0,9.0,8.0,10.0,12.0,12.0,8.0,9.0,9.0,11.0,11.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0,9.0,10.0,8.0,10.0,8.0,13.0,8.0,8.0,7.0,9.0,10.0,10.0,9.0,11.0,9.0,11.0,11.0,8.0,9.0,9.0,12.0,11.0,10.0,8.0
>ENST00000490908.1,10.0,9.0,0.0,11.0,8.0,9.0,14.0,10.0,10.0,9.0,8.0,10.0,13.0,10.0,9.0,11.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,11.0,9.0,10.0,7.0,10.0,9.0,9.0,9.0,11.0,9.0,8.0,7.0,9.0,9.0,10.0,9.0,9.0,12.0,9.0,10.0,8.0,10.0,10.0
>ENST00000519437.1,11.0,8.0,11.0,0.0,9.0,9.0,12.0,9.0,10.0,10.0,9.0,11.0,9.0,9.0,9.0,8.0,8.0,10.0,10.0,11.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,11.0,9.0,25.0,9.0,10.0,9.0,8.0,10.0,8.0,10.0,9.0,8.0,9.0
>ENST00000456661.1,10.0,9.0,8.0,9.0,0.0,8.0,11.0,10.0,9.0,10.0,10.0,10.0,11.0,8.0,9.0,8.0,9.0,11.0,12.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,11.0,10.0,8.0,8.0,8.0
>ENST00000394891.3,10.0,8.0,9.0,9.0,8.0,0.0,10.0,10.0,11.0,8.0,9.0,11.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,10.0,12.0,11.0,11.0,8.0,8.0,8.0,10.0,10.0,8.0,9.0,8.0,10.0,9.0,8.0,7.0,10.0,10.0,12.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0
>ENST00000433992.2,12.0,10.0,14.0,12.0,11.0,10.0,0.0,10.0,11.0,9.0,9.0,9.0,12.0,12.0,12.0,10.0,11.0,10.0,11.0,11.0,13.0,10.0,12.0,12.0,11.0,11.0,10.0,9.0,11.0,9.0,10.0,9.0,10.0,13.0,10.0,8.0,13.0,9.0,11.0,10.0,10.0,11.0,10.0,12.0,9.0,9.0,10.0
>ENST00000443127.1,10.0,12.0,10.0,9.0,10.0,10.0,10.0,0.0,11.0,9.0,10.0,9.0,11.0,10.0,9.0,9.0,8.0,9.0,11.0,9.0,10.0,11.0,9.0,11.0,11.0,9.0,10.0,10.0,9.0,9.0,8.0,7.0,8.0,10.0,11.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,9.0,12.0,10.0,12.0,12.0
>ENST00000407940.1,9.0,12.0,10.0,10.0,9.0,11.0,11.0,11.0,0.0,9.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,11.0,11.0,10.0,10.0,8.0,9.0,11.0,12.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0,11.0,11.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,12.0,9.0
>ENST00000503122.1,10.0,8.0,9.0,10.0,10.0,8.0,9.0,9.0,9.0,0.0,9.0,11.0,9.0,9.0,9.0,10.0,9.0,11.0,10.0,8.0,10.0,8.0,11.0,10.0,11.0,9.0,11.0,8.0,11.0,10.0,10.0,9.0,10.0,9.0,11.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0
