,ENSG00000170477.12,>ENST00000604488.1,>ENST00000416371.1,>ENST00000517613.1,>ENST00000514136.1,ENSG00000226784.2,>ENST00000231383.8,>ENST00000567900.1,>ENST00000455284.1,>ENST00000520681.1,>ENST00000427218.1,>ENST00000564693.1,>ENST00000609970.1,>ENST00000476543.1,>ENST00000417646.2,>ENST00000624828.1,>ENST00000419794.1,>ENST00000508556.1,>ENST00000515583.1,>ENST00000446711.2,>ENST00000605278.1,>ENST00000528836.1,>ENST00000603215.1,>ENST00000539521.1,>ENST00000416294.1,ENSG00000132481.6,>ENST00000494367.1,>ENST00000448352.1,>ENST00000554629.1,>ENST00000451098.1,ENSG00000252155.1,>ENST00000417147.1,>ENST00000531194.1,>ENST00000508931.1,ENSG00000163874.8
ENSG00000170477.12,0.0,10.0,9.0,11.0,13.0,11.0,12.0,11.0,15.0,13.0,11.0,12.0,10.0,11.0,12.0,12.0,12.0,10.0,12.0,12.0,10.0,11.0,10.0,10.0,11.0,15.0,11.0,12.0,10.0,12.0,9.0,12.0,12.0,14.0,16.0
>ENST00000604488.1,10.0,0.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,7.0,8.0,10.0,8.0,9.0,7.0,11.0,9.0,11.0,9.0,9.0,10.0,9.0,8.0,10.0,11.0,9.0,11.0
>ENST00000416371.1,9.0,9.0,0.0,10.0,8.0,10.0,9.0,8.0,9.0,9.0,8.0,11.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,7.0,10.0,9.0,8.0,8.0,8.0,8.0,10.0,11.0,10.0,11.0
>ENST00000517613.1,11.0,8.0,10.0,0.0,8.0,9.0,9.0,11.0,10.0,8.0,10.0,8.0,7.0,9.0,11.0,10.0,9.0,8.0,10.0,9.0,8.0,8.0,6.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0
>ENST00000514136.1,13.0,10.0,8.0,8.0,0.0,11.0,11.0,9.0,9.0,8.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,7.0,8.0,9.0,9.0,9.0,11.0,9.0,10.0,8.0,11.0,7.0,9.0,9.0,11.0,11.0
ENSG00000226784.2,11.0,9.0,10.0,9.0,11.0,0.0,11.0,9.0,11.0,9.0,10.0,11.0,8.0,8.0,9.0,10.0,12.0,9.0,12.0,10.0,9.0,10.0,9.0,9.0,9.0,12.0,11.0,9.0,10.0,8.0,8.0,10.0,11.0,9.0,10.0
>ENST00000231383.8,12.0,9.0,9.0,9.0,11.0,11.0,0.0,11.0,9.0,10.0,9.0,10.0,12.0,10.0,8.0,10.0,11.0,8.0,11.0,11.0,9.0,9.0,9.0,10.0,9.0,13.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0
>ENST00000567900.1,11.0,9.0,8.0,11.0,9.0,9.0,11.0,0.0,9.0,8.0,10.0,10.0,11.0,11.0,10.0,11.0,9.0,8.0,10.0,10.0,9.0,11.0,9.0,9.0,10.0,11.0,9.0,14.0,12.0,9.0,9.0,11.0,13.0,9.0,12.0
>ENST00000455284.1,15.0,9.0,9.0,10.0,9.0,11.0,9.0,9.0,0.0,9.0,8.0,11.0,10.0,8.0,14.0,10.0,12.0,8.0,9.0,13.0,8.0,10.0,8.0,9.0,10.0,11.0,12.0,9.0,9.0,8.0,9.0,7.0,8.0,23.0,14.0
>ENST00000520681.1,13.0,7.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0,0.0,9.0,9.0,9.0,8.0,11.0,10.0,9.0,8.0,9.0,11.0,8.0,8.0,8.0,8.0,8.0,11.0,10.0,8.0,9.0,9.0,7.0,8.0,9.0,10.0,12.0
>ENST00000427218.1,11.0,9.0,8.0,10.0,9.0,10.0,9.0,10.0,8.0,9.0,0.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,12.0,11.0,10.0,9.0,8.0,7.0,10.0,9.0,9.0,12.0
>ENST00000564693.1,12.0,9.0,11.0,8.0,9.0,11.0,10.0,10.0,11.0,9.0,10.0,0.0,6.0,9.0,9.0,14.0,10.0,13.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,11.0,10.0,9.0,10.0,9.0,11.0,12.0,10.0,11.0
