,>ENST00000455606.1,>ENST00000533878.1,>ENST00000424581.1,>ENST00000472160.1,>ENST00000540293.1,>ENST00000517463.1,>ENST00000439215.1,>ENST00000424250.2,>ENST00000495857.1,>ENST00000414949.2,>ENST00000622876.1,>ENST00000441524.1,>ENST00000623973.3,>ENST00000566728.1,>ENST00000567426.1,>ENST00000588632.1,>ENST00000614199.1,ENSG00000263353.3,>ENST00000551916.1,>ENST00000426992.2,>ENST00000503756.2,>ENST00000612637.1,>ENST00000437297.1,>ENST00000453257.1,>ENST00000548011.1,>ENST00000419949.2,ENSG00000183130.3,>ENST00000476029.1,>ENST00000554092.1,>ENST00000570165.1,>ENST00000558517.2,>ENST00000415014.1,>ENST00000441655.2,>ENST00000420443.1,>ENST00000433839.1,>ENST00000565567.1,>ENST00000449496.2,>ENST00000435206.1
>ENST00000455606.1,0.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,12.0,11.0,8.0,9.0,10.0,9.0,10.0,11.0,7.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,11.0,9.0,8.0,8.0,9.0,10.0
>ENST00000533878.1,9.0,0.0,11.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,10.0,12.0,14.0,11.0,10.0,11.0,10.0,11.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,12.0,10.0,9.0,8.0,11.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0
>ENST00000424581.1,10.0,11.0,0.0,9.0,10.0,9.0,9.0,12.0,9.0,10.0,9.0,11.0,10.0,12.0,9.0,9.0,9.0,9.0,10.0,13.0,10.0,10.0,10.0,9.0,9.0,10.0,8.0,10.0,8.0,9.0,11.0,10.0,9.0,10.0,9.0,8.0,8.0,12.0
>ENST00000472160.1,9.0,9.0,9.0,0.0,10.0,9.0,10.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0,7.0,8.0,9.0,10.0,9.0,9.0,8.0,8.0,10.0,8.0,8.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,10.0,8.0,9.0,9.0,11.0
>ENST00000540293.1,8.0,10.0,10.0,10.0,0.0,9.0,13.0,12.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,11.0,10.0,13.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,10.0,10.0,9.0,11.0,11.0,10.0,9.0,10.0,8.0,11.0,9.0
>ENST00000517463.1,10.0,10.0,9.0,9.0,9.0,0.0,8.0,9.0,9.0,9.0,11.0,10.0,10.0,92.0,8.0,11.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,11.0,9.0,10.0,10.0,8.0,8.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0
>ENST00000439215.1,9.0,9.0,9.0,10.0,13.0,8.0,0.0,12.0,10.0,10.0,8.0,9.0,12.0,9.0,10.0,9.0,9.0,10.0,11.0,10.0,9.0,9.0,9.0,8.0,11.0,12.0,10.0,12.0,11.0,10.0,13.0,10.0,10.0,10.0,9.0,8.0,8.0,11.0
>ENST00000424250.2,8.0,10.0,12.0,10.0,12.0,9.0,12.0,0.0,11.0,9.0,9.0,10.0,11.0,12.0,8.0,12.0,9.0,9.0,11.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,11.0,10.0,10.0,9.0,11.0,9.0
>ENST00000495857.1,12.0,8.0,9.0,8.0,10.0,9.0,10.0,11.0,0.0,8.0,7.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,10.0,11.0,8.0,8.0,7.0,8.0,8.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,11.0
>ENST00000414949.2,11.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,0.0,10.0,10.0,10.0,12.0,9.0,9.0,12.0,307.0,10.0,10.0,10.0,7.0,11.0,9.0,9.0,11.0,10.0,10.0,11.0,8.0,12.0,12.0,9.0,8.0,10.0,9.0,11.0,11.0
>ENST00000622876.1,8.0,10.0,9.0,9.0,9.0,11.0,8.0,9.0,7.0,10.0,0.0,9.0,10.0,10.0,8.0,8.0,10.0,8.0,11.0,9.0,10.0,7.0,10.0,10.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,12.0,9.0,8.0,10.0,9.0
>ENST00000441524.1,9.0,12.0,11.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,9.0,0.0,18.0,11.0,10.0,11.0,9.0,10.0,10.0,8.0,9.0,9.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,8.0,10.0,10.0
>ENST00000623973.3,10.0,14.0,10.0,9.0,10.0,10.0,12.0,11.0,9.0,10.0,10.0,18.0,0.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,10.0,8.0,10.0,9.0,14.0,9.0,17.0,9.0,9.0,9.0,10.0,11.0,10.0,10.0,9.0,7.0,12.0,10.0
>ENST00000566728.1,9.0,11.0,12.0,9.0,10.0,92.0,9.0,12.0,9.0,12.0,10.0,11.0,10.0,0.0,9.0,13.0,8.0,11.0,9.0,10.0,9.0,9.0,10.0,12.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0
