,>ENST00000589357.1,>ENST00000427200.1,>ENST00000617940.2,>ENST00000440419.1,>ENST00000423293.1,>ENST00000430831.5,>ENST00000340703.5,>ENST00000560933.5,>ENST00000497462.2,>ENST00000504903.1,>ENST00000414780.1,>ENST00000546823.1,>ENST00000512503.1,>ENST00000433978.1,>ENST00000454836.1,>ENST00000428881.1,>ENST00000495592.2,>ENST00000438441.1,>ENST00000457750.1,>ENST00000424543.2,>ENST00000546680.2,>ENST00000442302.1,>ENST00000437852.2,>ENST00000454683.1,>ENST00000454506.2,>ENST00000485258.1,>ENST00000584247.1,>ENST00000456664.2,>ENST00000440882.1,>ENST00000508392.1,>ENST00000511554.1,>ENST00000529475.1,>ENST00000416098.1,>ENST00000403727.1,>ENST00000428470.2,>ENST00000601117.1,>ENST00000479865.1,>ENST00000590286.1,>ENST00000502546.2,>ENST00000628927.1,>ENST00000582850.1,>ENST00000393579.2,>ENST00000531124.1,ENSG00000207157.1,>ENST00000526902.1,>ENST00000498175.1,>ENST00000530465.1,>ENST00000449718.1,>ENST00000613700.1
>ENST00000589357.1,0.0,10.0,10.0,8.0,9.0,10.0,8.0,7.0,10.0,9.0,10.0,8.0,11.0,9.0,9.0,9.0,8.0,12.0,10.0,9.0,12.0,8.0,12.0,10.0,9.0,11.0,8.0,7.0,10.0,10.0,10.0,9.0,11.0,9.0,8.0,12.0,8.0,9.0,9.0,8.0,9.0,9.0,7.0,11.0,8.0,9.0,10.0,8.0,8.0
>ENST00000427200.1,10.0,0.0,9.0,11.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,11.0,9.0,9.0,9.0,8.0,11.0,12.0,9.0,12.0,9.0,12.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,11.0,9.0,9.0,9.0,10.0,13.0,8.0,9.0,9.0,8.0,8.0,10.0,12.0,10.0,9.0,9.0
>ENST00000617940.2,10.0,9.0,0.0,11.0,11.0,10.0,10.0,8.0,11.0,10.0,9.0,11.0,9.0,10.0,12.0,10.0,10.0,13.0,12.0,10.0,11.0,10.0,12.0,11.0,8.0,10.0,10.0,9.0,9.0,12.0,8.0,10.0,10.0,11.0,7.0,10.0,10.0,10.0,12.0,9.0,13.0,11.0,8.0,8.0,12.0,11.0,10.0,9.0,8.0
>ENST00000440419.1,8.0,11.0,11.0,0.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,15.0,11.0,10.0,12.0,11.0,10.0,9.0,11.0,11.0,10.0,10.0,8.0,12.0,7.0,11.0,11.0,10.0,12.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,8.0,11.0,11.0,11.0,11.0,12.0
>ENST00000423293.1,9.0,10.0,11.0,10.0,0.0,10.0,11.0,9.0,9.0,16.0,11.0,12.0,9.0,10.0,12.0,11.0,10.0,11.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,12.0,9.0,10.0,9.0,9.0,11.0,9.0,12.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,9.0,11.0,10.0,9.0,8.0
>ENST00000430831.5,10.0,10.0,10.0,10.0,10.0,0.0,12.0,9.0,11.0,10.0,10.0,13.0,9.0,11.0,11.0,12.0,9.0,11.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,8.0,13.0,10.0,10.0,11.0,10.0,13.0,10.0,15.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0
>ENST00000340703.5,8.0,9.0,10.0,9.0,11.0,12.0,0.0,11.0,10.0,8.0,8.0,10.0,10.0,9.0,11.0,10.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,10.0,12.0,11.0,9.0,11.0,13.0,9.0,8.0,9.0,14.0,9.0,8.0,11.0,9.0,11.0,12.0,9.0,10.0,10.0,9.0,10.0,13.0,15.0,11.0,11.0,9.0
>ENST00000560933.5,7.0,10.0,8.0,9.0,9.0,9.0,11.0,0.0,8.0,11.0,8.0,9.0,7.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,10.0,7.0,9.0,11.0,8.0,8.0,8.0,9.0,9.0,10.0,8.0,8.0,10.0,8.0,8.0,7.0,8.0,9.0,8.0,9.0,11.0,8.0,9.0,6.0,8.0,9.0,11.0,9.0,9.0
>ENST00000497462.2,10.0,9.0,11.0,9.0,9.0,11.0,10.0,8.0,0.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,12.0,9.0,9.0,9.0,10.0,11.0,10.0,12.0,164.0,9.0,11.0,11.0,13.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,11.0,10.0,8.0,9.0,10.0,10.0,7.0,9.0,11.0,12.0,13.0,10.0
>ENST00000504903.1,9.0,9.0,10.0,8.0,16.0,10.0,8.0,11.0,9.0,0.0,8.0,7.0,6.0,8.0,11.0,10.0,12.0,9.0,11.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,11.0,8.0,9.0,8.0,9.0,9.0,7.0,9.0,9.0,10.0,9.0,8.0
>ENST00000414780.1,10.0,9.0,9.0,8.0,11.0,10.0,8.0,8.0,9.0,8.0,0.0,8.0,8.0,12.0,9.0,9.0,7.0,9.0,8.0,7.0,9.0,9.0,10.0,8.0,9.0,10.0,7.0,9.0,7.0,9.0,8.0,10.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,7.0,8.0,11.0,10.0,8.0,7.0
>ENST00000546823.1,8.0,8.0,11.0,9.0,12.0,13.0,10.0,9.0,10.0,7.0,8.0,0.0,7.0,10.0,8.0,9.0,10.0,10.0,11.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,10.0,10.0,7.0,8.0,10.0,10.0,10.0,8.0,10.0,10.0,11.0,9.0,9.0,10.0,12.0,9.0,8.0
>ENST00000512503.1,11.0,11.0,9.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,8.0,7.0,0.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0,10.0,7.0,7.0,8.0,10.0,8.0,8.0,8.0,9.0,9.0,7.0,8.0,8.0,10.0,9.0,7.0,9.0,8.0,8.0,7.0,9.0,8.0,9.0,8.0,9.0
>ENST00000433978.1,9.0,9.0,10.0,9.0,10.0,11.0,9.0,9.0,10.0,8.0,12.0,10.0,9.0,0.0,10.0,10.0,9.0,11.0,12.0,9.0,10.0,9.0,13.0,11.0,8.0,10.0,13.0,11.0,8.0,10.0,11.0,10.0,10.0,12.0,8.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,11.0,11.0,9.0,9.0,12.0,9.0,11.0
>ENST00000454836.1,9.0,9.0,12.0,9.0,12.0,11.0,11.0,9.0,9.0,11.0,9.0,8.0,8.0,10.0,0.0,10.0,11.0,11.0,10.0,9.0,9.0,8.0,14.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,9.0,10.0,11.0,10.0,8.0,9.0,9.0,11.0,11.0,10.0,10.0,9.0,10.0,9.0,9.0,11.0,13.0,9.0,9.0
>ENST00000428881.1,9.0,9.0,10.0,15.0,11.0,12.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,0.0,11.0,11.0,12.0,9.0,12.0,9.0,11.0,11.0,9.0,9.0,11.0,10.0,8.0,9.0,9.0,10.0,11.0,10.0,9.0,10.0,9.0,11.0,11.0,10.0,11.0,12.0,11.0,8.0,10.0,9.0,11.0,10.0,11.0
>ENST00000495592.2,8.0,8.0,10.0,11.0,10.0,9.0,10.0,10.0,9.0,12.0,7.0,10.0,9.0,9.0,11.0,11.0,0.0,10.0,9.0,10.0,10.0,8.0,12.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,13.0,10.0,8.0,10.0,10.0,10.0,10.0,9.0
>ENST00000438441.1,12.0,11.0,13.0,10.0,11.0,11.0,10.0,10.0,12.0,9.0,9.0,10.0,9.0,11.0,11.0,11.0,10.0,0.0,10.0,9.0,14.0,10.0,9.0,12.0,9.0,10.0,9.0,9.0,9.0,11.0,8.0,11.0,10.0,10.0,11.0,10.0,10.0,11.0,11.0,9.0,11.0,10.0,11.0,7.0,10.0,10.0,11.0,10.0,11.0
>ENST00000457750.1,10.0,12.0,12.0,12.0,10.0,10.0,11.0,9.0,9.0,11.0,8.0,11.0,8.0,12.0,10.0,12.0,9.0,10.0,0.0,9.0,9.0,9.0,12.0,12.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,11.0,10.0,10.0,8.0,9.0,10.0,11.0,11.0,13.0,11.0,10.0,11.0,9.0,10.0,14.0,12.0,9.0,8.0
>ENST00000424543.2,9.0,9.0,10.0,11.0,8.0,11.0,10.0,9.0,9.0,8.0,7.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,0.0,12.0,11.0,13.0,11.0,10.0,10.0,7.0,9.0,9.0,7.0,7.0,13.0,10.0,8.0,8.0,10.0,8.0,10.0,9.0,11.0,10.0,7.0,10.0,7.0,8.0,9.0,11.0,8.0,7.0
>ENST00000546680.2,12.0,12.0,11.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,12.0,10.0,14.0,9.0,12.0,0.0,8.0,9.0,10.0,11.0,9.0,16.0,11.0,9.0,10.0,10.0,11.0,9.0,11.0,9.0,10.0,9.0,11.0,10.0,9.0,11.0,10.0,8.0,7.0,11.0,11.0,12.0,9.0,9.0
>ENST00000442302.1,8.0,9.0,10.0,9.0,9.0,10.0,9.0,7.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,10.0,9.0,11.0,8.0,0.0,9.0,9.0,9.0,10.0,9.0,10.0,7.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,12.0,10.0,9.0,10.0,10.0,12.0,9.0,9.0,10.0,10.0,11.0,10.0,8.0
>ENST00000437852.2,12.0,12.0,12.0,11.0,9.0,10.0,10.0,9.0,11.0,10.0,10.0,10.0,9.0,13.0,14.0,11.0,12.0,9.0,12.0,13.0,9.0,9.0,0.0,11.0,9.0,11.0,10.0,10.0,8.0,9.0,9.0,12.0,12.0,9.0,9.0,10.0,11.0,11.0,10.0,9.0,9.0,12.0,9.0,8.0,10.0,11.0,11.0,11.0,10.0
