,>ENST00000504838.1,>ENST00000448965.1,>ENST00000615934.1,>ENST00000418296.1,>ENST00000567634.1,>ENST00000432739.1,>ENST00000416278.1,>ENST00000455183.1,>ENST00000541653.2,>ENST00000501107.2,>ENST00000440793.1,>ENST00000418558.1,>ENST00000438591.1,>ENST00000413933.1,>ENST00000455969.1,>ENST00000518921.1,>ENST00000616756.1,>ENST00000543528.1,>ENST00000600799.1,>ENST00000441373.1,>ENST00000554127.2,>ENST00000524544.1,>ENST00000331871.3,>ENST00000621951.1,>ENST00000567977.1,>ENST00000517783.1,>ENST00000449160.1,>ENST00000524390.1,>ENST00000405668.2,>ENST00000412493.1,>ENST00000426334.1,>ENST00000538551.1,>ENST00000435663.1,>ENST00000422524.1,>ENST00000554385.1,>ENST00000584523.1,>ENST00000514812.2,>ENST00000588207.1,>ENST00000476382.1,>ENST00000503502.2,>ENST00000455621.1,>ENST00000412208.2,>ENST00000611658.1,>ENST00000538670.1,>ENST00000502915.1,>ENST00000403487.2,>ENST00000429931.1,ENSG00000212348.1,>ENST00000498068.1,>ENST00000492455.1,>ENST00000543745.1
>ENST00000504838.1,0.0,11.0,9.0,10.0,12.0,10.0,11.0,12.0,9.0,9.0,9.0,9.0,14.0,12.0,10.0,11.0,8.0,9.0,10.0,9.0,9.0,10.0,11.0,10.0,10.0,9.0,10.0,11.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,11.0,12.0,10.0,11.0,12.0,10.0,10.0,11.0,11.0,10.0,9.0,11.0,9.0,8.0
>ENST00000448965.1,11.0,0.0,9.0,9.0,16.0,9.0,10.0,10.0,10.0,9.0,12.0,8.0,11.0,11.0,11.0,11.0,8.0,8.0,10.0,8.0,8.0,12.0,10.0,13.0,10.0,8.0,7.0,22.0,10.0,11.0,14.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,8.0,8.0,9.0,67.0,11.0,12.0,9.0,11.0,9.0,7.0,11.0,9.0,6.0
>ENST00000615934.1,9.0,9.0,0.0,8.0,12.0,8.0,11.0,10.0,9.0,10.0,9.0,9.0,9.0,11.0,12.0,10.0,9.0,9.0,10.0,8.0,8.0,11.0,9.0,9.0,11.0,8.0,9.0,8.0,9.0,10.0,10.0,8.0,9.0,9.0,8.0,7.0,13.0,10.0,9.0,11.0,8.0,10.0,12.0,9.0,9.0,9.0,11.0,8.0,8.0,10.0,6.0
>ENST00000418296.1,10.0,9.0,8.0,0.0,12.0,9.0,12.0,8.0,11.0,10.0,12.0,9.0,8.0,12.0,9.0,10.0,7.0,8.0,9.0,7.0,8.0,9.0,10.0,9.0,10.0,7.0,7.0,9.0,9.0,9.0,12.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,11.0,10.0,8.0,11.0,9.0,11.0,8.0,11.0,7.0,10.0,10.0,7.0
>ENST00000567634.1,12.0,16.0,12.0,12.0,0.0,11.0,10.0,16.0,9.0,11.0,10.0,9.0,11.0,11.0,11.0,12.0,8.0,10.0,15.0,9.0,11.0,10.0,12.0,11.0,12.0,13.0,8.0,9.0,9.0,9.0,11.0,10.0,11.0,9.0,10.0,8.0,10.0,12.0,11.0,9.0,11.0,9.0,13.0,12.0,11.0,11.0,14.0,8.0,11.0,9.0,7.0
>ENST00000432739.1,10.0,9.0,8.0,9.0,11.0,0.0,10.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,13.0,9.0,10.0,8.0,7.0,7.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,9.0,8.0,6.0
>ENST00000416278.1,11.0,10.0,11.0,12.0,10.0,10.0,0.0,11.0,9.0,9.0,8.0,9.0,8.0,11.0,11.0,10.0,8.0,9.0,9.0,8.0,9.0,11.0,8.0,11.0,11.0,9.0,10.0,10.0,8.0,12.0,11.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,12.0,9.0,10.0,12.0,12.0,11.0,9.0,9.0,8.0,10.0,9.0,7.0
>ENST00000455183.1,12.0,10.0,10.0,8.0,16.0,10.0,11.0,0.0,11.0,11.0,10.0,8.0,9.0,11.0,11.0,12.0,10.0,11.0,11.0,8.0,9.0,10.0,10.0,11.0,12.0,10.0,9.0,10.0,9.0,11.0,10.0,9.0,12.0,12.0,10.0,9.0,10.0,13.0,9.0,9.0,11.0,10.0,12.0,13.0,11.0,11.0,11.0,9.0,10.0,11.0,7.0
>ENST00000541653.2,9.0,10.0,9.0,11.0,9.0,10.0,9.0,11.0,0.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,9.0,13.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,8.0,10.0,11.0,10.0,10.0,11.0,9.0,8.0,11.0,10.0,7.0
>ENST00000501107.2,9.0,9.0,10.0,10.0,11.0,10.0,9.0,11.0,10.0,0.0,8.0,9.0,10.0,11.0,8.0,11.0,9.0,8.0,9.0,9.0,9.0,9.0,14.0,9.0,11.0,9.0,9.0,11.0,10.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,11.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,7.0,9.0,9.0,6.0
