,>ENST00000427702.1,>ENST00000456605.1,>ENST00000426866.2,>ENST00000585658.1,>ENST00000401964.2,>ENST00000525536.1,>ENST00000518834.1,>ENST00000496068.1,>ENST00000473094.1,>ENST00000483430.1,>ENST00000453999.1,ENSG00000019549.8,>ENST00000612976.1,>ENST00000535136.1,>ENST00000422707.1,>ENST00000600506.1,>ENST00000391727.2,>ENST00000622505.1,>ENST00000431685.2,>ENST00000613121.1,>ENST00000613889.1,>ENST00000427728.1,>ENST00000425480.2,>ENST00000546480.1,>ENST00000611129.1,>ENST00000612552.1,>ENST00000392075.3,>ENST00000434633.1,>ENST00000616239.1,>ENST00000511039.1,>ENST00000553933.2,>ENST00000449832.1,>ENST00000450868.1,>ENST00000432861.1,>ENST00000526165.1,>ENST00000494084.1,>ENST00000585943.1,>ENST00000616705.1,>ENST00000434950.1,>ENST00000398901.2,>ENST00000484463.3,>ENST00000487709.1,>ENST00000508864.1,>ENST00000334118.6
>ENST00000427702.1,0.0,8.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,12.0,11.0,8.0,9.0,7.0,9.0,8.0,9.0,10.0,10.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,10.0,8.0,9.0,11.0,9.0,9.0,9.0,9.0
>ENST00000456605.1,8.0,0.0,8.0,10.0,7.0,10.0,10.0,10.0,8.0,10.0,12.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,11.0,9.0,10.0,12.0,10.0,11.0,8.0,11.0,9.0,10.0,12.0,10.0,11.0,10.0,10.0,11.0,13.0,10.0,8.0,9.0,12.0,10.0,9.0,11.0,9.0,9.0
>ENST00000426866.2,9.0,8.0,0.0,9.0,8.0,11.0,7.0,10.0,7.0,8.0,8.0,11.0,9.0,9.0,8.0,8.0,7.0,9.0,10.0,9.0,13.0,7.0,8.0,10.0,8.0,9.0,8.0,8.0,8.0,10.0,9.0,8.0,9.0,7.0,8.0,11.0,9.0,7.0,7.0,8.0,7.0,11.0,11.0,9.0
>ENST00000585658.1,9.0,10.0,9.0,0.0,8.0,9.0,10.0,9.0,8.0,9.0,10.0,11.0,9.0,9.0,8.0,9.0,8.0,9.0,10.0,10.0,8.0,8.0,9.0,9.0,12.0,10.0,8.0,8.0,8.0,8.0,9.0,10.0,11.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,10.0,8.0,9.0
>ENST00000401964.2,9.0,7.0,8.0,8.0,0.0,7.0,7.0,8.0,9.0,10.0,9.0,12.0,7.0,8.0,11.0,9.0,8.0,7.0,8.0,8.0,10.0,8.0,8.0,8.0,7.0,8.0,7.0,9.0,10.0,8.0,10.0,10.0,8.0,9.0,9.0,9.0,11.0,7.0,7.0,9.0,9.0,10.0,7.0,9.0
>ENST00000525536.1,7.0,10.0,11.0,9.0,7.0,0.0,8.0,9.0,8.0,8.0,9.0,11.0,8.0,9.0,10.0,9.0,7.0,8.0,11.0,9.0,9.0,9.0,11.0,12.0,10.0,9.0,8.0,8.0,9.0,8.0,10.0,11.0,9.0,8.0,10.0,8.0,12.0,7.0,8.0,8.0,9.0,10.0,9.0,8.0
>ENST00000518834.1,9.0,10.0,7.0,10.0,7.0,8.0,0.0,8.0,10.0,8.0,10.0,10.0,7.0,8.0,8.0,8.0,9.0,7.0,10.0,9.0,11.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,11.0,10.0,9.0,8.0,11.0,10.0,8.0,9.0,9.0,9.0,9.0,7.0,7.0
>ENST00000496068.1,9.0,10.0,10.0,9.0,8.0,9.0,8.0,0.0,10.0,9.0,11.0,10.0,11.0,12.0,10.0,8.0,9.0,8.0,9.0,9.0,10.0,8.0,10.0,8.0,9.0,11.0,8.0,9.0,8.0,8.0,8.0,12.0,11.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0
>ENST00000473094.1,9.0,8.0,7.0,8.0,9.0,8.0,10.0,10.0,0.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0,8.0,8.0,12.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,7.0,9.0,10.0,7.0,10.0,8.0,10.0,9.0,10.0,8.0,8.0
>ENST00000483430.1,10.0,10.0,8.0,9.0,10.0,8.0,8.0,9.0,9.0,0.0,9.0,11.0,8.0,8.0,9.0,10.0,8.0,8.0,10.0,9.0,7.0,9.0,10.0,10.0,8.0,8.0,11.0,10.0,11.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,7.0,9.0,12.0,10.0,11.0,10.0,10.0
>ENST00000453999.1,10.0,12.0,8.0,10.0,9.0,9.0,10.0,11.0,10.0,9.0,0.0,11.0,11.0,10.0,10.0,10.0,8.0,10.0,14.0,9.0,9.0,9.0,11.0,9.0,9.0,11.0,10.0,11.0,11.0,11.0,10.0,10.0,10.0,9.0,12.0,11.0,9.0,9.0,11.0,11.0,10.0,11.0,9.0,10.0
ENSG00000019549.8,10.0,10.0,11.0,11.0,12.0,11.0,10.0,10.0,10.0,11.0,11.0,0.0,9.0,12.0,14.0,10.0,9.0,11.0,12.0,11.0,10.0,12.0,11.0,11.0,11.0,9.0,10.0,11.0,13.0,11.0,10.0,13.0,12.0,10.0,11.0,11.0,12.0,10.0,10.0,11.0,12.0,11.0,10.0,10.0
>ENST00000612976.1,9.0,10.0,9.0,9.0,7.0,8.0,7.0,11.0,9.0,8.0,11.0,9.0,0.0,10.0,13.0,8.0,8.0,10.0,10.0,9.0,6.0,8.0,8.0,8.0,9.0,9.0,8.0,10.0,8.0,9.0,8.0,9.0,8.0,7.0,12.0,7.0,9.0,11.0,8.0,10.0,8.0,11.0,10.0,8.0
>ENST00000535136.1,12.0,10.0,9.0,9.0,8.0,9.0,8.0,12.0,9.0,8.0,10.0,12.0,10.0,0.0,10.0,10.0,9.0,11.0,13.0,8.0,8.0,9.0,10.0,11.0,9.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,11.0,9.0,9.0,8.0,9.0,9.0,8.0
>ENST00000422707.1,11.0,11.0,8.0,8.0,11.0,10.0,8.0,10.0,10.0,9.0,10.0,14.0,13.0,10.0,0.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,13.0,9.0,10.0,10.0,9.0,10.0,12.0,10.0,10.0,10.0,11.0,9.0,8.0,9.0,10.0,9.0,10.0,7.0,10.0
>ENST00000600506.1,8.0,11.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,10.0,10.0,8.0,10.0,9.0,0.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,11.0,8.0,9.0,9.0,8.0,10.0,10.0,8.0,8.0,9.0,8.0,11.0,10.0,9.0,10.0,8.0,11.0,9.0,9.0,9.0,9.0
>ENST00000391727.2,9.0,10.0,7.0,8.0,8.0,7.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,0.0,7.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,8.0
>ENST00000622505.1,7.0,10.0,9.0,9.0,7.0,8.0,7.0,8.0,8.0,8.0,10.0,11.0,10.0,11.0,10.0,9.0,7.0,0.0,9.0,9.0,10.0,8.0,9.0,8.0,8.0,12.0,10.0,8.0,8.0,7.0,8.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,7.0,9.0,11.0,8.0
>ENST00000431685.2,9.0,11.0,10.0,10.0,8.0,11.0,10.0,9.0,9.0,10.0,14.0,12.0,10.0,13.0,10.0,9.0,9.0,9.0,0.0,9.0,9.0,10.0,9.0,9.0,10.0,12.0,13.0,9.0,10.0,9.0,12.0,11.0,10.0,11.0,11.0,10.0,9.0,9.0,9.0,10.0,11.0,12.0,9.0,11.0
>ENST00000613121.1,8.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0,0.0,11.0,10.0,10.0,8.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,11.0,11.0,8.0,7.0,10.0,10.0,8.0,8.0,8.0,10.0
>ENST00000613889.1,9.0,10.0,13.0,8.0,10.0,9.0,11.0,10.0,8.0,7.0,9.0,10.0,6.0,8.0,9.0,9.0,8.0,10.0,9.0,11.0,0.0,11.0,10.0,9.0,10.0,9.0,8.0,8.0,9.0,10.0,11.0,9.0,10.0,10.0,9.0,10.0,9.0,8.0,10.0,10.0,8.0,10.0,9.0,8.0
>ENST00000427728.1,10.0,12.0,7.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,12.0,8.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,11.0,0.0,9.0,10.0,7.0,9.0,8.0,10.0,12.0,11.0,9.0,10.0,9.0,8.0,10.0,11.0,10.0,7.0,9.0,11.0,8.0,10.0,8.0,10.0
