,>ENST00000450208.1,>ENST00000557448.1,>ENST00000435399.1,>ENST00000515103.2,>ENST00000429913.2,>ENST00000490933.1,>ENST00000603320.1,>ENST00000422498.1,>ENST00000506570.1,>ENST00000631724.1,>ENST00000445020.1,>ENST00000435919.2,>ENST00000435382.1,>ENST00000504529.2,>ENST00000539655.1,>ENST00000474487.1,>ENST00000504659.1,>ENST00000584626.1,>ENST00000412728.1,>ENST00000450549.1,>ENST00000307155.5,ENSG00000212111.2,>ENST00000617576.2,>ENST00000438230.1,>ENST00000446618.1,>ENST00000600684.2,>ENST00000604204.1,>ENST00000531893.1,>ENST00000456945.1,>ENST00000618455.4,>ENST00000556933.1,>ENST00000421490.1,>ENST00000442257.1,>ENST00000595083.2,>ENST00000423475.1,>ENST00000506069.1,ENSG00000170684.8,>ENST00000595491.1,>ENST00000569805.2,>ENST00000613592.4,>ENST00000530952.1,>ENST00000556497.2,>ENST00000434706.1,>ENST00000554418.1
>ENST00000450208.1,0.0,10.0,8.0,9.0,11.0,9.0,10.0,10.0,8.0,9.0,12.0,11.0,13.0,10.0,8.0,14.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,11.0,12.0,10.0,11.0,10.0,11.0,9.0,10.0,13.0,9.0,9.0,8.0,12.0,8.0,12.0,10.0,10.0,9.0,8.0,9.0
>ENST00000557448.1,10.0,0.0,9.0,10.0,11.0,9.0,11.0,11.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,9.0,9.0,11.0,10.0,11.0,7.0,893.0,10.0,11.0,11.0,10.0,9.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0
>ENST00000435399.1,8.0,9.0,0.0,12.0,11.0,9.0,7.0,9.0,10.0,10.0,9.0,9.0,10.0,7.0,7.0,8.0,9.0,8.0,10.0,7.0,10.0,7.0,9.0,11.0,10.0,10.0,8.0,8.0,9.0,10.0,12.0,8.0,9.0,9.0,10.0,8.0,10.0,8.0,9.0,10.0,102.0,10.0,103.0,8.0
>ENST00000515103.2,9.0,10.0,12.0,0.0,12.0,17.0,9.0,8.0,10.0,10.0,12.0,10.0,9.0,9.0,12.0,10.0,10.0,11.0,10.0,12.0,23.0,8.0,10.0,15.0,11.0,10.0,11.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,8.0,11.0,64.0,9.0,14.0,11.0,8.0,11.0,12.0,9.0
>ENST00000429913.2,11.0,11.0,11.0,12.0,0.0,9.0,10.0,9.0,9.0,10.0,13.0,9.0,10.0,7.0,8.0,10.0,9.0,10.0,11.0,12.0,12.0,7.0,11.0,11.0,10.0,10.0,8.0,12.0,12.0,10.0,12.0,9.0,11.0,10.0,9.0,11.0,11.0,10.0,10.0,11.0,9.0,12.0,10.0,10.0
>ENST00000490933.1,9.0,9.0,9.0,17.0,9.0,0.0,10.0,10.0,9.0,9.0,12.0,10.0,10.0,9.0,9.0,9.0,13.0,9.0,10.0,8.0,12.0,8.0,9.0,11.0,9.0,10.0,11.0,9.0,9.0,13.0,10.0,8.0,9.0,9.0,8.0,8.0,12.0,8.0,12.0,10.0,9.0,11.0,9.0,9.0
>ENST00000603320.1,10.0,11.0,7.0,9.0,10.0,10.0,0.0,7.0,7.0,8.0,8.0,7.0,9.0,7.0,6.0,8.0,8.0,7.0,8.0,7.0,9.0,6.0,9.0,8.0,8.0,8.0,9.0,10.0,8.0,7.0,9.0,7.0,8.0,11.0,10.0,7.0,12.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0
>ENST00000422498.1,10.0,11.0,9.0,8.0,9.0,10.0,7.0,0.0,7.0,8.0,9.0,8.0,9.0,8.0,8.0,11.0,9.0,8.0,8.0,8.0,10.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,8.0,8.0,12.0,10.0,8.0,9.0,8.0,10.0,9.0,8.0
>ENST00000506570.1,8.0,9.0,10.0,10.0,9.0,9.0,7.0,7.0,0.0,8.0,10.0,8.0,12.0,10.0,8.0,8.0,9.0,9.0,9.0,7.0,8.0,5.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,8.0,10.0,12.0,10.0,11.0,9.0,16.0,9.0,12.0,11.0
>ENST00000631724.1,9.0,9.0,10.0,10.0,10.0,9.0,8.0,8.0,8.0,0.0,14.0,9.0,9.0,8.0,9.0,9.0,9.0,11.0,10.0,9.0,10.0,8.0,8.0,11.0,10.0,10.0,9.0,7.0,10.0,9.0,11.0,9.0,9.0,9.0,8.0,8.0,11.0,9.0,10.0,11.0,10.0,9.0,10.0,7.0
>ENST00000445020.1,12.0,10.0,9.0,12.0,13.0,12.0,8.0,9.0,10.0,14.0,0.0,10.0,9.0,8.0,10.0,13.0,10.0,10.0,13.0,10.0,11.0,8.0,12.0,10.0,12.0,10.0,10.0,10.0,10.0,11.0,12.0,10.0,13.0,10.0,9.0,10.0,12.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0
>ENST00000435919.2,11.0,10.0,9.0,10.0,9.0,10.0,7.0,8.0,8.0,9.0,10.0,0.0,11.0,9.0,8.0,8.0,11.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,12.0,9.0,10.0,10.0,10.0,8.0,12.0,9.0,9.0,9.0,12.0,10.0,9.0,12.0,10.0,10.0,9.0,7.0
>ENST00000435382.1,13.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,12.0,9.0,9.0,11.0,0.0,11.0,9.0,12.0,9.0,11.0,11.0,11.0,11.0,8.0,9.0,10.0,13.0,12.0,9.0,10.0,12.0,11.0,13.0,8.0,11.0,8.0,10.0,9.0,11.0,9.0,11.0,9.0,12.0,9.0,12.0,10.0
>ENST00000504529.2,10.0,10.0,7.0,9.0,7.0,9.0,7.0,8.0,10.0,8.0,8.0,9.0,11.0,0.0,8.0,10.0,9.0,10.0,8.0,8.0,11.0,6.0,10.0,9.0,10.0,8.0,9.0,11.0,10.0,8.0,8.0,7.0,9.0,9.0,9.0,7.0,11.0,12.0,10.0,10.0,7.0,8.0,7.0,7.0
>ENST00000539655.1,8.0,8.0,7.0,12.0,8.0,9.0,6.0,8.0,8.0,9.0,10.0,8.0,9.0,8.0,0.0,7.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,10.0,8.0,8.0,8.0,7.0,9.0,9.0,10.0,7.0,8.0,8.0,7.0,9.0,8.0,7.0,9.0,9.0,9.0,8.0,9.0,8.0
>ENST00000474487.1,14.0,10.0,8.0,10.0,10.0,9.0,8.0,11.0,8.0,9.0,13.0,8.0,12.0,10.0,7.0,0.0,11.0,8.0,8.0,9.0,10.0,7.0,10.0,8.0,10.0,10.0,11.0,9.0,8.0,10.0,9.0,9.0,16.0,8.0,9.0,8.0,13.0,10.0,10.0,8.0,9.0,8.0,8.0,9.0
>ENST00000504659.1,9.0,9.0,9.0,10.0,9.0,13.0,8.0,9.0,9.0,9.0,10.0,11.0,9.0,9.0,9.0,11.0,0.0,9.0,10.0,9.0,9.0,8.0,8.0,10.0,10.0,13.0,9.0,9.0,10.0,13.0,9.0,9.0,10.0,8.0,9.0,8.0,11.0,9.0,10.0,9.0,9.0,11.0,9.0,11.0
>ENST00000584626.1,9.0,9.0,8.0,11.0,10.0,9.0,7.0,8.0,9.0,11.0,10.0,9.0,11.0,10.0,8.0,8.0,9.0,0.0,8.0,8.0,12.0,8.0,9.0,9.0,8.0,10.0,8.0,7.0,9.0,10.0,11.0,9.0,8.0,11.0,8.0,8.0,9.0,8.0,9.0,10.0,8.0,11.0,8.0,7.0
>ENST00000412728.1,10.0,11.0,10.0,10.0,11.0,10.0,8.0,8.0,9.0,10.0,13.0,10.0,11.0,8.0,8.0,8.0,10.0,8.0,0.0,9.0,11.0,7.0,9.0,9.0,10.0,10.0,10.0,9.0,11.0,10.0,9.0,9.0,10.0,11.0,7.0,9.0,10.0,8.0,11.0,11.0,10.0,11.0,11.0,8.0
>ENST00000450549.1,9.0,10.0,7.0,12.0,12.0,8.0,7.0,8.0,7.0,9.0,10.0,9.0,11.0,8.0,8.0,9.0,9.0,8.0,9.0,0.0,9.0,6.0,9.0,10.0,10.0,10.0,9.0,8.0,10.0,8.0,10.0,7.0,10.0,9.0,9.0,7.0,10.0,8.0,10.0,12.0,8.0,9.0,8.0,7.0
>ENST00000307155.5,9.0,11.0,10.0,23.0,12.0,12.0,9.0,10.0,8.0,10.0,11.0,9.0,11.0,11.0,7.0,10.0,9.0,12.0,11.0,9.0,0.0,8.0,11.0,10.0,10.0,11.0,9.0,9.0,11.0,10.0,10.0,8.0,11.0,8.0,11.0,10.0,78.0,9.0,10.0,9.0,9.0,12.0,9.0,8.0
ENSG00000212111.2,10.0,7.0,7.0,8.0,7.0,8.0,6.0,9.0,5.0,8.0,8.0,9.0,8.0,6.0,8.0,7.0,8.0,8.0,7.0,6.0,8.0,0.0,7.0,8.0,7.0,7.0,7.0,6.0,6.0,7.0,8.0,8.0,7.0,7.0,6.0,7.0,8.0,7.0,8.0,7.0,6.0,11.0,6.0,8.0
>ENST00000617576.2,10.0,893.0,9.0,10.0,11.0,9.0,9.0,11.0,8.0,8.0,12.0,9.0,9.0,10.0,8.0,10.0,8.0,9.0,9.0,9.0,11.0,7.0,0.0,8.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,8.0,11.0,8.0,9.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0
>ENST00000438230.1,9.0,10.0,11.0,15.0,11.0,11.0,8.0,9.0,9.0,11.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,9.0,9.0,10.0,10.0,8.0,8.0,0.0,12.0,10.0,10.0,10.0,11.0,11.0,11.0,9.0,11.0,9.0,9.0,10.0,11.0,8.0,11.0,13.0,11.0,11.0,12.0,9.0
>ENST00000446618.1,11.0,11.0,10.0,11.0,10.0,9.0,8.0,10.0,9.0,10.0,12.0,10.0,13.0,10.0,8.0,10.0,10.0,8.0,10.0,10.0,10.0,7.0,11.0,12.0,0.0,11.0,10.0,12.0,10.0,12.0,10.0,9.0,11.0,9.0,10.0,11.0,12.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0
>ENST00000600684.2,12.0,11.0,10.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,11.0,12.0,8.0,8.0,10.0,13.0,10.0,10.0,10.0,11.0,7.0,11.0,10.0,11.0,0.0,9.0,10.0,10.0,11.0,10.0,9.0,11.0,10.0,9.0,10.0,12.0,10.0,10.0,10.0,10.0,11.0,9.0,12.0
>ENST00000604204.1,10.0,10.0,8.0,11.0,8.0,11.0,9.0,9.0,10.0,9.0,10.0,12.0,9.0,9.0,8.0,11.0,9.0,8.0,10.0,9.0,9.0,7.0,10.0,10.0,10.0,9.0,0.0,10.0,10.0,10.0,12.0,10.0,10.0,9.0,9.0,9.0,13.0,9.0,11.0,11.0,10.0,9.0,9.0,10.0
>ENST00000531893.1,11.0,9.0,8.0,10.0,12.0,9.0,10.0,9.0,9.0,7.0,10.0,9.0,10.0,11.0,7.0,9.0,9.0,7.0,9.0,8.0,9.0,6.0,10.0,10.0,12.0,10.0,10.0,0.0,9.0,9.0,10.0,7.0,10.0,8.0,11.0,8.0,10.0,8.0,10.0,12.0,8.0,10.0,8.0,9.0
>ENST00000456945.1,10.0,10.0,9.0,9.0,12.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,12.0,10.0,9.0,8.0,10.0,9.0,11.0,10.0,11.0,6.0,10.0,11.0,10.0,10.0,10.0,9.0,0.0,9.0,10.0,10.0,10.0,12.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0,12.0,9.0,9.0
>ENST00000618455.4,11.0,10.0,10.0,10.0,10.0,13.0,7.0,10.0,9.0,9.0,11.0,10.0,11.0,8.0,9.0,10.0,13.0,10.0,10.0,8.0,10.0,7.0,10.0,11.0,12.0,11.0,10.0,9.0,9.0,0.0,11.0,9.0,13.0,11.0,9.0,11.0,13.0,10.0,12.0,10.0,11.0,11.0,11.0,9.0
>ENST00000556933.1,9.0,10.0,12.0,10.0,12.0,10.0,9.0,8.0,10.0,11.0,12.0,10.0,13.0,8.0,10.0,9.0,9.0,11.0,9.0,10.0,10.0,8.0,9.0,11.0,10.0,10.0,12.0,10.0,10.0,11.0,0.0,10.0,12.0,10.0,9.0,9.0,12.0,9.0,10.0,11.0,12.0,13.0,12.0,10.0
>ENST00000421490.1,10.0,8.0,8.0,9.0,9.0,8.0,7.0,8.0,9.0,9.0,10.0,8.0,8.0,7.0,7.0,9.0,9.0,9.0,9.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,7.0,10.0,9.0,10.0,0.0,9.0,7.0,12.0,9.0,11.0,8.0,9.0,9.0,8.0,12.0,7.0,8.0
>ENST00000442257.1,13.0,10.0,9.0,10.0,11.0,9.0,8.0,9.0,10.0,9.0,13.0,12.0,11.0,9.0,8.0,16.0,10.0,8.0,10.0,10.0,11.0,7.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,13.0,12.0,9.0,0.0,10.0,9.0,9.0,13.0,9.0,11.0,13.0,9.0,11.0,10.0,12.0
>ENST00000595083.2,9.0,10.0,9.0,9.0,10.0,9.0,11.0,8.0,8.0,9.0,10.0,9.0,8.0,9.0,8.0,8.0,8.0,11.0,11.0,9.0,8.0,7.0,8.0,9.0,9.0,10.0,9.0,8.0,12.0,11.0,10.0,7.0,10.0,0.0,8.0,7.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,8.0
>ENST00000423475.1,9.0,10.0,10.0,8.0,9.0,8.0,10.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,7.0,9.0,9.0,8.0,7.0,9.0,11.0,6.0,9.0,9.0,10.0,9.0,9.0,11.0,11.0,9.0,9.0,12.0,9.0,8.0,0.0,8.0,12.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0
>ENST00000506069.1,8.0,9.0,8.0,11.0,11.0,8.0,7.0,8.0,10.0,8.0,10.0,9.0,9.0,7.0,9.0,8.0,8.0,8.0,9.0,7.0,10.0,7.0,9.0,10.0,11.0,10.0,9.0,8.0,10.0,11.0,9.0,9.0,9.0,7.0,8.0,0.0,20.0,8.0,10.0,9.0,9.0,9.0,8.0,11.0
