,>ENST00000418938.2,>ENST00000514065.1,>ENST00000555485.2,>ENST00000588235.1,>ENST00000502851.1,>ENST00000575692.1,>ENST00000581686.1,>ENST00000503531.1,>ENST00000514930.1,>ENST00000504399.1,ENSG00000201009.1,>ENST00000468402.1,>ENST00000425839.1,>ENST00000421146.1,>ENST00000433229.1,>ENST00000556193.2,>ENST00000462549.1,>ENST00000603848.1,>ENST00000620852.1,>ENST00000554326.2,>ENST00000432923.2,>ENST00000528711.1,>ENST00000569452.1,>ENST00000503735.1,>ENST00000507171.1,>ENST00000548270.1
>ENST00000418938.2,0.0,9.0,10.0,9.0,12.0,10.0,8.0,10.0,9.0,9.0,7.0,10.0,10.0,10.0,9.0,10.0,9.0,11.0,9.0,12.0,11.0,12.0,7.0,10.0,10.0,9.0
>ENST00000514065.1,9.0,0.0,9.0,9.0,10.0,10.0,9.0,8.0,8.0,13.0,7.0,10.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,7.0,12.0,10.0
>ENST00000555485.2,10.0,9.0,0.0,10.0,9.0,10.0,9.0,8.0,8.0,11.0,8.0,10.0,10.0,10.0,9.0,9.0,12.0,7.0,8.0,8.0,9.0,11.0,8.0,8.0,9.0,11.0
>ENST00000588235.1,9.0,9.0,10.0,0.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,7.0,9.0,9.0,8.0,8.0,9.0,8.0
>ENST00000502851.1,12.0,10.0,9.0,8.0,0.0,9.0,11.0,10.0,11.0,11.0,7.0,12.0,10.0,13.0,9.0,10.0,10.0,10.0,9.0,9.0,11.0,8.0,8.0,9.0,10.0,9.0
>ENST00000575692.1,10.0,10.0,10.0,10.0,9.0,0.0,10.0,10.0,10.0,11.0,9.0,11.0,11.0,9.0,8.0,12.0,11.0,9.0,8.0,8.0,8.0,11.0,8.0,9.0,10.0,9.0
>ENST00000581686.1,8.0,9.0,9.0,9.0,11.0,10.0,0.0,10.0,11.0,11.0,8.0,12.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0,10.0,7.0,9.0,9.0,9.0
>ENST00000503531.1,10.0,8.0,8.0,9.0,10.0,10.0,10.0,0.0,8.0,9.0,8.0,10.0,11.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,9.0,10.0,13.0
>ENST00000514930.1,9.0,8.0,8.0,9.0,11.0,10.0,11.0,8.0,0.0,9.0,7.0,9.0,9.0,8.0,8.0,8.0,11.0,8.0,9.0,10.0,9.0,8.0,8.0,12.0,11.0,8.0
>ENST00000504399.1,9.0,13.0,11.0,9.0,11.0,11.0,11.0,9.0,9.0,0.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0,8.0,12.0,7.0,11.0,10.0,9.0,11.0,10.0,8.0
ENSG00000201009.1,7.0,7.0,8.0,8.0,7.0,9.0,8.0,8.0,7.0,9.0,0.0,8.0,9.0,9.0,6.0,9.0,8.0,6.0,7.0,8.0,7.0,9.0,6.0,8.0,9.0,9.0
>ENST00000468402.1,10.0,10.0,10.0,9.0,12.0,11.0,12.0,10.0,9.0,10.0,8.0,0.0,12.0,10.0,10.0,9.0,10.0,8.0,9.0,12.0,9.0,8.0,11.0,12.0,13.0,9.0
>ENST00000425839.1,10.0,9.0,10.0,9.0,10.0,11.0,9.0,11.0,9.0,10.0,9.0,12.0,0.0,10.0,9.0,15.0,10.0,8.0,10.0,11.0,10.0,10.0,11.0,11.0,12.0,10.0
>ENST00000421146.1,10.0,8.0,10.0,9.0,13.0,9.0,10.0,10.0,8.0,9.0,9.0,10.0,10.0,0.0,8.0,11.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0
>ENST00000433229.1,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,6.0,10.0,9.0,8.0,0.0,9.0,9.0,8.0,7.0,7.0,8.0,8.0,8.0,9.0,10.0,8.0
>ENST00000556193.2,10.0,9.0,9.0,8.0,10.0,12.0,9.0,10.0,8.0,9.0,9.0,9.0,15.0,11.0,9.0,0.0,9.0,8.0,8.0,11.0,11.0,10.0,8.0,10.0,11.0,10.0
>ENST00000462549.1,9.0,9.0,12.0,9.0,10.0,11.0,10.0,9.0,11.0,10.0,8.0,10.0,10.0,12.0,9.0,9.0,0.0,8.0,9.0,10.0,8.0,10.0,9.0,7.0,9.0,9.0
>ENST00000603848.1,11.0,9.0,7.0,8.0,10.0,9.0,8.0,9.0,8.0,8.0,6.0,8.0,8.0,9.0,8.0,8.0,8.0,0.0,10.0,7.0,8.0,7.0,9.0,7.0,12.0,8.0
>ENST00000620852.1,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,12.0,7.0,9.0,10.0,9.0,7.0,8.0,9.0,10.0,0.0,8.0,9.0,7.0,7.0,7.0,9.0,9.0
>ENST00000554326.2,12.0,8.0,8.0,7.0,9.0,8.0,9.0,10.0,10.0,7.0,8.0,12.0,11.0,9.0,7.0,11.0,10.0,7.0,8.0,0.0,8.0,9.0,7.0,10.0,9.0,10.0
>ENST00000432923.2,11.0,10.0,9.0,9.0,11.0,8.0,10.0,9.0,9.0,11.0,7.0,9.0,10.0,9.0,8.0,11.0,8.0,8.0,9.0,8.0,0.0,9.0,9.0,11.0,10.0,9.0
>ENST00000528711.1,12.0,9.0,11.0,9.0,8.0,11.0,10.0,8.0,8.0,10.0,9.0,8.0,10.0,9.0,8.0,10.0,10.0,7.0,7.0,9.0,9.0,0.0,7.0,8.0,8.0,10.0
>ENST00000569452.1,7.0,10.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,6.0,11.0,11.0,9.0,8.0,8.0,9.0,9.0,7.0,7.0,9.0,7.0,0.0,10.0,11.0,8.0
>ENST00000503735.1,10.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,12.0,11.0,8.0,12.0,11.0,9.0,9.0,10.0,7.0,7.0,7.0,10.0,11.0,8.0,10.0,0.0,9.0,9.0
>ENST00000507171.1,10.0,12.0,9.0,9.0,10.0,10.0,9.0,10.0,11.0,10.0,9.0,13.0,12.0,10.0,10.0,11.0,9.0,12.0,9.0,9.0,10.0,8.0,11.0,9.0,0.0,9.0
>ENST00000548270.1,9.0,10.0,11.0,8.0,9.0,9.0,9.0,13.0,8.0,8.0,9.0,9.0,10.0,8.0,8.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,0.0
