,>ENST00000452663.1,>ENST00000517788.1,>ENST00000570323.1,>ENST00000613638.1,>ENST00000444036.1,>ENST00000608772.1,>ENST00000436977.1,ENSG00000181449.3,ENSG00000276746.1,>ENST00000593607.1,>ENST00000447105.1,>ENST00000414751.1,>ENST00000456160.1,>ENST00000435568.1,>ENST00000467018.3,>ENST00000406097.2,>ENST00000431137.1,>ENST00000549314.1,>ENST00000466609.1,>ENST00000415181.1,>ENST00000510009.1,>ENST00000417699.1,>ENST00000524675.1,>ENST00000605279.1,>ENST00000532761.1,>ENST00000414395.1,>ENST00000422734.1,>ENST00000406017.3,>ENST00000391729.1,>ENST00000605404.1,>ENST00000478870.1,>ENST00000589292.1,>ENST00000450305.2,>ENST00000436499.1,>ENST00000415292.1,>ENST00000507007.2,>ENST00000499125.3,>ENST00000485242.1,>ENST00000429392.1,>ENST00000366220.2
>ENST00000452663.1,0.0,9.0,9.0,10.0,8.0,9.0,11.0,12.0,8.0,9.0,10.0,9.0,10.0,10.0,9.0,11.0,9.0,9.0,10.0,8.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0,11.0,11.0,10.0,10.0,13.0,8.0,9.0,10.0,9.0,9.0,10.0,11.0,10.0
>ENST00000517788.1,9.0,0.0,8.0,10.0,12.0,10.0,13.0,14.0,8.0,9.0,11.0,9.0,10.0,11.0,9.0,9.0,12.0,9.0,12.0,10.0,13.0,11.0,12.0,9.0,11.0,10.0,9.0,12.0,11.0,9.0,8.0,10.0,10.0,11.0,10.0,10.0,8.0,10.0,9.0,12.0
>ENST00000570323.1,9.0,8.0,0.0,9.0,10.0,9.0,11.0,10.0,9.0,7.0,9.0,11.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,8.0,12.0,9.0,9.0,7.0,10.0,8.0,8.0,10.0,8.0,10.0,9.0,9.0,9.0,8.0,8.0,11.0,8.0,9.0,10.0,11.0
>ENST00000613638.1,10.0,10.0,9.0,0.0,8.0,8.0,10.0,10.0,8.0,8.0,9.0,8.0,10.0,10.0,8.0,9.0,9.0,8.0,12.0,10.0,10.0,10.0,9.0,8.0,8.0,11.0,10.0,10.0,12.0,9.0,8.0,10.0,9.0,7.0,10.0,9.0,10.0,10.0,8.0,8.0
>ENST00000444036.1,8.0,12.0,10.0,8.0,0.0,8.0,10.0,10.0,8.0,8.0,10.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0,12.0,9.0,11.0,10.0,11.0,8.0,8.0,10.0,10.0,7.0,9.0,10.0,7.0,7.0,9.0,9.0
>ENST00000608772.1,9.0,10.0,9.0,8.0,8.0,0.0,10.0,11.0,7.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,11.0,12.0,10.0,9.0,9.0,10.0,14.0,9.0,8.0,11.0,10.0,8.0,9.0,10.0,9.0,8.0,8.0,10.0,9.0,8.0,11.0,10.0
>ENST00000436977.1,11.0,13.0,11.0,10.0,10.0,10.0,0.0,17.0,8.0,9.0,10.0,13.0,11.0,10.0,9.0,10.0,11.0,8.0,12.0,11.0,10.0,11.0,9.0,10.0,9.0,11.0,11.0,11.0,9.0,12.0,10.0,10.0,11.0,10.0,11.0,11.0,12.0,12.0,12.0,11.0
ENSG00000181449.3,12.0,14.0,10.0,10.0,10.0,11.0,17.0,0.0,10.0,10.0,9.0,10.0,10.0,11.0,11.0,11.0,12.0,9.0,13.0,11.0,10.0,13.0,11.0,9.0,10.0,10.0,10.0,12.0,10.0,11.0,10.0,11.0,11.0,8.0,11.0,12.0,9.0,9.0,12.0,10.0
ENSG00000276746.1,8.0,8.0,9.0,8.0,8.0,7.0,8.0,10.0,0.0,7.0,9.0,8.0,8.0,10.0,6.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,11.0,7.0,8.0,12.0,8.0,9.0,8.0,9.0,10.0,7.0,6.0,8.0,8.0
>ENST00000593607.1,9.0,9.0,7.0,8.0,8.0,9.0,9.0,10.0,7.0,0.0,8.0,9.0,10.0,10.0,8.0,11.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,10.0,8.0,9.0,10.0,8.0,7.0,9.0,8.0
