,>ENST00000474761.1,>ENST00000346911.4,>ENST00000571212.1,>ENST00000464655.1,>ENST00000438496.6,>ENST00000358778.4,>ENST00000519444.1,>ENST00000559254.1,>ENST00000283110.7,>ENST00000567330.1,>ENST00000555129.1,>ENST00000550676.1,>ENST00000551999.2,>ENST00000414397.1,>ENST00000512491.2,>ENST00000513530.1,>ENST00000527164.1,>ENST00000467028.1,>ENST00000456186.1,>ENST00000488511.2,>ENST00000454858.1,>ENST00000476193.1,>ENST00000403842.2,>ENST00000425022.2,>ENST00000518356.1,>ENST00000562267.2,>ENST00000478512.1,>ENST00000508637.2,>ENST00000605717.1,>ENST00000547280.1,>ENST00000419108.1,>ENST00000440440.1
>ENST00000474761.1,0.0,9.0,9.0,9.0,10.0,7.0,8.0,10.0,8.0,8.0,9.0,8.0,7.0,7.0,9.0,7.0,8.0,8.0,9.0,8.0,10.0,9.0,8.0,8.0,8.0,9.0,7.0,7.0,9.0,10.0,9.0,8.0
>ENST00000346911.4,9.0,0.0,11.0,11.0,11.0,9.0,8.0,11.0,9.0,10.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,11.0,10.0,10.0,9.0,10.0,15.0,10.0,7.0,8.0,8.0,10.0,10.0,8.0,10.0,7.0
>ENST00000571212.1,9.0,11.0,0.0,13.0,9.0,9.0,9.0,11.0,9.0,13.0,11.0,10.0,12.0,14.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,11.0,11.0,11.0,9.0,8.0,13.0,11.0,10.0,8.0,12.0,10.0
>ENST00000464655.1,9.0,11.0,13.0,0.0,10.0,16.0,10.0,9.0,8.0,11.0,11.0,10.0,11.0,11.0,13.0,11.0,12.0,10.0,10.0,16.0,8.0,10.0,9.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,12.0,8.0
>ENST00000438496.6,10.0,11.0,9.0,10.0,0.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,11.0,8.0,10.0,8.0,10.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,7.0,10.0,8.0,11.0,10.0
>ENST00000358778.4,7.0,9.0,9.0,16.0,9.0,0.0,8.0,8.0,9.0,9.0,10.0,9.0,8.0,8.0,9.0,8.0,10.0,8.0,9.0,8.0,11.0,11.0,9.0,9.0,7.0,8.0,8.0,10.0,11.0,8.0,12.0,10.0
>ENST00000519444.1,8.0,8.0,9.0,10.0,9.0,8.0,0.0,10.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,11.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,8.0,10.0,7.0,11.0,8.0
>ENST00000559254.1,10.0,11.0,11.0,9.0,10.0,8.0,10.0,0.0,9.0,11.0,8.0,9.0,8.0,9.0,8.0,9.0,10.0,9.0,10.0,8.0,8.0,8.0,9.0,7.0,9.0,7.0,8.0,8.0,8.0,7.0,11.0,7.0
>ENST00000283110.7,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,0.0,9.0,10.0,11.0,8.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,10.0,10.0,11.0,9.0,7.0,7.0,8.0,8.0,12.0,8.0,12.0,7.0
>ENST00000567330.1,8.0,10.0,13.0,11.0,9.0,9.0,8.0,11.0,9.0,0.0,8.0,11.0,10.0,9.0,11.0,9.0,10.0,14.0,10.0,11.0,10.0,8.0,10.0,9.0,9.0,8.0,8.0,9.0,11.0,8.0,10.0,8.0
>ENST00000555129.1,9.0,9.0,11.0,11.0,9.0,10.0,9.0,8.0,10.0,8.0,0.0,7.0,8.0,8.0,10.0,8.0,9.0,11.0,8.0,9.0,8.0,11.0,8.0,7.0,9.0,7.0,10.0,11.0,9.0,8.0,10.0,8.0
>ENST00000550676.1,8.0,8.0,10.0,10.0,9.0,9.0,10.0,9.0,11.0,11.0,7.0,0.0,8.0,8.0,9.0,8.0,10.0,10.0,10.0,8.0,8.0,9.0,10.0,9.0,10.0,9.0,7.0,10.0,9.0,9.0,10.0,8.0
>ENST00000551999.2,7.0,9.0,12.0,11.0,9.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,0.0,9.0,10.0,9.0,10.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,7.0,8.0,8.0,10.0,8.0,10.0,8.0
>ENST00000414397.1,7.0,9.0,14.0,11.0,8.0,8.0,9.0,9.0,10.0,9.0,8.0,8.0,9.0,0.0,10.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,10.0,8.0,10.0,7.0
>ENST00000512491.2,9.0,10.0,10.0,13.0,11.0,9.0,10.0,8.0,9.0,11.0,10.0,9.0,10.0,10.0,0.0,9.0,9.0,9.0,8.0,9.0,12.0,9.0,9.0,10.0,11.0,8.0,9.0,10.0,10.0,8.0,9.0,9.0
>ENST00000513530.1,7.0,9.0,10.0,11.0,8.0,8.0,11.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,0.0,9.0,11.0,8.0,8.0,11.0,10.0,10.0,9.0,8.0,7.0,9.0,9.0,10.0,9.0,11.0,9.0
>ENST00000527164.1,8.0,9.0,10.0,12.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,0.0,9.0,8.0,10.0,9.0,12.0,10.0,9.0,10.0,7.0,11.0,10.0,8.0,10.0,12.0,10.0
>ENST00000467028.1,8.0,11.0,10.0,10.0,8.0,8.0,10.0,9.0,8.0,14.0,11.0,10.0,9.0,10.0,9.0,11.0,9.0,0.0,8.0,9.0,11.0,11.0,11.0,8.0,9.0,7.0,9.0,10.0,12.0,7.0,10.0,8.0
>ENST00000456186.1,9.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,8.0,10.0,8.0,10.0,8.0,9.0,8.0,8.0,8.0,8.0,0.0,10.0,9.0,9.0,10.0,9.0,7.0,7.0,9.0,10.0,10.0,7.0,12.0,8.0
>ENST00000488511.2,8.0,10.0,9.0,16.0,8.0,8.0,9.0,8.0,9.0,11.0,9.0,8.0,8.0,9.0,9.0,8.0,10.0,9.0,10.0,0.0,9.0,9.0,11.0,7.0,8.0,9.0,8.0,9.0,11.0,9.0,10.0,9.0
>ENST00000454858.1,10.0,9.0,11.0,8.0,9.0,11.0,9.0,8.0,10.0,10.0,8.0,8.0,8.0,8.0,12.0,11.0,9.0,11.0,9.0,9.0,0.0,11.0,9.0,8.0,7.0,8.0,9.0,9.0,10.0,7.0,10.0,8.0
>ENST00000476193.1,9.0,10.0,11.0,10.0,8.0,11.0,9.0,8.0,10.0,8.0,11.0,9.0,9.0,9.0,9.0,10.0,12.0,11.0,9.0,9.0,11.0,0.0,10.0,8.0,10.0,8.0,9.0,8.0,9.0,8.0,10.0,9.0
>ENST00000403842.2,8.0,15.0,11.0,9.0,9.0,9.0,9.0,9.0,11.0,10.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,11.0,10.0,11.0,9.0,10.0,0.0,8.0,8.0,7.0,9.0,27.0,10.0,7.0,9.0,8.0
>ENST00000425022.2,8.0,10.0,11.0,8.0,8.0,9.0,8.0,7.0,9.0,9.0,7.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0,7.0,8.0,8.0,8.0,0.0,7.0,7.0,8.0,8.0,8.0,7.0,10.0,8.0
>ENST00000518356.1,8.0,7.0,9.0,8.0,9.0,7.0,7.0,9.0,7.0,9.0,9.0,10.0,8.0,8.0,11.0,8.0,10.0,9.0,7.0,8.0,7.0,10.0,8.0,7.0,0.0,9.0,7.0,7.0,9.0,8.0,12.0,8.0
>ENST00000562267.2,9.0,8.0,8.0,8.0,9.0,8.0,9.0,7.0,7.0,8.0,7.0,9.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,9.0,8.0,8.0,7.0,7.0,9.0,0.0,11.0,7.0,9.0,7.0,12.0,9.0
>ENST00000478512.1,7.0,8.0,13.0,9.0,10.0,8.0,9.0,8.0,8.0,8.0,10.0,7.0,8.0,9.0,9.0,9.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,11.0,0.0,7.0,7.0,7.0,10.0,8.0
>ENST00000508637.2,7.0,10.0,11.0,9.0,7.0,10.0,8.0,8.0,8.0,9.0,11.0,10.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,27.0,8.0,7.0,7.0,7.0,0.0,10.0,8.0,9.0,7.0
>ENST00000605717.1,9.0,10.0,10.0,10.0,10.0,11.0,10.0,8.0,12.0,11.0,9.0,9.0,10.0,10.0,10.0,10.0,8.0,12.0,10.0,11.0,10.0,9.0,10.0,8.0,9.0,9.0,7.0,10.0,0.0,8.0,10.0,8.0
>ENST00000547280.1,10.0,8.0,8.0,9.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,7.0,7.0,9.0,7.0,8.0,7.0,7.0,8.0,7.0,7.0,8.0,8.0,0.0,11.0,8.0
>ENST00000419108.1,9.0,10.0,12.0,12.0,11.0,12.0,11.0,11.0,12.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,12.0,10.0,12.0,10.0,10.0,10.0,9.0,10.0,12.0,12.0,10.0,9.0,10.0,11.0,0.0,10.0
>ENST00000440440.1,8.0,7.0,10.0,8.0,10.0,10.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,8.0,8.0,10.0,0.0
