,>ENST00000605115.1,>ENST00000573303.1,>ENST00000398689.2,>ENST00000562061.1,>ENST00000472594.3,>ENST00000505638.2,>ENST00000438116.2,>ENST00000436954.1,>ENST00000412323.1,>ENST00000439212.1,>ENST00000530847.1,>ENST00000425885.1,>ENST00000399971.8,>ENST00000559892.2,>ENST00000464473.1,>ENST00000441585.1,>ENST00000596581.1,>ENST00000603270.1
>ENST00000605115.1,0.0,10.0,11.0,10.0,10.0,16.0,12.0,12.0,8.0,9.0,10.0,8.0,10.0,9.0,11.0,10.0,9.0,10.0
>ENST00000573303.1,10.0,0.0,9.0,8.0,9.0,10.0,11.0,8.0,8.0,11.0,10.0,8.0,9.0,8.0,8.0,10.0,9.0,10.0
>ENST00000398689.2,11.0,9.0,0.0,12.0,9.0,13.0,11.0,11.0,11.0,10.0,11.0,9.0,11.0,11.0,11.0,10.0,11.0,12.0
>ENST00000562061.1,10.0,8.0,12.0,0.0,8.0,13.0,14.0,10.0,10.0,11.0,9.0,9.0,10.0,9.0,10.0,10.0,11.0,10.0
>ENST00000472594.3,10.0,9.0,9.0,8.0,0.0,10.0,10.0,8.0,9.0,9.0,10.0,8.0,10.0,11.0,10.0,11.0,12.0,9.0
>ENST00000505638.2,16.0,10.0,13.0,13.0,10.0,0.0,11.0,8.0,9.0,10.0,9.0,9.0,12.0,10.0,10.0,12.0,10.0,9.0
>ENST00000438116.2,12.0,11.0,11.0,14.0,10.0,11.0,0.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,11.0,9.0,9.0
>ENST00000436954.1,12.0,8.0,11.0,10.0,8.0,8.0,10.0,0.0,11.0,9.0,8.0,8.0,11.0,8.0,9.0,8.0,8.0,9.0
>ENST00000412323.1,8.0,8.0,11.0,10.0,9.0,9.0,10.0,11.0,0.0,11.0,10.0,7.0,11.0,9.0,8.0,15.0,8.0,9.0
>ENST00000439212.1,9.0,11.0,10.0,11.0,9.0,10.0,11.0,9.0,11.0,0.0,8.0,8.0,11.0,10.0,8.0,9.0,9.0,8.0
>ENST00000530847.1,10.0,10.0,11.0,9.0,10.0,9.0,10.0,8.0,10.0,8.0,0.0,9.0,10.0,9.0,10.0,10.0,8.0,9.0
>ENST00000425885.1,8.0,8.0,9.0,9.0,8.0,9.0,10.0,8.0,7.0,8.0,9.0,0.0,10.0,10.0,9.0,9.0,11.0,11.0
>ENST00000399971.8,10.0,9.0,11.0,10.0,10.0,12.0,10.0,11.0,11.0,11.0,10.0,10.0,0.0,10.0,9.0,10.0,10.0,10.0
>ENST00000559892.2,9.0,8.0,11.0,9.0,11.0,10.0,11.0,8.0,9.0,10.0,9.0,10.0,10.0,0.0,8.0,10.0,12.0,9.0
>ENST00000464473.1,11.0,8.0,11.0,10.0,10.0,10.0,10.0,9.0,8.0,8.0,10.0,9.0,9.0,8.0,0.0,11.0,9.0,9.0
>ENST00000441585.1,10.0,10.0,10.0,10.0,11.0,12.0,11.0,8.0,15.0,9.0,10.0,9.0,10.0,10.0,11.0,0.0,11.0,10.0
>ENST00000596581.1,9.0,9.0,11.0,11.0,12.0,10.0,9.0,8.0,8.0,9.0,8.0,11.0,10.0,12.0,9.0,11.0,0.0,8.0
>ENST00000603270.1,10.0,10.0,12.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,11.0,10.0,9.0,9.0,10.0,8.0,0.0
