,>ENST00000441522.2,ENSG00000146676.6,>ENST00000605318.1,>ENST00000406943.1,>ENST00000427308.1,>ENST00000422385.2,>ENST00000513160.1,>ENST00000502532.1,>ENST00000503376.1,>ENST00000617570.1,>ENST00000563487.1,>ENST00000612652.1,>ENST00000555149.2,>ENST00000456738.1,>ENST00000505813.1,>ENST00000449061.2,>ENST00000424780.1,>ENST00000453838.2,>ENST00000475257.1,>ENST00000430569.1,>ENST00000441721.1,>ENST00000432906.1,>ENST00000454901.1,>ENST00000418195.1,>ENST00000427515.2,>ENST00000435639.1,>ENST00000517931.1,>ENST00000519230.1,>ENST00000520848.1,>ENST00000415786.1,>ENST00000604963.1,>ENST00000508037.1,>ENST00000534164.5,>ENST00000456547.2,>ENST00000427983.2,>ENST00000453923.1,>ENST00000446539.1,ENSG00000200570.1,>ENST00000336399.5,>ENST00000413323.1,>ENST00000429883.1,>ENST00000604924.1,>ENST00000604431.1,>ENST00000436086.2,>ENST00000437571.1,>ENST00000614590.1,>ENST00000564755.1,>ENST00000605168.1,>ENST00000604683.1,>ENST00000528788.1,>ENST00000529327.1,>ENST00000498103.1,>ENST00000448037.1,ENSG00000275128.1,>ENST00000531125.1,>ENST00000466433.1,>ENST00000454541.1,>ENST00000415639.1
>ENST00000441522.2,0.0,9.0,9.0,7.0,7.0,8.0,9.0,9.0,8.0,9.0,7.0,7.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,10.0,14.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,9.0,10.0,11.0,10.0,9.0,10.0,7.0,11.0,8.0,9.0,10.0,10.0,8.0,8.0,8.0,8.0,7.0,9.0,9.0,7.0,8.0,8.0,9.0,9.0,10.0,8.0,8.0,8.0,7.0
ENSG00000146676.6,9.0,0.0,12.0,12.0,11.0,12.0,11.0,17.0,11.0,12.0,11.0,11.0,12.0,11.0,14.0,12.0,12.0,11.0,10.0,11.0,13.0,12.0,11.0,12.0,10.0,15.0,10.0,12.0,10.0,11.0,12.0,11.0,12.0,11.0,11.0,10.0,11.0,11.0,12.0,12.0,17.0,10.0,13.0,11.0,10.0,14.0,10.0,10.0,12.0,12.0,10.0,10.0,11.0,27.0,89.0,12.0,11.0,11.0
>ENST00000605318.1,9.0,12.0,0.0,9.0,8.0,9.0,11.0,11.0,8.0,13.0,9.0,8.0,11.0,9.0,10.0,11.0,9.0,10.0,10.0,9.0,9.0,11.0,11.0,12.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,11.0,9.0,12.0,10.0,10.0,9.0,11.0,9.0,10.0,8.0,9.0,10.0,9.0,8.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0,11.0,9.0,8.0,8.0,12.0
>ENST00000406943.1,7.0,12.0,9.0,0.0,9.0,13.0,9.0,11.0,7.0,10.0,8.0,8.0,8.0,9.0,11.0,10.0,10.0,9.0,8.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,11.0,10.0,8.0,11.0,9.0,11.0,10.0,9.0,8.0,9.0,8.0,10.0,12.0,8.0,9.0,7.0,7.0,8.0,9.0,10.0,9.0,11.0,9.0,10.0,8.0,9.0,188.0,10.0,9.0
>ENST00000427308.1,7.0,11.0,8.0,9.0,0.0,11.0,7.0,10.0,8.0,9.0,9.0,8.0,8.0,8.0,10.0,10.0,8.0,10.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0,8.0,8.0,9.0,7.0,9.0,9.0,9.0,11.0,11.0,10.0,8.0,8.0,10.0,9.0,11.0,9.0,8.0,10.0,8.0,8.0,8.0,7.0,10.0,9.0,9.0,10.0,9.0,8.0,7.0,10.0,8.0,10.0,9.0
>ENST00000422385.2,8.0,12.0,9.0,13.0,11.0,0.0,10.0,10.0,9.0,11.0,9.0,8.0,10.0,9.0,11.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,8.0,9.0,9.0,12.0,8.0,10.0,9.0,11.0,12.0,8.0,9.0,10.0,12.0,9.0,10.0,8.0,10.0,8.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0,10.0,9.0,11.0,9.0
>ENST00000513160.1,9.0,11.0,11.0,9.0,7.0,10.0,0.0,12.0,8.0,10.0,9.0,8.0,9.0,9.0,11.0,14.0,10.0,10.0,10.0,9.0,12.0,11.0,10.0,10.0,11.0,9.0,10.0,11.0,8.0,11.0,9.0,8.0,11.0,9.0,11.0,9.0,11.0,9.0,10.0,9.0,10.0,8.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,10.0,9.0,11.0,9.0,10.0,10.0,8.0,11.0,9.0
>ENST00000502532.1,9.0,17.0,11.0,11.0,10.0,10.0,12.0,0.0,9.0,10.0,10.0,9.0,10.0,11.0,12.0,10.0,9.0,13.0,11.0,10.0,10.0,12.0,10.0,10.0,10.0,9.0,10.0,11.0,10.0,9.0,11.0,9.0,13.0,10.0,11.0,10.0,12.0,9.0,11.0,10.0,10.0,9.0,10.0,10.0,11.0,9.0,8.0,10.0,10.0,9.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,9.0
>ENST00000503376.1,8.0,11.0,8.0,7.0,8.0,9.0,8.0,9.0,0.0,11.0,8.0,6.0,6.0,10.0,10.0,8.0,12.0,9.0,8.0,7.0,8.0,10.0,7.0,7.0,10.0,7.0,8.0,9.0,7.0,8.0,9.0,8.0,10.0,8.0,9.0,7.0,8.0,9.0,8.0,7.0,8.0,7.0,10.0,10.0,7.0,7.0,10.0,10.0,8.0,6.0,8.0,8.0,9.0,8.0,7.0,7.0,8.0,7.0
>ENST00000617570.1,9.0,12.0,13.0,10.0,9.0,11.0,10.0,10.0,11.0,0.0,9.0,8.0,10.0,9.0,11.0,10.0,10.0,9.0,9.0,9.0,12.0,9.0,10.0,10.0,10.0,15.0,12.0,9.0,9.0,14.0,10.0,9.0,10.0,12.0,10.0,8.0,10.0,10.0,11.0,9.0,11.0,9.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,10.0,11.0,9.0,9.0,11.0,10.0,12.0,10.0
