,>ENST00000487608.1,>ENST00000405549.1,>ENST00000382990.1,>ENST00000422953.1,>ENST00000569196.1,>ENST00000444823.1,>ENST00000480069.1,>ENST00000429417.1,>ENST00000502460.1,>ENST00000508065.7,>ENST00000399211.7,>ENST00000419827.2,>ENST00000528813.1,>ENST00000435210.1,>ENST00000416519.1,ENSG00000199797.1,>ENST00000423631.1,>ENST00000471152.1,>ENST00000430165.1,>ENST00000633742.1,>ENST00000518923.1,>ENST00000448043.1,>ENST00000439197.1,>ENST00000417160.1,>ENST00000449786.1,>ENST00000432862.1,>ENST00000515672.1,>ENST00000442164.2,>ENST00000530434.1,>ENST00000429445.1,>ENST00000512316.2,>ENST00000439400.1,>ENST00000404787.2,>ENST00000613026.1,>ENST00000414130.1,>ENST00000417304.1,>ENST00000445744.3,>ENST00000554405.2
>ENST00000487608.1,0.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,11.0,11.0,7.0,9.0,12.0,7.0,9.0,9.0,9.0,7.0,9.0,9.0,10.0,10.0,10.0,8.0,8.0,9.0,10.0,9.0,7.0,8.0,8.0,10.0,10.0
>ENST00000405549.1,9.0,0.0,8.0,9.0,8.0,9.0,13.0,9.0,10.0,10.0,10.0,10.0,11.0,12.0,10.0,8.0,9.0,9.0,8.0,7.0,9.0,9.0,10.0,14.0,10.0,10.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,11.0
>ENST00000382990.1,9.0,8.0,0.0,10.0,11.0,8.0,8.0,11.0,8.0,10.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,11.0,11.0,9.0,11.0,9.0,8.0,10.0,8.0,9.0,10.0,11.0,9.0,8.0,9.0,8.0,10.0,9.0,9.0
>ENST00000422953.1,9.0,9.0,10.0,0.0,8.0,9.0,9.0,11.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,7.0,10.0,11.0,12.0,9.0,9.0,10.0,8.0,11.0,10.0,12.0,9.0,11.0,9.0,10.0,9.0,11.0,10.0,10.0,8.0,8.0,9.0,8.0
>ENST00000569196.1,8.0,8.0,11.0,8.0,0.0,10.0,8.0,11.0,8.0,13.0,11.0,11.0,9.0,10.0,9.0,8.0,7.0,9.0,6.0,7.0,10.0,9.0,7.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0
>ENST00000444823.1,8.0,9.0,8.0,9.0,10.0,0.0,10.0,10.0,11.0,12.0,12.0,11.0,13.0,13.0,11.0,7.0,10.0,8.0,8.0,9.0,9.0,11.0,9.0,10.0,9.0,9.0,11.0,8.0,10.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,12.0,11.0
>ENST00000480069.1,8.0,13.0,8.0,9.0,8.0,10.0,0.0,8.0,8.0,9.0,9.0,10.0,9.0,13.0,10.0,7.0,7.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,7.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,7.0,8.0,9.0,9.0,11.0,8.0
>ENST00000429417.1,9.0,9.0,11.0,11.0,11.0,10.0,8.0,0.0,10.0,12.0,10.0,10.0,10.0,9.0,12.0,11.0,9.0,10.0,9.0,8.0,10.0,10.0,8.0,10.0,10.0,10.0,11.0,10.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,12.0,10.0,12.0
>ENST00000502460.1,8.0,10.0,8.0,8.0,8.0,11.0,8.0,10.0,0.0,10.0,9.0,10.0,10.0,9.0,10.0,7.0,9.0,8.0,9.0,7.0,9.0,9.0,6.0,9.0,8.0,9.0,10.0,7.0,7.0,9.0,8.0,9.0,7.0,8.0,7.0,8.0,10.0,9.0
>ENST00000508065.7,9.0,10.0,10.0,9.0,13.0,12.0,9.0,12.0,10.0,0.0,9.0,10.0,12.0,10.0,10.0,9.0,10.0,10.0,8.0,9.0,9.0,12.0,7.0,10.0,10.0,10.0,12.0,10.0,11.0,11.0,10.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0
>ENST00000399211.7,9.0,10.0,9.0,9.0,11.0,12.0,9.0,10.0,9.0,9.0,0.0,10.0,12.0,10.0,12.0,8.0,11.0,10.0,9.0,10.0,10.0,10.0,8.0,10.0,11.0,9.0,11.0,11.0,8.0,70.0,9.0,10.0,13.0,12.0,9.0,10.0,13.0,10.0
>ENST00000419827.2,8.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,12.0,13.0,8.0,9.0,11.0,9.0,10.0,9.0,14.0,9.0,10.0,10.0,11.0,14.0,11.0,9.0,12.0,11.0,11.0,10.0,10.0,9.0,10.0,11.0,10.0
>ENST00000528813.1,9.0,11.0,9.0,9.0,9.0,13.0,9.0,10.0,10.0,12.0,12.0,10.0,0.0,10.0,11.0,7.0,12.0,8.0,9.0,9.0,11.0,9.0,8.0,9.0,9.0,10.0,11.0,9.0,10.0,12.0,10.0,9.0,10.0,11.0,11.0,11.0,8.0,9.0
