,>ENST00000452587.1,>ENST00000423502.1,ENSG00000160471.12,ENSG00000265675.2,>ENST00000434709.1,>ENST00000506027.1,>ENST00000473049.1,>ENST00000527756.1
>ENST00000452587.1,0.0,10.0,12.0,9.0,9.0,9.0,10.0,9.0
>ENST00000423502.1,10.0,0.0,12.0,9.0,9.0,11.0,10.0,8.0
ENSG00000160471.12,12.0,12.0,0.0,18.0,11.0,12.0,12.0,11.0
ENSG00000265675.2,9.0,9.0,18.0,0.0,7.0,11.0,10.0,9.0
>ENST00000434709.1,9.0,9.0,11.0,7.0,0.0,9.0,9.0,11.0
>ENST00000506027.1,9.0,11.0,12.0,11.0,9.0,0.0,10.0,12.0
>ENST00000473049.1,10.0,10.0,12.0,10.0,9.0,10.0,0.0,9.0
>ENST00000527756.1,9.0,8.0,11.0,9.0,11.0,12.0,9.0,0.0
