,>ENST00000518751.1,>ENST00000412567.1,>ENST00000633298.1,>ENST00000415010.1,>ENST00000604652.1,>ENST00000573276.1,ENSG00000252745.1,>ENST00000453967.1,>ENST00000526818.1,>ENST00000451452.1,>ENST00000452436.3,>ENST00000461190.1,>ENST00000503901.1,>ENST00000603543.1,>ENST00000523498.1,>ENST00000565577.2,>ENST00000401725.2,>ENST00000634469.1,>ENST00000553906.1,>ENST00000510061.2,>ENST00000430329.2,>ENST00000420768.1,>ENST00000556341.2,>ENST00000446060.1,>ENST00000442569.1,>ENST00000600543.2,>ENST00000432257.1,>ENST00000603091.1,>ENST00000458482.2,>ENST00000454868.1,>ENST00000586022.5,>ENST00000559732.1,>ENST00000551315.1,>ENST00000603149.1,>ENST00000625131.1,>ENST00000356293.5,>ENST00000603383.1,>ENST00000422460.1,>ENST00000438135.1,>ENST00000622202.1,>ENST00000611633.1,>ENST00000613287.1,>ENST00000415187.1,>ENST00000603158.1,>ENST00000503840.2,>ENST00000510190.1,>ENST00000603584.1,>ENST00000567658.1,>ENST00000527276.1,>ENST00000414254.1,>ENST00000452517.1,>ENST00000507982.1
>ENST00000518751.1,0.0,8.0,8.0,9.0,8.0,9.0,6.0,11.0,9.0,11.0,8.0,9.0,11.0,10.0,8.0,10.0,11.0,9.0,12.0,11.0,8.0,10.0,10.0,8.0,10.0,8.0,8.0,8.0,10.0,10.0,10.0,8.0,8.0,7.0,9.0,9.0,8.0,8.0,7.0,10.0,9.0,7.0,7.0,10.0,9.0,8.0,7.0,9.0,9.0,9.0,9.0,10.0
>ENST00000412567.1,8.0,0.0,8.0,8.0,9.0,8.0,7.0,9.0,11.0,10.0,7.0,10.0,10.0,13.0,8.0,9.0,10.0,13.0,9.0,10.0,9.0,12.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,8.0,9.0,8.0,7.0,10.0,8.0,7.0,11.0,11.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,10.0,8.0,10.0,8.0,11.0
>ENST00000633298.1,8.0,8.0,0.0,11.0,9.0,8.0,11.0,10.0,10.0,11.0,8.0,9.0,10.0,11.0,9.0,10.0,10.0,10.0,8.0,8.0,9.0,10.0,12.0,9.0,10.0,9.0,9.0,9.0,11.0,9.0,11.0,9.0,8.0,11.0,10.0,11.0,8.0,9.0,9.0,12.0,11.0,7.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0
>ENST00000415010.1,9.0,8.0,11.0,0.0,9.0,9.0,9.0,9.0,9.0,11.0,10.0,9.0,11.0,11.0,231.0,10.0,11.0,10.0,9.0,11.0,10.0,10.0,11.0,11.0,10.0,24.0,13.0,9.0,11.0,10.0,12.0,9.0,7.0,10.0,8.0,10.0,11.0,9.0,10.0,11.0,10.0,7.0,9.0,10.0,10.0,8.0,11.0,9.0,10.0,9.0,10.0,9.0
>ENST00000604652.1,8.0,9.0,9.0,9.0,0.0,8.0,7.0,7.0,7.0,11.0,7.0,8.0,10.0,8.0,9.0,10.0,11.0,8.0,10.0,8.0,11.0,11.0,10.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,10.0,9.0,8.0,10.0,10.0,9.0,7.0,8.0,7.0,10.0,8.0,9.0,6.0,8.0,8.0,10.0,7.0,9.0,10.0,11.0,8.0,9.0
>ENST00000573276.1,9.0,8.0,8.0,9.0,8.0,0.0,8.0,11.0,8.0,10.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,11.0,10.0,10.0,9.0,11.0,9.0,9.0,9.0,10.0,8.0,6.0,8.0,8.0,11.0,9.0,8.0,8.0,7.0,10.0,8.0,8.0,9.0,8.0,9.0,7.0,9.0,9.0,9.0,8.0,7.0,10.0,10.0,10.0,10.0,8.0
ENSG00000252745.1,6.0,7.0,11.0,9.0,7.0,8.0,0.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,7.0,8.0,7.0,8.0,8.0,12.0,11.0,8.0,9.0,8.0,6.0,9.0,7.0,8.0,8.0,7.0,8.0,7.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,11.0,7.0,6.0,9.0,9.0,10.0,8.0,8.0
>ENST00000453967.1,11.0,9.0,10.0,9.0,7.0,11.0,8.0,0.0,10.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,12.0,10.0,9.0,10.0,11.0,11.0,11.0,12.0,10.0,9.0,9.0,8.0,11.0,12.0,14.0,10.0,9.0,8.0,8.0,10.0,11.0,8.0,8.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,11.0,10.0,9.0,8.0
>ENST00000526818.1,9.0,11.0,10.0,9.0,7.0,8.0,8.0,10.0,0.0,12.0,8.0,10.0,10.0,8.0,9.0,10.0,14.0,11.0,11.0,9.0,10.0,9.0,10.0,8.0,10.0,10.0,10.0,7.0,11.0,9.0,10.0,9.0,11.0,8.0,8.0,10.0,11.0,8.0,10.0,12.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,10.0,10.0,9.0,10.0,8.0
>ENST00000451452.1,11.0,10.0,11.0,11.0,11.0,10.0,9.0,11.0,12.0,0.0,10.0,12.0,13.0,13.0,10.0,11.0,13.0,10.0,11.0,11.0,10.0,12.0,10.0,11.0,12.0,13.0,11.0,9.0,11.0,11.0,13.0,11.0,10.0,9.0,9.0,13.0,10.0,10.0,10.0,11.0,12.0,9.0,9.0,11.0,13.0,12.0,9.0,11.0,13.0,12.0,11.0,11.0
