,>ENST00000542428.1,>ENST00000437536.1,>ENST00000460347.1,>ENST00000584393.1,>ENST00000425374.1,>ENST00000531988.1,>ENST00000398525.2,>ENST00000518372.1,>ENST00000513113.2,>ENST00000396131.2,>ENST00000506450.1,>ENST00000425573.2,>ENST00000407020.1,>ENST00000420790.1,>ENST00000550076.1,>ENST00000421830.1,>ENST00000561451.2,>ENST00000532441.5,>ENST00000434556.1,>ENST00000513637.1,>ENST00000482557.2,>ENST00000414372.1,>ENST00000604387.1,>ENST00000469580.1,>ENST00000314232.7,>ENST00000586202.1,>ENST00000425226.1,>ENST00000426526.1,>ENST00000528764.1,>ENST00000568600.1,>ENST00000494130.1,>ENST00000419683.1,>ENST00000443177.1,>ENST00000434240.2,>ENST00000431070.6,>ENST00000427537.1,>ENST00000476476.1,>ENST00000604396.1,>ENST00000616477.1,>ENST00000455096.1,>ENST00000413572.1,>ENST00000586496.1,>ENST00000437976.1,>ENST00000440241.1,>ENST00000414855.1,ENSG00000242863.3,>ENST00000502728.1,>ENST00000466869.1,>ENST00000601666.1,>ENST00000418595.1,>ENST00000431596.1
>ENST00000542428.1,0.0,8.0,10.0,7.0,9.0,12.0,8.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,11.0,12.0,10.0,8.0,9.0,14.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,11.0,12.0,20.0,8.0,11.0,8.0,9.0,9.0,10.0,7.0,8.0,9.0,10.0,10.0,9.0,12.0,9.0
>ENST00000437536.1,8.0,0.0,12.0,12.0,10.0,10.0,11.0,9.0,11.0,9.0,11.0,10.0,10.0,9.0,7.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,8.0,10.0,11.0,9.0,13.0,9.0,8.0,9.0,13.0,9.0,10.0,10.0,11.0,9.0,10.0,11.0,8.0,9.0,9.0,9.0,9.0,11.0,8.0,18.0,9.0,10.0
>ENST00000460347.1,10.0,12.0,0.0,8.0,10.0,9.0,12.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,11.0,8.0,11.0,11.0,10.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,12.0,8.0,7.0,11.0,9.0,10.0,9.0,9.0,9.0,9.0,11.0,8.0,9.0,9.0,8.0,9.0,9.0,11.0,10.0,14.0,10.0,9.0
>ENST00000584393.1,7.0,12.0,8.0,0.0,8.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,7.0,9.0,9.0,8.0,11.0,10.0,8.0,10.0,8.0,8.0,11.0,11.0,11.0,10.0,10.0,10.0,9.0,11.0,7.0,12.0,8.0,8.0,9.0,10.0,8.0,10.0,11.0,8.0,8.0,11.0,9.0,8.0,8.0,8.0,9.0,10.0,13.0
>ENST00000425374.1,9.0,10.0,10.0,8.0,0.0,9.0,10.0,9.0,8.0,8.0,7.0,7.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,12.0,7.0,10.0,8.0,8.0,9.0,9.0,9.0,11.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,11.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,7.0,8.0,8.0,9.0,9.0,11.0
>ENST00000531988.1,12.0,10.0,9.0,9.0,9.0,0.0,9.0,10.0,10.0,10.0,11.0,10.0,9.0,11.0,8.0,13.0,10.0,10.0,10.0,10.0,11.0,11.0,7.0,10.0,10.0,11.0,10.0,12.0,10.0,11.0,10.0,9.0,11.0,10.0,11.0,11.0,10.0,10.0,8.0,11.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,11.0,10.0,11.0,10.0
>ENST00000398525.2,8.0,11.0,12.0,10.0,10.0,9.0,0.0,9.0,11.0,9.0,10.0,9.0,10.0,10.0,7.0,8.0,10.0,11.0,9.0,12.0,9.0,9.0,8.0,9.0,15.0,10.0,12.0,10.0,9.0,16.0,10.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,8.0,14.0,10.0,9.0,8.0,10.0,11.0,10.0,13.0,11.0,10.0,14.0,11.0
>ENST00000518372.1,10.0,9.0,10.0,9.0,9.0,10.0,9.0,0.0,10.0,8.0,7.0,8.0,8.0,9.0,9.0,8.0,8.0,10.0,8.0,9.0,8.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,8.0,11.0,9.0,9.0,8.0,10.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,11.0,7.0,9.0,9.0,8.0,11.0,10.0,11.0,9.0,9.0
>ENST00000513113.2,9.0,11.0,9.0,10.0,8.0,10.0,11.0,10.0,0.0,9.0,10.0,10.0,8.0,9.0,6.0,10.0,9.0,11.0,11.0,9.0,8.0,11.0,10.0,7.0,8.0,8.0,9.0,9.0,9.0,11.0,10.0,8.0,10.0,9.0,10.0,8.0,7.0,10.0,8.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,12.0
>ENST00000396131.2,10.0,9.0,9.0,8.0,8.0,10.0,9.0,8.0,9.0,0.0,10.0,9.0,8.0,10.0,8.0,12.0,8.0,9.0,8.0,11.0,10.0,10.0,8.0,8.0,12.0,12.0,9.0,9.0,14.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,12.0,8.0,10.0,8.0,7.0,10.0,9.0,8.0,10.0,9.0,10.0,8.0
