,ENSG00000276775.1,ENSG00000221438.1,ENSG00000242020.3,ENSG00000252952.1,ENSG00000147883.10,ENSG00000252117.1,ENSG00000273587.1,ENSG00000281544.1,ENSG00000275909.1,ENSG00000252012.1
ENSG00000276775.1,0.0,8.0,10.0,7.0,12.0,7.0,8.0,7.0,9.0,7.0
ENSG00000221438.1,8.0,0.0,9.0,6.0,11.0,7.0,6.0,5.0,9.0,7.0
ENSG00000242020.3,10.0,9.0,0.0,8.0,12.0,7.0,6.0,8.0,20.0,7.0
ENSG00000252952.1,7.0,6.0,8.0,0.0,9.0,8.0,7.0,8.0,7.0,6.0
ENSG00000147883.10,12.0,11.0,12.0,9.0,0.0,10.0,10.0,10.0,12.0,9.0
ENSG00000252117.1,7.0,7.0,7.0,8.0,10.0,0.0,6.0,16.0,8.0,6.0
ENSG00000273587.1,8.0,6.0,6.0,7.0,10.0,6.0,0.0,5.0,6.0,7.0
ENSG00000281544.1,7.0,5.0,8.0,8.0,10.0,16.0,5.0,0.0,11.0,5.0
ENSG00000275909.1,9.0,9.0,20.0,7.0,12.0,8.0,6.0,11.0,0.0,8.0
ENSG00000252012.1,7.0,7.0,7.0,6.0,9.0,6.0,7.0,5.0,8.0,0.0
