,>ENST00000513521.1,>ENST00000524097.1,>ENST00000426317.1,>ENST00000425769.1,>ENST00000402743.2,>ENST00000433767.1,ENSG00000277141.1
>ENST00000513521.1,0.0,9.0,11.0,8.0,9.0,11.0,8.0
>ENST00000524097.1,9.0,0.0,12.0,8.0,8.0,8.0,9.0
>ENST00000426317.1,11.0,12.0,0.0,9.0,9.0,10.0,9.0
>ENST00000425769.1,8.0,8.0,9.0,0.0,8.0,8.0,10.0
>ENST00000402743.2,9.0,8.0,9.0,8.0,0.0,9.0,9.0
>ENST00000433767.1,11.0,8.0,10.0,8.0,9.0,0.0,10.0
ENSG00000277141.1,8.0,9.0,9.0,10.0,9.0,10.0,0.0
