,>ENST00000437882.2,>ENST00000547023.1,>ENST00000404582.2,>ENST00000454146.1,>ENST00000509131.1,>ENST00000396959.2,>ENST00000366280.2,>ENST00000425440.1,>ENST00000429684.1,>ENST00000622153.2,>ENST00000418455.1,>ENST00000453215.2,>ENST00000477176.1,>ENST00000436474.6,>ENST00000487386.1,>ENST00000622301.1,>ENST00000498161.1,>ENST00000405705.1,>ENST00000481192.1,>ENST00000441858.1,>ENST00000548656.2,>ENST00000427504.1,>ENST00000514388.1,>ENST00000417674.1,>ENST00000557078.1,>ENST00000605144.1,>ENST00000505659.1,>ENST00000614524.1,>ENST00000605253.1,>ENST00000503812.2,>ENST00000434165.1,>ENST00000504072.1,>ENST00000454627.1,>ENST00000545761.1,>ENST00000466502.1,>ENST00000561636.2,>ENST00000536425.1,>ENST00000453616.1
>ENST00000437882.2,0.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,11.0,7.0,9.0,10.0,10.0,7.0,12.0,11.0,9.0,7.0,10.0,12.0,9.0,9.0,9.0,7.0,9.0,10.0,7.0,8.0,8.0,9.0,10.0,8.0,12.0,9.0,8.0,9.0
>ENST00000547023.1,8.0,0.0,10.0,11.0,11.0,12.0,10.0,11.0,11.0,9.0,8.0,9.0,9.0,12.0,11.0,9.0,10.0,9.0,9.0,8.0,11.0,10.0,11.0,10.0,13.0,15.0,9.0,8.0,8.0,9.0,9.0,11.0,9.0,10.0,11.0,9.0,10.0,9.0
>ENST00000404582.2,9.0,10.0,0.0,10.0,11.0,9.0,9.0,10.0,12.0,10.0,9.0,11.0,10.0,14.0,13.0,9.0,12.0,9.0,12.0,8.0,10.0,10.0,9.0,10.0,11.0,10.0,12.0,9.0,10.0,7.0,10.0,8.0,9.0,9.0,12.0,10.0,8.0,9.0
>ENST00000454146.1,9.0,11.0,10.0,0.0,8.0,10.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,11.0,9.0,9.0,9.0,10.0,11.0,9.0,10.0,7.0,9.0,10.0,9.0,10.0,10.0,7.0,9.0,9.0,9.0,9.0,7.0,10.0
>ENST00000509131.1,10.0,11.0,11.0,8.0,0.0,10.0,7.0,7.0,9.0,10.0,8.0,8.0,9.0,8.0,11.0,8.0,9.0,8.0,8.0,7.0,9.0,9.0,11.0,10.0,8.0,8.0,13.0,9.0,8.0,7.0,8.0,9.0,8.0,8.0,9.0,9.0,7.0,10.0
>ENST00000396959.2,10.0,12.0,9.0,10.0,10.0,0.0,9.0,9.0,9.0,11.0,10.0,10.0,8.0,11.0,10.0,8.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,11.0,12.0,11.0,11.0,10.0,7.0,8.0,10.0,9.0,10.0,10.0,11.0,10.0,8.0,10.0
>ENST00000366280.2,10.0,10.0,9.0,8.0,7.0,9.0,0.0,13.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,6.0,9.0,9.0,11.0,6.0,11.0,11.0,8.0,8.0,10.0,7.0,8.0,7.0,8.0,10.0,8.0,9.0,7.0,12.0,9.0,8.0,7.0,9.0
>ENST00000425440.1,9.0,11.0,10.0,8.0,7.0,9.0,13.0,0.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,7.0,9.0,9.0,12.0,8.0,11.0,10.0,9.0,9.0,9.0,11.0,10.0,10.0,9.0,7.0,8.0,8.0,11.0,10.0,12.0,14.0,12.0,9.0
>ENST00000429684.1,9.0,11.0,12.0,8.0,9.0,9.0,9.0,8.0,0.0,8.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,7.0,11.0,13.0,10.0,8.0,8.0,10.0,9.0,10.0,8.0,9.0,10.0,9.0,8.0,9.0,11.0,10.0,6.0,10.0
>ENST00000622153.2,8.0,9.0,10.0,8.0,10.0,11.0,8.0,8.0,8.0,0.0,9.0,9.0,8.0,11.0,9.0,7.0,10.0,10.0,11.0,7.0,13.0,10.0,8.0,13.0,9.0,9.0,9.0,8.0,7.0,8.0,11.0,8.0,8.0,8.0,12.0,8.0,8.0,9.0
>ENST00000418455.1,11.0,8.0,9.0,9.0,8.0,10.0,8.0,9.0,8.0,9.0,0.0,11.0,9.0,10.0,7.0,10.0,12.0,10.0,10.0,7.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,7.0,9.0,8.0,8.0,9.0,10.0,11.0,8.0,11.0
>ENST00000453215.2,7.0,9.0,11.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,11.0,0.0,9.0,9.0,10.0,6.0,9.0,9.0,10.0,8.0,13.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,12.0,9.0,10.0,9.0,9.0,11.0
>ENST00000477176.1,9.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,0.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,12.0,10.0,8.0,11.0,9.0,8.0,8.0,8.0,7.0,6.0,9.0,10.0,7.0,8.0,9.0,9.0,8.0,10.0
>ENST00000436474.6,10.0,12.0,14.0,9.0,8.0,11.0,9.0,10.0,9.0,11.0,10.0,9.0,10.0,0.0,8.0,8.0,8.0,10.0,9.0,9.0,11.0,9.0,10.0,11.0,10.0,8.0,12.0,9.0,8.0,11.0,10.0,11.0,10.0,10.0,11.0,10.0,8.0,9.0
>ENST00000487386.1,10.0,11.0,13.0,9.0,11.0,10.0,8.0,9.0,9.0,9.0,7.0,10.0,9.0,8.0,0.0,11.0,9.0,10.0,9.0,10.0,12.0,9.0,10.0,10.0,8.0,8.0,12.0,9.0,11.0,7.0,9.0,8.0,9.0,9.0,8.0,10.0,10.0,11.0
>ENST00000622301.1,7.0,9.0,9.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,10.0,6.0,8.0,8.0,11.0,0.0,7.0,7.0,8.0,8.0,8.0,9.0,8.0,10.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,8.0,6.0,7.0,7.0,9.0,5.0,9.0
>ENST00000498161.1,12.0,10.0,12.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,12.0,9.0,10.0,8.0,9.0,7.0,0.0,9.0,9.0,8.0,11.0,11.0,9.0,11.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,8.0,11.0,9.0,9.0,10.0,7.0,11.0
>ENST00000405705.1,11.0,9.0,9.0,11.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,7.0,9.0,0.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,8.0,9.0,9.0,7.0,9.0,10.0,8.0,10.0,9.0,10.0,8.0,12.0
>ENST00000481192.1,9.0,9.0,12.0,9.0,8.0,10.0,11.0,12.0,10.0,11.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,0.0,8.0,10.0,10.0,9.0,11.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,11.0,8.0,9.0
>ENST00000441858.1,7.0,8.0,8.0,9.0,7.0,10.0,6.0,8.0,7.0,7.0,7.0,8.0,8.0,9.0,10.0,8.0,8.0,10.0,8.0,0.0,9.0,8.0,7.0,8.0,8.0,8.0,10.0,7.0,8.0,7.0,8.0,9.0,8.0,9.0,8.0,9.0,7.0,8.0
>ENST00000548656.2,10.0,11.0,10.0,9.0,9.0,11.0,11.0,11.0,11.0,13.0,10.0,13.0,12.0,11.0,12.0,8.0,11.0,10.0,10.0,9.0,0.0,12.0,10.0,12.0,11.0,10.0,9.0,12.0,10.0,9.0,9.0,11.0,10.0,9.0,13.0,10.0,11.0,10.0
>ENST00000427504.1,12.0,10.0,10.0,10.0,9.0,11.0,11.0,10.0,13.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,11.0,10.0,10.0,8.0,12.0,0.0,11.0,10.0,9.0,11.0,8.0,9.0,9.0,9.0,10.0,8.0,10.0,13.0,10.0,11.0,8.0,11.0
>ENST00000514388.1,9.0,11.0,9.0,11.0,11.0,10.0,8.0,9.0,10.0,8.0,8.0,9.0,8.0,10.0,10.0,8.0,9.0,9.0,9.0,7.0,10.0,11.0,0.0,9.0,10.0,9.0,11.0,9.0,8.0,8.0,9.0,11.0,9.0,9.0,9.0,9.0,6.0,11.0
>ENST00000417674.1,9.0,10.0,10.0,9.0,10.0,11.0,8.0,9.0,8.0,13.0,9.0,9.0,11.0,11.0,10.0,10.0,11.0,10.0,11.0,8.0,12.0,10.0,9.0,0.0,12.0,9.0,11.0,11.0,8.0,11.0,9.0,8.0,12.0,9.0,11.0,9.0,8.0,9.0
>ENST00000557078.1,9.0,13.0,11.0,10.0,8.0,12.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,8.0,8.0,8.0,10.0,10.0,8.0,11.0,9.0,10.0,12.0,0.0,11.0,10.0,8.0,8.0,11.0,9.0,7.0,9.0,12.0,9.0,9.0,7.0,9.0
>ENST00000605144.1,7.0,15.0,10.0,7.0,8.0,11.0,7.0,11.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,9.0,11.0,10.0,8.0,10.0,11.0,9.0,9.0,11.0,0.0,9.0,9.0,8.0,8.0,9.0,8.0,7.0,8.0,10.0,8.0,8.0,9.0
>ENST00000505659.1,9.0,9.0,12.0,9.0,13.0,11.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,12.0,12.0,7.0,9.0,8.0,9.0,10.0,9.0,8.0,11.0,11.0,10.0,9.0,0.0,9.0,7.0,9.0,12.0,8.0,9.0,9.0,12.0,9.0,8.0,10.0
>ENST00000614524.1,10.0,8.0,9.0,10.0,9.0,10.0,7.0,10.0,10.0,8.0,8.0,9.0,8.0,9.0,9.0,7.0,9.0,9.0,9.0,7.0,12.0,9.0,9.0,11.0,8.0,9.0,9.0,0.0,8.0,7.0,8.0,8.0,9.0,10.0,10.0,10.0,7.0,10.0
>ENST00000605253.1,7.0,8.0,10.0,9.0,8.0,7.0,8.0,9.0,8.0,7.0,8.0,8.0,7.0,8.0,11.0,7.0,8.0,9.0,8.0,8.0,10.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0,0.0,9.0,9.0,7.0,7.0,8.0,8.0,9.0,7.0,9.0
