,>ENST00000481235.1,>ENST00000557463.1,>ENST00000504166.2,>ENST00000506193.1,>ENST00000506097.1,>ENST00000428182.2,>ENST00000492269.1,>ENST00000603246.1,>ENST00000438938.1,>ENST00000484568.1,>ENST00000520792.5,>ENST00000494195.1,>ENST00000507275.1,>ENST00000533934.1,>ENST00000556401.2,>ENST00000491585.2,>ENST00000392885.2,>ENST00000417928.1,ENSG00000231051.3,>ENST00000342691.5,>ENST00000420684.1,>ENST00000570407.1,>ENST00000441416.1,>ENST00000423154.1
>ENST00000481235.1,0.0,9.0,10.0,6.0,8.0,7.0,9.0,8.0,9.0,9.0,11.0,9.0,9.0,11.0,8.0,9.0,8.0,8.0,10.0,9.0,10.0,8.0,7.0,7.0
>ENST00000557463.1,9.0,0.0,10.0,8.0,8.0,10.0,9.0,9.0,10.0,9.0,12.0,11.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0
>ENST00000504166.2,10.0,10.0,0.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,11.0,10.0,12.0,10.0,8.0,9.0,10.0,9.0,11.0,10.0,9.0,9.0,10.0,12.0
>ENST00000506193.1,6.0,8.0,8.0,0.0,7.0,7.0,11.0,6.0,7.0,7.0,10.0,9.0,8.0,10.0,7.0,7.0,7.0,10.0,9.0,7.0,9.0,7.0,8.0,7.0
>ENST00000506097.1,8.0,8.0,9.0,7.0,0.0,9.0,8.0,9.0,8.0,9.0,11.0,8.0,8.0,13.0,9.0,10.0,9.0,8.0,11.0,9.0,9.0,8.0,9.0,9.0
>ENST00000428182.2,7.0,10.0,9.0,7.0,9.0,0.0,9.0,9.0,9.0,10.0,9.0,9.0,12.0,10.0,9.0,8.0,10.0,8.0,9.0,12.0,10.0,10.0,11.0,10.0
>ENST00000492269.1,9.0,9.0,10.0,11.0,8.0,9.0,0.0,10.0,8.0,12.0,11.0,11.0,10.0,12.0,8.0,9.0,9.0,9.0,10.0,10.0,15.0,12.0,10.0,10.0
>ENST00000603246.1,8.0,9.0,9.0,6.0,9.0,9.0,10.0,0.0,9.0,9.0,9.0,8.0,9.0,11.0,9.0,9.0,8.0,9.0,9.0,10.0,11.0,10.0,9.0,8.0
>ENST00000438938.1,9.0,10.0,9.0,7.0,8.0,9.0,8.0,9.0,0.0,8.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,8.0
>ENST00000484568.1,9.0,9.0,9.0,7.0,9.0,10.0,12.0,9.0,8.0,0.0,11.0,11.0,8.0,11.0,9.0,15.0,10.0,8.0,10.0,10.0,9.0,9.0,10.0,10.0
>ENST00000520792.5,11.0,12.0,11.0,10.0,11.0,9.0,11.0,9.0,9.0,11.0,0.0,10.0,11.0,10.0,10.0,11.0,11.0,14.0,11.0,9.0,11.0,10.0,11.0,11.0
>ENST00000494195.1,9.0,11.0,10.0,9.0,8.0,9.0,11.0,8.0,8.0,11.0,10.0,0.0,10.0,10.0,10.0,8.0,8.0,9.0,11.0,10.0,9.0,13.0,10.0,8.0
>ENST00000507275.1,9.0,9.0,12.0,8.0,8.0,12.0,10.0,9.0,8.0,8.0,11.0,10.0,0.0,12.0,8.0,10.0,9.0,10.0,10.0,10.0,8.0,8.0,9.0,9.0
>ENST00000533934.1,11.0,10.0,10.0,10.0,13.0,10.0,12.0,11.0,9.0,11.0,10.0,10.0,12.0,0.0,10.0,11.0,10.0,10.0,11.0,11.0,12.0,9.0,12.0,11.0
>ENST00000556401.2,8.0,10.0,8.0,7.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,8.0,10.0,0.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,13.0,9.0
>ENST00000491585.2,9.0,9.0,9.0,7.0,10.0,8.0,9.0,9.0,8.0,15.0,11.0,8.0,10.0,11.0,8.0,0.0,8.0,9.0,11.0,9.0,9.0,7.0,10.0,8.0
>ENST00000392885.2,8.0,9.0,10.0,7.0,9.0,10.0,9.0,8.0,9.0,10.0,11.0,8.0,9.0,10.0,9.0,8.0,0.0,8.0,12.0,8.0,10.0,8.0,9.0,7.0
>ENST00000417928.1,8.0,8.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,14.0,9.0,10.0,10.0,8.0,9.0,8.0,0.0,11.0,9.0,8.0,8.0,9.0,7.0
ENSG00000231051.3,10.0,9.0,11.0,9.0,11.0,9.0,10.0,9.0,8.0,10.0,11.0,11.0,10.0,11.0,9.0,11.0,12.0,11.0,0.0,11.0,11.0,11.0,13.0,10.0
>ENST00000342691.5,9.0,9.0,10.0,7.0,9.0,12.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,9.0,9.0,8.0,9.0,11.0,0.0,10.0,8.0,10.0,8.0
>ENST00000420684.1,10.0,9.0,9.0,9.0,9.0,10.0,15.0,11.0,8.0,9.0,11.0,9.0,8.0,12.0,9.0,9.0,10.0,8.0,11.0,10.0,0.0,9.0,9.0,9.0
>ENST00000570407.1,8.0,8.0,9.0,7.0,8.0,10.0,12.0,10.0,9.0,9.0,10.0,13.0,8.0,9.0,9.0,7.0,8.0,8.0,11.0,8.0,9.0,0.0,8.0,8.0
>ENST00000441416.1,7.0,9.0,10.0,8.0,9.0,11.0,10.0,9.0,9.0,10.0,11.0,10.0,9.0,12.0,13.0,10.0,9.0,9.0,13.0,10.0,9.0,8.0,0.0,10.0
>ENST00000423154.1,7.0,10.0,12.0,7.0,9.0,10.0,10.0,8.0,8.0,10.0,11.0,8.0,9.0,11.0,9.0,8.0,7.0,7.0,10.0,8.0,9.0,8.0,10.0,0.0
