,>ENST00000448027.1,>ENST00000513444.1,>ENST00000609811.1,>ENST00000569073.2,>ENST00000518305.1,>ENST00000530115.1,>ENST00000503549.1,>ENST00000405137.1,>ENST00000591442.1,>ENST00000458048.1,>ENST00000429685.1,>ENST00000508904.2,>ENST00000611365.1,>ENST00000450718.1,>ENST00000428194.1,>ENST00000453697.1,>ENST00000442557.1,>ENST00000612666.1,>ENST00000611461.1,>ENST00000422019.1,>ENST00000270691.8,>ENST00000423940.1,>ENST00000401954.2,>ENST00000437591.1,>ENST00000451977.1,>ENST00000515244.1,>ENST00000542164.1,>ENST00000584708.1,>ENST00000416049.2,>ENST00000357453.2,ENSG00000212067.1,>ENST00000378334.3,>ENST00000395413.2,>ENST00000556832.1,>ENST00000634516.1,>ENST00000553634.1,>ENST00000558095.2,ENSG00000103035.10,>ENST00000366413.5,>ENST00000411625.2,>ENST00000534700.5,>ENST00000580616.1,>ENST00000603737.1,>ENST00000415161.1
>ENST00000448027.1,0.0,14.0,10.0,9.0,8.0,12.0,12.0,10.0,8.0,10.0,9.0,11.0,10.0,8.0,11.0,10.0,10.0,8.0,8.0,9.0,10.0,10.0,11.0,10.0,11.0,8.0,10.0,8.0,10.0,11.0,12.0,11.0,12.0,11.0,8.0,9.0,10.0,12.0,9.0,8.0,10.0,11.0,9.0,9.0
>ENST00000513444.1,14.0,0.0,10.0,12.0,11.0,11.0,10.0,11.0,10.0,11.0,9.0,10.0,9.0,10.0,13.0,11.0,10.0,8.0,9.0,8.0,11.0,9.0,11.0,10.0,8.0,10.0,8.0,11.0,10.0,9.0,8.0,12.0,9.0,13.0,10.0,9.0,10.0,12.0,10.0,11.0,11.0,10.0,10.0,10.0
>ENST00000609811.1,10.0,10.0,0.0,12.0,11.0,12.0,10.0,14.0,9.0,10.0,9.0,11.0,10.0,10.0,10.0,11.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,12.0,9.0,9.0,9.0,10.0,9.0,9.0,7.0,12.0,10.0,8.0,10.0,8.0,10.0,25.0,10.0,8.0,11.0,10.0,9.0,9.0
>ENST00000569073.2,9.0,12.0,12.0,0.0,8.0,10.0,12.0,10.0,9.0,12.0,9.0,10.0,10.0,9.0,11.0,11.0,11.0,8.0,9.0,11.0,12.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0,8.0,7.0,11.0,9.0,9.0,8.0,9.0,10.0,12.0,10.0,9.0,10.0,11.0,12.0,9.0
>ENST00000518305.1,8.0,11.0,11.0,8.0,0.0,10.0,9.0,8.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,11.0,8.0,7.0,7.0,8.0,9.0,11.0,9.0,11.0,10.0,9.0,8.0,8.0,7.0,19.0,6.0,11.0,9.0,8.0,9.0,8.0,8.0,14.0,9.0,9.0,9.0,10.0,10.0,9.0
>ENST00000530115.1,12.0,11.0,12.0,10.0,10.0,0.0,11.0,12.0,9.0,12.0,11.0,11.0,9.0,12.0,12.0,12.0,11.0,10.0,9.0,11.0,17.0,11.0,11.0,11.0,10.0,11.0,8.0,11.0,10.0,10.0,9.0,14.0,9.0,11.0,10.0,11.0,11.0,13.0,9.0,10.0,11.0,12.0,11.0,10.0
>ENST00000503549.1,12.0,10.0,10.0,12.0,9.0,11.0,0.0,10.0,9.0,11.0,9.0,10.0,8.0,10.0,10.0,12.0,10.0,8.0,10.0,9.0,10.0,12.0,9.0,10.0,9.0,10.0,7.0,12.0,8.0,9.0,8.0,12.0,9.0,10.0,9.0,8.0,14.0,12.0,9.0,9.0,10.0,10.0,9.0,10.0
>ENST00000405137.1,10.0,11.0,14.0,10.0,8.0,12.0,10.0,0.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,11.0,11.0,8.0,8.0,9.0,9.0,12.0,9.0,12.0,8.0,9.0,7.0,10.0,10.0,7.0,7.0,13.0,8.0,10.0,9.0,8.0,9.0,11.0,10.0,9.0,11.0,13.0,9.0,10.0
>ENST00000591442.1,8.0,10.0,9.0,9.0,8.0,9.0,9.0,8.0,0.0,10.0,9.0,9.0,7.0,7.0,9.0,9.0,9.0,8.0,8.0,7.0,9.0,11.0,10.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,6.0,11.0,16.0,8.0,8.0,8.0,9.0,10.0,8.0,9.0,8.0,11.0,8.0,8.0
>ENST00000458048.1,10.0,11.0,10.0,12.0,9.0,12.0,11.0,9.0,10.0,0.0,9.0,10.0,10.0,10.0,11.0,12.0,9.0,7.0,7.0,8.0,11.0,10.0,8.0,10.0,9.0,8.0,11.0,9.0,7.0,10.0,6.0,10.0,10.0,9.0,8.0,9.0,12.0,12.0,8.0,9.0,9.0,9.0,11.0,8.0
