,>ENST00000418060.1,>ENST00000532188.1,>ENST00000557194.1,>ENST00000457229.1,>ENST00000584794.1,>ENST00000486547.1,>ENST00000604746.1,ENSG00000211661.2,>ENST00000503854.1,>ENST00000412501.2,>ENST00000567372.1,>ENST00000429057.1,>ENST00000578645.1,>ENST00000603208.1,>ENST00000514037.1,>ENST00000402892.1,>ENST00000604318.1,>ENST00000518523.1,>ENST00000518897.1,>ENST00000618569.1,>ENST00000431167.1,>ENST00000431883.1,>ENST00000579682.1,>ENST00000604494.1,>ENST00000620439.1,>ENST00000596706.1,>ENST00000552481.2
>ENST00000418060.1,0.0,10.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,7.0,8.0,12.0,9.0,14.0,7.0,11.0,10.0,7.0,8.0,8.0,7.0
>ENST00000532188.1,10.0,0.0,10.0,9.0,8.0,11.0,8.0,8.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,11.0,10.0,14.0,10.0,9.0,10.0,9.0,8.0,10.0,10.0
>ENST00000557194.1,8.0,10.0,0.0,9.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,11.0,10.0,8.0,8.0,10.0,9.0,8.0,8.0,9.0,9.0
>ENST00000457229.1,8.0,9.0,9.0,0.0,12.0,8.0,10.0,9.0,9.0,8.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,8.0,7.0,9.0,9.0,6.0,8.0,7.0,8.0
>ENST00000584794.1,8.0,8.0,9.0,12.0,0.0,8.0,10.0,9.0,11.0,8.0,8.0,8.0,8.0,10.0,10.0,11.0,8.0,10.0,10.0,7.0,7.0,9.0,8.0,6.0,7.0,8.0,9.0
>ENST00000486547.1,9.0,11.0,8.0,8.0,8.0,0.0,9.0,7.0,9.0,8.0,8.0,10.0,7.0,10.0,8.0,7.0,8.0,10.0,11.0,9.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0
>ENST00000604746.1,8.0,8.0,10.0,10.0,10.0,9.0,0.0,9.0,9.0,11.0,11.0,9.0,8.0,11.0,9.0,7.0,9.0,12.0,12.0,7.0,7.0,10.0,8.0,7.0,9.0,8.0,8.0
ENSG00000211661.2,9.0,8.0,10.0,9.0,9.0,7.0,9.0,0.0,13.0,9.0,7.0,10.0,9.0,11.0,11.0,9.0,8.0,12.0,11.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0
>ENST00000503854.1,8.0,10.0,10.0,9.0,11.0,9.0,9.0,13.0,0.0,11.0,9.0,12.0,9.0,12.0,10.0,9.0,12.0,12.0,12.0,9.0,9.0,10.0,10.0,8.0,8.0,9.0,9.0
>ENST00000412501.2,10.0,10.0,9.0,8.0,8.0,8.0,11.0,9.0,11.0,0.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,12.0,8.0,9.0,11.0,10.0,9.0,8.0,9.0,11.0
