,ENSG00000205089.7,ENSG00000253506.2,ENSG00000004975.11,ENSG00000201496.1,ENSG00000273886.1,ENSG00000276617.1,ENSG00000207448.1,ENSG00000132975.7,ENSG00000207201.1,ENSG00000160014.16,ENSG00000200794.1,ENSG00000206867.1,ENSG00000221691.1,ENSG00000202283.1,ENSG00000202242.1,ENSG00000222724.1,ENSG00000199477.1,ENSG00000005073.5,ENSG00000207954.1,ENSG00000277604.1,ENSG00000206962.1,ENSG00000263723.1,ENSG00000201413.1,ENSG00000212165.2,ENSG00000199879.1,ENSG00000206819.1,ENSG00000222870.1,ENSG00000252375.1,ENSG00000278263.2,ENSG00000222158.1,ENSG00000105137.12,ENSG00000125458.6,ENSG00000207941.1,ENSG00000206838.1,ENSG00000251888.1,ENSG00000199327.1,ENSG00000251702.1,ENSG00000274234.1,ENSG00000207308.1,ENSG00000276599.1,ENSG00000250254.1
ENSG00000205089.7,0.0,12.0,71.0,10.0,53.0,10.0,10.0,90.0,10.0,18.0,12.0,9.0,9.0,9.0,9.0,10.0,10.0,24.0,11.0,8.0,10.0,10.0,10.0,10.0,11.0,9.0,10.0,9.0,10.0,9.0,14.0,12.0,11.0,9.0,11.0,10.0,11.0,10.0,10.0,10.0,12.0
ENSG00000253506.2,12.0,0.0,13.0,9.0,9.0,7.0,8.0,11.0,8.0,12.0,9.0,7.0,8.0,7.0,8.0,8.0,8.0,10.0,9.0,8.0,8.0,8.0,8.0,10.0,8.0,7.0,9.0,8.0,11.0,8.0,10.0,11.0,8.0,11.0,8.0,7.0,9.0,11.0,7.0,9.0,8.0
ENSG00000004975.11,71.0,13.0,0.0,10.0,54.0,10.0,10.0,91.0,11.0,19.0,11.0,11.0,9.0,10.0,11.0,11.0,10.0,21.0,11.0,10.0,11.0,11.0,11.0,11.0,10.0,11.0,10.0,9.0,12.0,8.0,100.0,13.0,9.0,11.0,9.0,9.0,9.0,13.0,11.0,12.0,13.0
ENSG00000201496.1,10.0,9.0,10.0,0.0,8.0,10.0,7.0,10.0,8.0,10.0,79.0,8.0,8.0,8.0,8.0,7.0,7.0,10.0,7.0,6.0,10.0,6.0,8.0,9.0,7.0,7.0,8.0,9.0,10.0,7.0,14.0,9.0,7.0,7.0,10.0,9.0,6.0,7.0,7.0,8.0,9.0
ENSG00000273886.1,53.0,9.0,54.0,8.0,0.0,7.0,9.0,44.0,9.0,11.0,9.0,8.0,6.0,8.0,9.0,7.0,7.0,11.0,7.0,7.0,9.0,7.0,7.0,6.0,10.0,8.0,7.0,6.0,9.0,7.0,11.0,8.0,7.0,7.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0
ENSG00000276617.1,10.0,7.0,10.0,10.0,7.0,0.0,7.0,9.0,7.0,11.0,8.0,8.0,26.0,6.0,7.0,7.0,7.0,9.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,21.0,7.0,24.0,10.0,8.0,7.0,6.0,8.0,8.0,7.0,7.0,8.0,5.0,7.0
ENSG00000207448.1,10.0,8.0,10.0,7.0,9.0,7.0,0.0,9.0,8.0,9.0,8.0,40.0,6.0,6.0,28.0,7.0,6.0,8.0,7.0,6.0,32.0,6.0,7.0,8.0,8.0,15.0,19.0,5.0,7.0,4.0,8.0,8.0,6.0,7.0,6.0,33.0,18.0,7.0,21.0,6.0,8.0
ENSG00000132975.7,90.0,11.0,91.0,10.0,44.0,9.0,9.0,0.0,12.0,13.0,10.0,9.0,9.0,10.0,9.0,10.0,12.0,13.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,11.0,10.0,11.0,12.0,9.0,14.0,11.0,11.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,14.0
ENSG00000207201.1,10.0,8.0,11.0,8.0,9.0,7.0,8.0,12.0,0.0,11.0,8.0,7.0,6.0,6.0,8.0,6.0,7.0,9.0,6.0,8.0,8.0,9.0,6.0,7.0,32.0,6.0,7.0,9.0,7.0,8.0,10.0,9.0,7.0,7.0,7.0,6.0,11.0,10.0,6.0,8.0,11.0
ENSG00000160014.16,18.0,12.0,19.0,10.0,11.0,11.0,9.0,13.0,11.0,0.0,11.0,9.0,10.0,9.0,9.0,10.0,12.0,17.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,12.0,10.0,13.0,13.0,9.0,10.0,12.0,9.0,10.0,10.0,11.0,12.0,11.0
ENSG00000200794.1,12.0,9.0,11.0,79.0,9.0,8.0,8.0,10.0,8.0,11.0,0.0,8.0,7.0,8.0,8.0,6.0,8.0,12.0,6.0,9.0,7.0,7.0,8.0,10.0,9.0,7.0,7.0,6.0,9.0,8.0,10.0,9.0,6.0,7.0,12.0,8.0,9.0,8.0,8.0,10.0,9.0
ENSG00000206867.1,9.0,7.0,11.0,8.0,8.0,8.0,40.0,9.0,7.0,9.0,8.0,0.0,7.0,6.0,23.0,6.0,6.0,8.0,6.0,6.0,42.0,6.0,6.0,10.0,6.0,18.0,26.0,7.0,7.0,5.0,9.0,8.0,5.0,11.0,8.0,36.0,15.0,6.0,39.0,6.0,10.0
