,>ENST00000502328.1,>ENST00000557651.1,>ENST00000330554.4,>ENST00000457263.1,>ENST00000417358.1,>ENST00000421591.1,>ENST00000367272.4,>ENST00000618000.1,>ENST00000460876.2,>ENST00000452645.1,>ENST00000524055.1,>ENST00000443146.1,>ENST00000510455.1,>ENST00000488538.1,>ENST00000438918.1,>ENST00000392735.2,ENSG00000251963.1,>ENST00000402607.2,>ENST00000518422.1,>ENST00000436242.1,>ENST00000429190.2,>ENST00000415403.1,>ENST00000533478.5,>ENST00000555130.1
>ENST00000502328.1,0.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,8.0,9.0,7.0,6.0,5.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,12.0,10.0,11.0,10.0
>ENST00000557651.1,8.0,0.0,8.0,9.0,10.0,11.0,11.0,10.0,8.0,10.0,11.0,8.0,8.0,10.0,9.0,8.0,10.0,8.0,8.0,9.0,11.0,10.0,11.0,10.0
>ENST00000330554.4,8.0,8.0,0.0,9.0,9.0,10.0,11.0,13.0,11.0,11.0,12.0,10.0,9.0,10.0,11.0,9.0,7.0,9.0,9.0,9.0,9.0,10.0,11.0,10.0
>ENST00000457263.1,8.0,9.0,9.0,0.0,8.0,10.0,11.0,10.0,10.0,10.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,8.0,8.0,12.0,11.0
>ENST00000417358.1,7.0,10.0,9.0,8.0,0.0,11.0,10.0,9.0,10.0,11.0,9.0,9.0,10.0,10.0,14.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0
>ENST00000421591.1,8.0,11.0,10.0,10.0,11.0,0.0,11.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,11.0,10.0,7.0,10.0,10.0,10.0,11.0,12.0,12.0,12.0
>ENST00000367272.4,9.0,11.0,11.0,11.0,10.0,11.0,0.0,9.0,10.0,10.0,13.0,9.0,10.0,13.0,12.0,10.0,9.0,9.0,8.0,11.0,10.0,12.0,12.0,10.0
>ENST00000618000.1,8.0,10.0,13.0,10.0,9.0,10.0,9.0,0.0,9.0,11.0,11.0,10.0,7.0,9.0,9.0,9.0,7.0,7.0,8.0,10.0,8.0,10.0,10.0,10.0
>ENST00000460876.2,8.0,8.0,11.0,10.0,10.0,10.0,10.0,9.0,0.0,10.0,10.0,8.0,9.0,10.0,11.0,9.0,7.0,9.0,8.0,12.0,10.0,9.0,11.0,10.0
>ENST00000452645.1,9.0,10.0,11.0,10.0,11.0,12.0,10.0,11.0,10.0,0.0,11.0,8.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,11.0,11.0,12.0,11.0
