,ENSG00000278662.4,ENSG00000200483.1,ENSG00000201644.2,ENSG00000196976.6,ENSG00000103507.13,ENSG00000107014.8,ENSG00000238745.1,ENSG00000201317.1,ENSG00000201654.1,ENSG00000201033.1,ENSG00000201021.1,ENSG00000182783.4,ENSG00000223136.1,ENSG00000196408.11,ENSG00000280502.1,ENSG00000117122.13,ENSG00000277632.1,ENSG00000199666.2,ENSG00000261052.5,ENSG00000187550.8,ENSG00000275977.1,ENSG00000185909.14,ENSG00000200817.1,ENSG00000105198.10,ENSG00000207026.1,ENSG00000243027.3,ENSG00000199348.1,ENSG00000252811.1,ENSG00000268606.5,ENSG00000223591.5,ENSG00000273768.1,ENSG00000200783.1,ENSG00000204532.6,ENSG00000041880.14,ENSG00000212290.1,ENSG00000252273.1,ENSG00000212340.1,ENSG00000240173.3,ENSG00000222395.2,ENSG00000239167.1,ENSG00000276723.1,ENSG00000176165.9,ENSG00000238861.1,ENSG00000188100.8,ENSG00000207496.1,ENSG00000277634.1,ENSG00000280468.1,ENSG00000244294.3,ENSG00000200296.1,ENSG00000207764.1,ENSG00000274984.1,ENSG00000175634.14,ENSG00000252797.1,ENSG00000230178.1,ENSG00000170748.6,ENSG00000274268.1,ENSG00000241964.3,ENSG00000276956.1,ENSG00000201263.1,ENSG00000034510.5,ENSG00000252486.1,ENSG00000265328.1,ENSG00000184954.4,ENSG00000198033.11,ENSG00000275757.1,ENSG00000255837.1,ENSG00000174151.14,ENSG00000206778.1,ENSG00000252674.1,ENSG00000207984.1,ENSG00000238808.1,ENSG00000242565.3,ENSG00000199572.1,ENSG00000252210.1,ENSG00000211750.2,ENSG00000212254.1,ENSG00000254709.7,ENSG00000252689.1,ENSG00000200168.1,ENSG00000238489.1,ENSG00000274648.1,ENSG00000172725.13,ENSG00000205155.7,ENSG00000207327.1,ENSG00000202050.1,ENSG00000207728.1,ENSG00000089335.20,ENSG00000201012.1,ENSG00000188483.7,ENSG00000152082.13,ENSG00000164296.6,ENSG00000280903.1,ENSG00000202449.1,ENSG00000222262.1,ENSG00000252837.1,ENSG00000225932.3,ENSG00000274206.1,ENSG00000278463.1,ENSG00000201770.1,ENSG00000185962.1,ENSG00000176782.2,ENSG00000207334.1,ENSG00000174339.2,ENSG00000199716.1,ENSG00000160161.9,ENSG00000166136.15,ENSG00000166886.12,ENSG00000265463.2,ENSG00000278669.1,ENSG00000254658.2,ENSG00000252867.1,ENSG00000244392.3,ENSG00000228856.3,ENSG00000276442.1,ENSG00000241755.1,ENSG00000200247.1,ENSG00000252352.1,ENSG00000251744.1,ENSG00000243274.3,ENSG00000207248.1,ENSG00000212359.1,ENSG00000266503.2,ENSG00000170989.8,ENSG00000222548.2,ENSG00000239096.1,ENSG00000221807.3,ENSG00000278575.1,ENSG00000280090.1,ENSG00000221174.1,ENSG00000242998.3,ENSG00000239820.3,ENSG00000252835.1,ENSG00000202300.1,ENSG00000241128.1,ENSG00000205250.8,ENSG00000170178.6,ENSG00000264055.1,ENSG00000263940.2,ENSG00000256453.1,ENSG00000104524.13,ENSG00000224902.5,ENSG00000273966.1,ENSG00000251857.1,ENSG00000263968.2,ENSG00000206797.1,ENSG00000252149.1,ENSG00000168787.6,ENSG00000252311.1,ENSG00000266569.2,ENSG00000182255.6,ENSG00000265961.1,ENSG00000212089.1,ENSG00000207133.1,ENSG00000244003.3,ENSG00000205330.3,ENSG00000211783.3,ENSG00000205560.12,ENSG00000073067.13,ENSG00000252984.1,ENSG00000199564.1,ENSG00000221374.1,ENSG00000207925.1,ENSG00000222659.1,ENSG00000207210.1,ENSG00000222635.1,ENSG00000222438.1,ENSG00000266432.1,ENSG00000119862.12,ENSG00000196968.10,ENSG00000200473.1,ENSG00000142694.6,ENSG00000188573.7,ENSG00000275460.1,ENSG00000275355.1,ENSG00000252173.1,ENSG00000207442.1,ENSG00000276017.1,ENSG00000264489.2,ENSG00000183134.4,ENSG00000134590.13,ENSG00000176748.5,ENSG00000222208.1,ENSG00000201899.1,ENSG00000251039.2,ENSG00000143774.16,ENSG00000213203.2,ENSG00000238578.1,ENSG00000169242.11,ENSG00000161807.3,ENSG00000252313.1,ENSG00000278578.1,ENSG00000279824.1,ENSG00000212094.3,ENSG00000275096.1,ENSG00000272351.1,ENSG00000252416.1,ENSG00000168209.4,ENSG00000252826.1,ENSG00000251850.1,ENSG00000239138.1,ENSG00000239607.3,ENSG00000203618.5,ENSG00000143954.12,ENSG00000207599.1,ENSG00000263546.2,ENSG00000252145.1,ENSG00000241757.3,ENSG00000088882.7,ENSG00000201510.1,ENSG00000280790.1,ENSG00000165912.15,ENSG00000212061.2,ENSG00000241343.9,ENSG00000212618.1,ENSG00000207483.1,ENSG00000274662.1,ENSG00000275502.1,ENSG00000188015.9,ENSG00000201315.1,ENSG00000223052.1,ENSG00000277066.1,ENSG00000281514.1,ENSG00000202474.1,ENSG00000198324.13,ENSG00000222678.1,ENSG00000253015.1,ENSG00000216064.1,ENSG00000201420.1,ENSG00000281439.1,ENSG00000187821.8,ENSG00000251712.2,ENSG00000252796.1,ENSG00000273983.1,ENSG00000176387.6
ENSG00000278662.4,0.0,10.0,9.0,13.0,24.0,14.0,8.0,10.0,9.0,10.0,10.0,12.0,12.0,19.0,19.0,13.0,13.0,9.0,56.0,37.0,11.0,17.0,10.0,14.0,9.0,15.0,9.0,11.0,14.0,11.0,10.0,10.0,17.0,16.0,10.0,11.0,9.0,18.0,10.0,9.0,10.0,16.0,10.0,53.0,10.0,10.0,8.0,33.0,10.0,9.0,10.0,20.0,12.0,11.0,13.0,11.0,12.0,20.0,10.0,11.0,12.0,12.0,13.0,43.0,13.0,12.0,65.0,9.0,9.0,10.0,9.0,14.0,11.0,12.0,12.0,11.0,17.0,11.0,11.0,12.0,9.0,16.0,20.0,10.0,10.0,10.0,21.0,9.0,15.0,50.0,23.0,29.0,10.0,9.0,10.0,12.0,57.0,10.0,9.0,12.0,57.0,9.0,10.0,10.0,84.0,44.0,58.0,10.0,9.0,11.0,9.0,15.0,13.0,9.0,13.0,11.0,11.0,9.0,20.0,11.0,9.0,19.0,13.0,9.0,10.0,9.0,10.0,13.0,10.0,15.0,21.0,10.0,10.0,12.0,15.0,12.0,10.0,44.0,12.0,39.0,16.0,9.0,13.0,20.0,10.0,10.0,12.0,10.0,49.0,17.0,14.0,10.0,9.0,16.0,14.0,10.0,37.0,53.0,12.0,10.0,11.0,14.0,9.0,9.0,10.0,11.0,10.0,24.0,47.0,9.0,12.0,11.0,19.0,76.0,10.0,10.0,45.0,9.0,16.0,13.0,14.0,9.0,9.0,14.0,14.0,50.0,9.0,29.0,13.0,10.0,11.0,13.0,10.0,10.0,10.0,9.0,14.0,12.0,10.0,11.0,13.0,12.0,14.0,9.0,11.0,9.0,19.0,16.0,10.0,10.0,20.0,10.0,41.0,10.0,11.0,11.0,12.0,12.0,11.0,14.0,9.0,34.0,9.0,21.0,11.0,23.0,10.0,12.0,58.0,13.0,9.0,11.0,12.0,64.0
ENSG00000200483.1,10.0,0.0,12.0,9.0,11.0,9.0,5.0,7.0,37.0,5.0,12.0,7.0,8.0,10.0,8.0,10.0,8.0,7.0,9.0,10.0,6.0,9.0,22.0,11.0,18.0,7.0,12.0,6.0,14.0,8.0,6.0,10.0,9.0,9.0,5.0,10.0,23.0,11.0,5.0,8.0,6.0,10.0,6.0,12.0,7.0,7.0,5.0,8.0,6.0,6.0,6.0,11.0,7.0,8.0,8.0,6.0,8.0,8.0,7.0,7.0,6.0,5.0,8.0,11.0,6.0,8.0,11.0,15.0,7.0,8.0,6.0,7.0,8.0,5.0,7.0,11.0,12.0,6.0,7.0,11.0,6.0,11.0,10.0,13.0,13.0,9.0,9.0,6.0,9.0,10.0,10.0,6.0,7.0,7.0,8.0,8.0,7.0,6.0,16.0,8.0,8.0,34.0,8.0,6.0,9.0,10.0,9.0,6.0,5.0,7.0,11.0,7.0,9.0,6.0,9.0,21.0,7.0,8.0,7.0,30.0,12.0,7.0,10.0,7.0,8.0,7.0,6.0,8.0,6.0,7.0,7.0,7.0,24.0,8.0,9.0,12.0,6.0,7.0,9.0,11.0,9.0,5.0,10.0,9.0,5.0,7.0,9.0,6.0,7.0,10.0,6.0,5.0,6.0,7.0,8.0,7.0,11.0,10.0,14.0,7.0,5.0,6.0,7.0,6.0,8.0,18.0,6.0,14.0,9.0,7.0,9.0,12.0,8.0,7.0,16.0,6.0,9.0,6.0,9.0,8.0,8.0,7.0,5.0,9.0,12.0,9.0,7.0,12.0,8.0,7.0,5.0,8.0,5.0,6.0,7.0,14.0,9.0,6.0,8.0,6.0,8.0,8.0,9.0,5.0,6.0,12.0,8.0,10.0,8.0,5.0,12.0,5.0,10.0,7.0,19.0,9.0,8.0,11.0,8.0,7.0,6.0,8.0,7.0,9.0,8.0,8.0,6.0,8.0,7.0,11.0,6.0,6.0,8.0,11.0
ENSG00000201644.2,9.0,12.0,0.0,7.0,10.0,10.0,7.0,7.0,11.0,6.0,11.0,8.0,7.0,7.0,46.0,11.0,8.0,7.0,9.0,9.0,6.0,10.0,11.0,10.0,11.0,6.0,8.0,7.0,8.0,8.0,10.0,10.0,11.0,10.0,7.0,9.0,8.0,8.0,6.0,5.0,7.0,10.0,6.0,8.0,5.0,9.0,5.0,7.0,10.0,6.0,7.0,10.0,8.0,8.0,7.0,6.0,7.0,8.0,6.0,7.0,6.0,6.0,8.0,9.0,6.0,10.0,9.0,11.0,7.0,8.0,5.0,7.0,7.0,8.0,8.0,8.0,9.0,7.0,7.0,10.0,6.0,8.0,7.0,11.0,7.0,6.0,9.0,6.0,8.0,10.0,11.0,7.0,6.0,8.0,7.0,7.0,7.0,6.0,11.0,7.0,8.0,11.0,7.0,9.0,9.0,9.0,9.0,7.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,5.0,7.0,6.0,8.0,12.0,7.0,7.0,10.0,7.0,6.0,7.0,6.0,10.0,9.0,8.0,8.0,7.0,11.0,9.0,9.0,7.0,6.0,7.0,9.0,9.0,9.0,6.0,5.0,8.0,9.0,6.0,8.0,5.0,7.0,8.0,7.0,6.0,9.0,7.0,10.0,8.0,9.0,13.0,9.0,7.0,5.0,6.0,6.0,6.0,7.0,8.0,5.0,9.0,9.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,11.0,6.0,8.0,8.0,8.0,6.0,6.0,7.0,13.0,9.0,8.0,8.0,12.0,7.0,7.0,8.0,5.0,6.0,7.0,6.0,7.0,6.0,6.0,5.0,7.0,7.0,8.0,6.0,11.0,11.0,8.0,9.0,7.0,7.0,9.0,6.0,10.0,6.0,10.0,7.0,7.0,8.0,9.0,8.0,6.0,6.0,7.0,8.0,7.0,8.0,6.0,6.0,7.0,8.0,6.0,6.0,9.0,9.0
ENSG00000196976.6,13.0,9.0,7.0,0.0,11.0,10.0,7.0,8.0,9.0,8.0,9.0,9.0,8.0,11.0,9.0,12.0,12.0,8.0,12.0,12.0,8.0,12.0,7.0,12.0,8.0,10.0,10.0,7.0,11.0,10.0,8.0,9.0,11.0,17.0,7.0,10.0,9.0,10.0,8.0,8.0,9.0,12.0,10.0,11.0,9.0,7.0,9.0,9.0,9.0,7.0,7.0,11.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,12.0,8.0,9.0,11.0,11.0,8.0,10.0,13.0,9.0,9.0,9.0,7.0,11.0,7.0,8.0,9.0,8.0,12.0,8.0,9.0,8.0,7.0,12.0,10.0,8.0,8.0,10.0,12.0,8.0,14.0,12.0,11.0,10.0,8.0,8.0,9.0,11.0,10.0,11.0,9.0,10.0,11.0,9.0,10.0,8.0,13.0,12.0,15.0,9.0,9.0,9.0,8.0,10.0,11.0,7.0,11.0,9.0,8.0,8.0,8.0,9.0,7.0,9.0,12.0,10.0,7.0,9.0,9.0,10.0,7.0,9.0,9.0,9.0,9.0,9.0,12.0,10.0,8.0,10.0,11.0,12.0,12.0,8.0,10.0,9.0,8.0,8.0,11.0,8.0,9.0,13.0,8.0,9.0,9.0,10.0,9.0,9.0,13.0,14.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,13.0,11.0,7.0,13.0,13.0,10.0,10.0,8.0,9.0,11.0,9.0,11.0,10.0,9.0,9.0,7.0,11.0,12.0,14.0,7.0,12.0,9.0,8.0,9.0,10.0,9.0,9.0,7.0,8.0,10.0,8.0,8.0,8.0,10.0,10.0,10.0,9.0,9.0,7.0,10.0,12.0,9.0,9.0,13.0,9.0,13.0,7.0,8.0,9.0,9.0,11.0,10.0,8.0,7.0,12.0,7.0,12.0,9.0,9.0,9.0,9.0,10.0,11.0,7.0,11.0,10.0,13.0
ENSG00000103507.13,24.0,11.0,10.0,11.0,0.0,16.0,8.0,9.0,9.0,10.0,10.0,12.0,10.0,26.0,20.0,13.0,12.0,9.0,112.0,110.0,11.0,13.0,10.0,67.0,11.0,11.0,10.0,10.0,12.0,11.0,11.0,9.0,77.0,13.0,9.0,8.0,8.0,16.0,10.0,9.0,9.0,14.0,10.0,70.0,10.0,11.0,11.0,25.0,11.0,9.0,10.0,101.0,9.0,11.0,13.0,9.0,12.0,25.0,11.0,12.0,9.0,11.0,11.0,114.0,10.0,11.0,115.0,9.0,9.0,12.0,9.0,10.0,10.0,9.0,11.0,9.0,25.0,10.0,10.0,8.0,11.0,15.0,19.0,11.0,9.0,10.0,16.0,9.0,13.0,33.0,121.0,39.0,9.0,9.0,10.0,12.0,18.0,12.0,9.0,10.0,19.0,9.0,11.0,9.0,31.0,100.0,27.0,8.0,10.0,12.0,8.0,17.0,12.0,11.0,12.0,10.0,9.0,9.0,17.0,9.0,12.0,12.0,12.0,10.0,9.0,12.0,9.0,11.0,10.0,16.0,19.0,11.0,9.0,11.0,77.0,12.0,10.0,45.0,14.0,22.0,48.0,9.0,12.0,18.0,11.0,10.0,11.0,9.0,21.0,17.0,8.0,10.0,8.0,19.0,11.0,11.0,25.0,25.0,10.0,9.0,10.0,10.0,11.0,10.0,9.0,10.0,10.0,28.0,94.0,9.0,12.0,12.0,20.0,20.0,10.0,11.0,17.0,11.0,14.0,14.0,11.0,10.0,10.0,12.0,13.0,20.0,8.0,137.0,12.0,11.0,9.0,11.0,9.0,10.0,11.0,10.0,16.0,10.0,10.0,9.0,10.0,13.0,13.0,11.0,10.0,10.0,14.0,13.0,12.0,8.0,97.0,8.0,93.0,8.0,9.0,11.0,10.0,13.0,11.0,9.0,9.0,39.0,10.0,81.0,10.0,14.0,9.0,9.0,26.0,13.0,10.0,8.0,11.0,22.0
ENSG00000107014.8,14.0,9.0,10.0,10.0,16.0,0.0,10.0,9.0,10.0,10.0,10.0,11.0,10.0,12.0,11.0,13.0,11.0,11.0,12.0,12.0,9.0,11.0,9.0,13.0,11.0,10.0,9.0,12.0,12.0,15.0,9.0,10.0,12.0,15.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,12.0,10.0,12.0,13.0,10.0,11.0,9.0,9.0,9.0,11.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,11.0,13.0,10.0,9.0,13.0,13.0,10.0,12.0,14.0,8.0,9.0,9.0,10.0,11.0,9.0,8.0,10.0,9.0,13.0,10.0,10.0,10.0,9.0,12.0,13.0,9.0,10.0,9.0,16.0,10.0,13.0,13.0,14.0,12.0,9.0,11.0,9.0,12.0,10.0,10.0,9.0,12.0,11.0,10.0,11.0,10.0,13.0,12.0,13.0,10.0,10.0,12.0,9.0,10.0,12.0,11.0,11.0,10.0,9.0,10.0,13.0,10.0,8.0,10.0,14.0,9.0,11.0,10.0,10.0,11.0,10.0,12.0,9.0,8.0,10.0,14.0,13.0,11.0,9.0,11.0,12.0,13.0,13.0,9.0,9.0,10.0,11.0,9.0,11.0,9.0,10.0,13.0,10.0,11.0,9.0,10.0,11.0,11.0,12.0,13.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,13.0,13.0,10.0,12.0,11.0,10.0,10.0,10.0,9.0,12.0,11.0,13.0,12.0,11.0,10.0,12.0,12.0,12.0,13.0,9.0,13.0,11.0,9.0,10.0,10.0,10.0,11.0,9.0,10.0,12.0,9.0,8.0,10.0,9.0,10.0,13.0,10.0,9.0,11.0,11.0,13.0,12.0,9.0,12.0,10.0,14.0,10.0,9.0,9.0,10.0,11.0,9.0,12.0,8.0,13.0,9.0,12.0,9.0,10.0,9.0,9.0,10.0,11.0,11.0,9.0,13.0,14.0
ENSG00000238745.1,8.0,5.0,7.0,7.0,8.0,10.0,0.0,7.0,6.0,8.0,6.0,8.0,7.0,10.0,7.0,9.0,9.0,7.0,10.0,9.0,6.0,9.0,6.0,10.0,8.0,8.0,6.0,7.0,10.0,8.0,8.0,9.0,10.0,9.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,9.0,8.0,11.0,6.0,6.0,6.0,7.0,9.0,6.0,6.0,11.0,9.0,9.0,7.0,6.0,8.0,7.0,7.0,7.0,6.0,6.0,8.0,9.0,6.0,8.0,11.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,11.0,7.0,6.0,7.0,6.0,9.0,9.0,9.0,6.0,6.0,9.0,7.0,9.0,11.0,9.0,6.0,7.0,6.0,8.0,10.0,10.0,7.0,6.0,6.0,9.0,6.0,9.0,7.0,9.0,10.0,10.0,6.0,6.0,9.0,6.0,8.0,10.0,8.0,7.0,7.0,6.0,8.0,9.0,6.0,7.0,10.0,8.0,6.0,55.0,6.0,6.0,9.0,5.0,7.0,11.0,6.0,6.0,9.0,10.0,8.0,6.0,7.0,10.0,11.0,9.0,8.0,6.0,8.0,7.0,8.0,9.0,9.0,7.0,10.0,7.0,6.0,7.0,7.0,8.0,7.0,9.0,9.0,6.0,11.0,6.0,8.0,7.0,7.0,6.0,6.0,6.0,9.0,11.0,8.0,8.0,8.0,6.0,7.0,6.0,7.0,7.0,8.0,11.0,8.0,10.0,8.0,7.0,8.0,10.0,11.0,7.0,11.0,9.0,6.0,6.0,11.0,6.0,6.0,6.0,7.0,8.0,9.0,6.0,5.0,7.0,8.0,10.0,8.0,8.0,6.0,8.0,9.0,9.0,6.0,10.0,6.0,10.0,9.0,6.0,9.0,8.0,8.0,7.0,7.0,6.0,7.0,6.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,6.0,8.0,9.0
ENSG00000201317.1,10.0,7.0,7.0,8.0,9.0,9.0,7.0,0.0,6.0,9.0,7.0,8.0,8.0,11.0,6.0,8.0,9.0,6.0,9.0,9.0,7.0,9.0,5.0,9.0,6.0,7.0,6.0,11.0,8.0,8.0,7.0,7.0,11.0,9.0,6.0,6.0,5.0,7.0,5.0,5.0,6.0,8.0,5.0,11.0,7.0,7.0,6.0,6.0,11.0,7.0,8.0,11.0,7.0,9.0,7.0,7.0,6.0,7.0,6.0,8.0,6.0,8.0,8.0,9.0,5.0,10.0,10.0,6.0,6.0,6.0,6.0,7.0,6.0,8.0,7.0,7.0,9.0,7.0,6.0,6.0,7.0,9.0,9.0,7.0,5.0,6.0,9.0,6.0,9.0,9.0,9.0,7.0,6.0,7.0,6.0,9.0,8.0,7.0,6.0,6.0,9.0,5.0,8.0,6.0,8.0,9.0,9.0,6.0,8.0,8.0,6.0,6.0,9.0,6.0,8.0,6.0,9.0,7.0,6.0,6.0,6.0,10.0,11.0,7.0,6.0,6.0,7.0,8.0,7.0,7.0,6.0,6.0,6.0,10.0,8.0,8.0,8.0,7.0,9.0,10.0,10.0,5.0,6.0,6.0,6.0,8.0,8.0,6.0,9.0,11.0,7.0,7.0,6.0,8.0,9.0,7.0,9.0,9.0,6.0,6.0,6.0,5.0,8.0,6.0,6.0,6.0,8.0,9.0,9.0,6.0,8.0,8.0,7.0,9.0,7.0,6.0,9.0,8.0,9.0,10.0,9.0,6.0,6.0,10.0,8.0,9.0,7.0,9.0,9.0,7.0,7.0,8.0,8.0,7.0,6.0,5.0,8.0,6.0,5.0,6.0,6.0,7.0,9.0,5.0,7.0,8.0,7.0,8.0,8.0,6.0,10.0,8.0,8.0,6.0,6.0,7.0,6.0,8.0,6.0,7.0,6.0,8.0,6.0,9.0,7.0,7.0,6.0,6.0,9.0,9.0,7.0,5.0,10.0,10.0
ENSG00000201654.1,9.0,37.0,11.0,9.0,9.0,10.0,6.0,6.0,0.0,6.0,53.0,7.0,7.0,8.0,7.0,8.0,8.0,7.0,9.0,8.0,6.0,9.0,52.0,10.0,42.0,6.0,42.0,6.0,9.0,9.0,8.0,9.0,8.0,8.0,5.0,11.0,46.0,6.0,6.0,8.0,6.0,10.0,6.0,8.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,9.0,9.0,7.0,8.0,7.0,7.0,8.0,7.0,7.0,6.0,6.0,8.0,10.0,6.0,8.0,9.0,39.0,7.0,8.0,6.0,6.0,9.0,6.0,7.0,35.0,10.0,6.0,5.0,26.0,6.0,9.0,8.0,46.0,33.0,6.0,9.0,6.0,11.0,8.0,9.0,6.0,7.0,6.0,7.0,8.0,8.0,6.0,46.0,7.0,8.0,102.0,9.0,7.0,10.0,9.0,8.0,5.0,5.0,7.0,11.0,6.0,8.0,7.0,7.0,44.0,8.0,6.0,6.0,72.0,32.0,5.0,10.0,8.0,8.0,7.0,6.0,8.0,7.0,6.0,7.0,7.0,69.0,7.0,8.0,9.0,6.0,6.0,9.0,11.0,8.0,5.0,10.0,7.0,5.0,7.0,8.0,8.0,6.0,9.0,6.0,6.0,6.0,6.0,8.0,7.0,9.0,10.0,23.0,5.0,5.0,5.0,7.0,6.0,36.0,51.0,5.0,10.0,8.0,6.0,8.0,9.0,7.0,6.0,30.0,6.0,10.0,7.0,9.0,9.0,8.0,9.0,7.0,8.0,10.0,11.0,8.0,10.0,8.0,6.0,6.0,8.0,6.0,5.0,6.0,15.0,8.0,7.0,9.0,6.0,6.0,7.0,9.0,5.0,5.0,51.0,7.0,10.0,8.0,5.0,9.0,5.0,9.0,6.0,74.0,7.0,7.0,8.0,7.0,8.0,8.0,6.0,6.0,9.0,7.0,8.0,6.0,9.0,6.0,8.0,6.0,5.0,9.0,8.0
ENSG00000201033.1,10.0,5.0,6.0,8.0,10.0,10.0,8.0,9.0,6.0,0.0,7.0,9.0,9.0,11.0,7.0,10.0,9.0,7.0,9.0,10.0,7.0,10.0,6.0,9.0,7.0,8.0,9.0,6.0,9.0,9.0,68.0,7.0,11.0,9.0,7.0,9.0,6.0,8.0,8.0,7.0,8.0,10.0,7.0,10.0,7.0,7.0,6.0,8.0,42.0,7.0,7.0,11.0,7.0,8.0,9.0,8.0,8.0,10.0,6.0,9.0,7.0,6.0,8.0,10.0,6.0,9.0,10.0,7.0,9.0,8.0,6.0,8.0,6.0,8.0,9.0,9.0,9.0,7.0,7.0,8.0,7.0,10.0,10.0,8.0,6.0,7.0,10.0,7.0,9.0,11.0,9.0,7.0,7.0,8.0,8.0,9.0,6.0,9.0,9.0,8.0,11.0,5.0,12.0,9.0,9.0,8.0,9.0,6.0,6.0,9.0,6.0,8.0,9.0,7.0,8.0,7.0,7.0,7.0,10.0,9.0,6.0,9.0,9.0,6.0,9.0,7.0,8.0,9.0,10.0,7.0,7.0,7.0,6.0,9.0,9.0,9.0,6.0,9.0,9.0,9.0,11.0,7.0,7.0,8.0,6.0,7.0,8.0,29.0,7.0,11.0,7.0,6.0,9.0,7.0,9.0,8.0,10.0,10.0,8.0,6.0,7.0,6.0,9.0,6.0,6.0,9.0,7.0,11.0,11.0,7.0,9.0,10.0,10.0,7.0,7.0,6.0,8.0,6.0,10.0,9.0,8.0,8.0,6.0,10.0,10.0,9.0,6.0,9.0,8.0,6.0,8.0,10.0,6.0,8.0,6.0,6.0,10.0,16.0,7.0,7.0,10.0,8.0,10.0,5.0,8.0,9.0,8.0,12.0,7.0,6.0,11.0,6.0,11.0,7.0,9.0,8.0,9.0,12.0,8.0,7.0,9.0,7.0,6.0,11.0,7.0,7.0,8.0,7.0,7.0,10.0,6.0,6.0,9.0,10.0
