,>ENST00000441308.1,>ENST00000427776.1,>ENST00000441073.1,>ENST00000404428.1,>ENST00000583788.1,ENSG00000207494.1,>ENST00000442539.1,>ENST00000506915.1,>ENST00000498804.1,>ENST00000603788.1,>ENST00000603174.1,>ENST00000458411.1,>ENST00000404330.1,>ENST00000457130.2,>ENST00000428007.1,>ENST00000441388.1,>ENST00000550843.1,>ENST00000559395.2,>ENST00000502633.2,ENSG00000251705.1,>ENST00000430735.1,>ENST00000421501.1,>ENST00000508435.2,>ENST00000413189.1,>ENST00000571884.1,>ENST00000505368.1,>ENST00000449240.1,>ENST00000359165.5,>ENST00000430579.1,>ENST00000621855.1,>ENST00000513351.1,>ENST00000441919.2,>ENST00000425977.1,ENSG00000200914.1,>ENST00000521633.1,>ENST00000451540.1,>ENST00000580309.1,>ENST00000610601.1,>ENST00000605461.1,>ENST00000492842.1,>ENST00000433498.1
>ENST00000441308.1,0.0,10.0,14.0,10.0,10.0,9.0,16.0,15.0,10.0,10.0,9.0,10.0,11.0,11.0,11.0,10.0,11.0,10.0,9.0,9.0,9.0,12.0,13.0,9.0,10.0,10.0,10.0,14.0,10.0,9.0,10.0,10.0,11.0,10.0,8.0,15.0,12.0,9.0,8.0,10.0,10.0
>ENST00000427776.1,10.0,0.0,11.0,9.0,9.0,7.0,8.0,13.0,9.0,7.0,8.0,8.0,11.0,8.0,10.0,10.0,9.0,10.0,8.0,9.0,7.0,11.0,9.0,10.0,8.0,9.0,7.0,11.0,8.0,9.0,10.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0,9.0,10.0,9.0
>ENST00000441073.1,14.0,11.0,0.0,10.0,9.0,9.0,12.0,12.0,8.0,10.0,10.0,10.0,10.0,12.0,10.0,12.0,9.0,12.0,10.0,8.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0,11.0,9.0,10.0,9.0,9.0,11.0,8.0,9.0,11.0,11.0,10.0,10.0,9.0,11.0
>ENST00000404428.1,10.0,9.0,10.0,0.0,8.0,7.0,11.0,11.0,8.0,14.0,9.0,11.0,14.0,9.0,10.0,8.0,9.0,9.0,8.0,7.0,8.0,7.0,9.0,8.0,8.0,7.0,11.0,10.0,7.0,7.0,9.0,11.0,10.0,7.0,5.0,11.0,8.0,7.0,6.0,10.0,8.0
>ENST00000583788.1,10.0,9.0,9.0,8.0,0.0,6.0,8.0,10.0,10.0,7.0,8.0,9.0,10.0,9.0,8.0,8.0,7.0,9.0,7.0,7.0,8.0,9.0,8.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,9.0,8.0,13.0,6.0,6.0,10.0,8.0,8.0,6.0,8.0,9.0
ENSG00000207494.1,9.0,7.0,9.0,7.0,6.0,0.0,8.0,10.0,6.0,8.0,8.0,7.0,8.0,8.0,9.0,7.0,7.0,7.0,8.0,7.0,7.0,8.0,8.0,6.0,7.0,9.0,8.0,8.0,7.0,7.0,8.0,7.0,7.0,6.0,6.0,9.0,8.0,7.0,7.0,7.0,7.0
>ENST00000442539.1,16.0,8.0,12.0,11.0,8.0,8.0,0.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,11.0,10.0,11.0,11.0,8.0,9.0,9.0,10.0,10.0,8.0,9.0,10.0,9.0,11.0,12.0,8.0,10.0,10.0,9.0,8.0,8.0,11.0,10.0,9.0,10.0,9.0,10.0
>ENST00000506915.1,15.0,13.0,12.0,11.0,10.0,10.0,10.0,0.0,10.0,10.0,9.0,12.0,11.0,11.0,11.0,12.0,9.0,11.0,9.0,9.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,11.0,10.0,12.0,9.0,10.0,10.0,10.0,8.0,14.0,11.0,10.0,12.0,11.0,12.0
>ENST00000498804.1,10.0,9.0,8.0,8.0,10.0,6.0,9.0,10.0,0.0,7.0,9.0,10.0,8.0,9.0,9.0,11.0,12.0,9.0,8.0,8.0,7.0,12.0,9.0,10.0,8.0,8.0,8.0,10.0,8.0,7.0,9.0,9.0,11.0,9.0,7.0,12.0,8.0,9.0,7.0,8.0,10.0
>ENST00000603788.1,10.0,7.0,10.0,14.0,7.0,8.0,10.0,10.0,7.0,0.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,11.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,12.0,9.0,7.0,7.0,10.0,9.0,7.0,8.0,9.0,8.0
