,>ENST00000506969.1,>ENST00000398713.3,>ENST00000603883.1,ENSG00000135355.3,>ENST00000447827.1,ENSG00000180346.3,>ENST00000441868.2,>ENST00000444945.1,>ENST00000474399.2,>ENST00000542842.1,>ENST00000340929.4,>ENST00000567053.1,>ENST00000398297.2,>ENST00000405686.2,ENSG00000265054.1,>ENST00000480094.3,>ENST00000435196.1,>ENST00000594408.1,>ENST00000538455.1,>ENST00000527583.1,>ENST00000413023.1,>ENST00000447383.1,>ENST00000602394.1,>ENST00000437728.1,>ENST00000475768.1,>ENST00000438905.2,>ENST00000555712.1,>ENST00000603263.1,>ENST00000605166.1,>ENST00000432300.1,>ENST00000605276.1,>ENST00000453465.1,>ENST00000403708.1,>ENST00000421841.2,>ENST00000621738.1,>ENST00000431919.6,>ENST00000607083.1
>ENST00000506969.1,0.0,9.0,9.0,10.0,8.0,10.0,9.0,11.0,9.0,9.0,11.0,7.0,9.0,9.0,8.0,11.0,11.0,11.0,10.0,14.0,8.0,10.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0,10.0
>ENST00000398713.3,9.0,0.0,9.0,10.0,10.0,13.0,9.0,10.0,8.0,10.0,10.0,7.0,9.0,9.0,7.0,9.0,9.0,11.0,10.0,9.0,8.0,9.0,8.0,9.0,8.0,11.0,9.0,9.0,12.0,8.0,9.0,9.0,9.0,9.0,9.0,6.0,9.0
>ENST00000603883.1,9.0,9.0,0.0,8.0,8.0,9.0,10.0,11.0,8.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,8.0,11.0,6.0,10.0,9.0,8.0,8.0,11.0,10.0,8.0,9.0,8.0,10.0,8.0,7.0,11.0,8.0,9.0,8.0,6.0,6.0
ENSG00000135355.3,10.0,10.0,8.0,0.0,11.0,12.0,10.0,11.0,11.0,10.0,11.0,11.0,12.0,10.0,7.0,9.0,10.0,11.0,9.0,12.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,9.0,10.0,10.0,10.0,10.0,8.0,12.0,10.0,8.0,12.0
>ENST00000447827.1,8.0,10.0,8.0,11.0,0.0,10.0,10.0,8.0,8.0,11.0,9.0,8.0,10.0,11.0,7.0,9.0,8.0,11.0,8.0,8.0,9.0,8.0,11.0,8.0,10.0,9.0,14.0,8.0,9.0,7.0,8.0,9.0,8.0,10.0,10.0,7.0,7.0
ENSG00000180346.3,10.0,13.0,9.0,12.0,10.0,0.0,11.0,12.0,11.0,13.0,12.0,11.0,11.0,10.0,10.0,11.0,10.0,11.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,11.0,9.0,10.0,12.0,10.0,11.0,12.0,9.0,11.0
>ENST00000441868.2,9.0,9.0,10.0,10.0,10.0,11.0,0.0,9.0,10.0,10.0,10.0,8.0,9.0,10.0,7.0,9.0,8.0,11.0,9.0,10.0,11.0,9.0,9.0,10.0,11.0,10.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0,8.0,8.0,12.0
>ENST00000444945.1,11.0,10.0,11.0,11.0,8.0,12.0,9.0,0.0,10.0,11.0,11.0,8.0,11.0,8.0,8.0,10.0,8.0,10.0,10.0,11.0,8.0,12.0,10.0,11.0,11.0,11.0,10.0,12.0,12.0,10.0,8.0,11.0,11.0,10.0,10.0,8.0,9.0
>ENST00000474399.2,9.0,8.0,8.0,11.0,8.0,11.0,10.0,10.0,0.0,11.0,9.0,11.0,13.0,9.0,9.0,153.0,8.0,10.0,8.0,12.0,10.0,8.0,11.0,10.0,9.0,13.0,11.0,11.0,13.0,8.0,10.0,10.0,9.0,11.0,10.0,7.0,8.0
>ENST00000542842.1,9.0,10.0,9.0,10.0,11.0,13.0,10.0,11.0,11.0,0.0,10.0,9.0,11.0,9.0,10.0,11.0,10.0,10.0,11.0,12.0,10.0,9.0,8.0,11.0,11.0,11.0,12.0,9.0,10.0,8.0,9.0,10.0,9.0,13.0,12.0,10.0,8.0
>ENST00000340929.4,11.0,10.0,9.0,11.0,9.0,12.0,10.0,11.0,9.0,10.0,0.0,10.0,10.0,12.0,9.0,10.0,11.0,10.0,11.0,13.0,10.0,13.0,9.0,11.0,9.0,10.0,10.0,13.0,13.0,10.0,11.0,11.0,9.0,10.0,12.0,9.0,10.0
>ENST00000567053.1,7.0,7.0,9.0,11.0,8.0,11.0,8.0,8.0,11.0,9.0,10.0,0.0,9.0,7.0,8.0,10.0,7.0,8.0,7.0,8.0,8.0,9.0,11.0,8.0,8.0,9.0,10.0,9.0,8.0,7.0,9.0,11.0,8.0,8.0,7.0,7.0,7.0
>ENST00000398297.2,9.0,9.0,8.0,12.0,10.0,11.0,9.0,11.0,13.0,11.0,10.0,9.0,0.0,10.0,10.0,13.0,10.0,11.0,9.0,10.0,10.0,9.0,14.0,13.0,11.0,10.0,11.0,9.0,12.0,8.0,9.0,10.0,10.0,11.0,10.0,8.0,9.0
>ENST00000405686.2,9.0,9.0,10.0,10.0,11.0,10.0,10.0,8.0,9.0,9.0,12.0,7.0,10.0,0.0,8.0,10.0,7.0,10.0,8.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,11.0,9.0,10.0,10.0,8.0,10.0,8.0,10.0,9.0,9.0,8.0
ENSG00000265054.1,8.0,7.0,8.0,7.0,7.0,10.0,7.0,8.0,9.0,10.0,9.0,8.0,10.0,8.0,0.0,7.0,7.0,8.0,9.0,10.0,7.0,7.0,8.0,10.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,6.0,6.0
>ENST00000480094.3,11.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0,153.0,11.0,10.0,10.0,13.0,10.0,7.0,0.0,9.0,11.0,8.0,10.0,10.0,10.0,11.0,12.0,9.0,10.0,10.0,13.0,12.0,11.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0
>ENST00000435196.1,11.0,9.0,8.0,10.0,8.0,10.0,8.0,8.0,8.0,10.0,11.0,7.0,10.0,7.0,7.0,9.0,0.0,9.0,8.0,9.0,9.0,7.0,7.0,11.0,8.0,9.0,9.0,7.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,7.0,10.0
