,>ENST00000400984.2,>ENST00000551685.2,>ENST00000439829.1,>ENST00000604335.1,>ENST00000510053.2,>ENST00000406094.1,ENSG00000149968.11,>ENST00000433633.1,>ENST00000433874.1,>ENST00000520889.1,>ENST00000581722.1,>ENST00000601481.1,>ENST00000398310.3,>ENST00000579164.6,>ENST00000415595.1,>ENST00000542152.1,>ENST00000404178.1,>ENST00000526402.1,>ENST00000506381.1,>ENST00000469533.1,>ENST00000595406.1,>ENST00000432228.1,>ENST00000525517.1,>ENST00000599317.1,>ENST00000504791.1,>ENST00000621298.1,>ENST00000606102.1,>ENST00000422016.1,>ENST00000456741.1,>ENST00000455507.1,>ENST00000569003.1,>ENST00000506586.1,>ENST00000506077.1,>ENST00000447764.1,>ENST00000451325.1,>ENST00000618696.1,>ENST00000511911.1,>ENST00000430239.1,>ENST00000603243.1,>ENST00000552954.1,>ENST00000605135.1
>ENST00000400984.2,0.0,10.0,11.0,10.0,10.0,8.0,11.0,12.0,11.0,9.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,13.0,10.0,12.0,11.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,11.0,9.0,8.0,10.0,9.0,11.0,10.0
>ENST00000551685.2,10.0,0.0,11.0,12.0,11.0,11.0,12.0,11.0,11.0,10.0,9.0,12.0,12.0,11.0,10.0,12.0,9.0,11.0,11.0,10.0,10.0,12.0,10.0,9.0,13.0,11.0,9.0,10.0,9.0,11.0,13.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0
>ENST00000439829.1,11.0,11.0,0.0,9.0,13.0,8.0,11.0,9.0,10.0,10.0,8.0,8.0,9.0,9.0,9.0,11.0,9.0,8.0,9.0,10.0,10.0,13.0,10.0,10.0,9.0,10.0,10.0,11.0,8.0,9.0,9.0,10.0,10.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0
>ENST00000604335.1,10.0,12.0,9.0,0.0,11.0,10.0,12.0,10.0,12.0,9.0,8.0,9.0,10.0,10.0,10.0,11.0,9.0,11.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0
>ENST00000510053.2,10.0,11.0,13.0,11.0,0.0,10.0,14.0,12.0,14.0,9.0,9.0,10.0,18.0,12.0,10.0,10.0,10.0,11.0,11.0,11.0,14.0,12.0,10.0,11.0,11.0,11.0,10.0,11.0,8.0,11.0,12.0,14.0,11.0,10.0,9.0,10.0,10.0,11.0,10.0,9.0,11.0
>ENST00000406094.1,8.0,11.0,8.0,10.0,10.0,0.0,11.0,9.0,11.0,9.0,10.0,9.0,10.0,11.0,8.0,9.0,8.0,13.0,11.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0,8.0
ENSG00000149968.11,11.0,12.0,11.0,12.0,14.0,11.0,0.0,10.0,12.0,10.0,11.0,11.0,14.0,15.0,11.0,11.0,12.0,12.0,11.0,11.0,16.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,12.0,14.0,11.0,10.0,13.0,10.0,11.0,11.0,12.0,11.0,12.0
>ENST00000433633.1,12.0,11.0,9.0,10.0,12.0,9.0,10.0,0.0,11.0,11.0,9.0,8.0,10.0,10.0,11.0,12.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,9.0,10.0,10.0,10.0,12.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,12.0,9.0,10.0,10.0
>ENST00000433874.1,11.0,11.0,10.0,12.0,14.0,11.0,12.0,11.0,0.0,9.0,10.0,9.0,10.0,11.0,9.0,8.0,10.0,11.0,10.0,11.0,10.0,11.0,10.0,9.0,9.0,10.0,9.0,15.0,9.0,9.0,10.0,11.0,10.0,10.0,12.0,8.0,10.0,11.0,11.0,8.0,11.0
>ENST00000520889.1,9.0,10.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,0.0,9.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,7.0,11.0,9.0,10.0,8.0,10.0,10.0,11.0,9.0,9.0,9.0,12.0,7.0,10.0,11.0,9.0,8.0,8.0,7.0,7.0,9.0,8.0,9.0
