,ENSG00000169397.3,>ENST00000438487.1,>ENST00000417407.1,>ENST00000514228.1,>ENST00000582646.1,ENSG00000131187.9,>ENST00000526803.1,>ENST00000421078.1,>ENST00000414476.1,>ENST00000431943.1,>ENST00000473590.2,>ENST00000509515.1,>ENST00000434525.1,>ENST00000473864.1,>ENST00000525759.1,ENSG00000205730.6,>ENST00000407031.2,>ENST00000472730.1,>ENST00000404926.2,ENSG00000180016.2,>ENST00000474156.1,>ENST00000533985.1,>ENST00000417498.1,>ENST00000445553.1,>ENST00000563429.1,>ENST00000413412.1,>ENST00000479057.1,>ENST00000431536.1,>ENST00000412707.1,>ENST00000458734.1,>ENST00000550858.1,>ENST00000447526.1,>ENST00000427215.2,>ENST00000403778.1,ENSG00000278828.1,>ENST00000529831.1,>ENST00000488147.1,>ENST00000438600.1,>ENST00000575892.1,ENSG00000211952.3,>ENST00000528675.1,ENSG00000281850.1,>ENST00000482817.1,>ENST00000555268.2,>ENST00000505635.1
ENSG00000169397.3,0.0,9.0,9.0,10.0,9.0,12.0,9.0,8.0,8.0,11.0,9.0,10.0,9.0,14.0,11.0,12.0,10.0,9.0,11.0,10.0,10.0,11.0,11.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,16.0,9.0,11.0,11.0,13.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,9.0,10.0,12.0
>ENST00000438487.1,9.0,0.0,9.0,10.0,8.0,12.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,13.0,9.0,8.0,9.0,11.0,10.0,10.0,11.0,11.0,9.0,8.0,11.0,11.0,9.0,9.0,12.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0,7.0,9.0,8.0,10.0
>ENST00000417407.1,9.0,9.0,0.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,8.0,8.0,10.0,9.0,10.0,10.0,11.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,11.0,9.0,9.0,9.0,12.0,10.0,10.0,10.0,10.0,9.0,8.0,12.0,100.0,9.0,8.0,12.0,9.0,9.0,9.0,10.0
>ENST00000514228.1,10.0,10.0,11.0,0.0,10.0,13.0,9.0,11.0,11.0,13.0,9.0,11.0,9.0,11.0,11.0,13.0,10.0,11.0,12.0,11.0,11.0,12.0,10.0,10.0,10.0,9.0,11.0,11.0,10.0,11.0,10.0,10.0,11.0,10.0,11.0,12.0,10.0,9.0,9.0,11.0,11.0,8.0,11.0,9.0,11.0
>ENST00000582646.1,9.0,8.0,11.0,10.0,0.0,11.0,9.0,9.0,11.0,9.0,10.0,8.0,9.0,9.0,11.0,11.0,12.0,9.0,11.0,10.0,10.0,11.0,9.0,9.0,9.0,9.0,11.0,10.0,9.0,10.0,11.0,11.0,9.0,10.0,10.0,8.0,9.0,9.0,9.0,13.0,11.0,9.0,8.0,10.0,9.0
ENSG00000131187.9,12.0,12.0,11.0,13.0,11.0,0.0,9.0,10.0,10.0,14.0,12.0,12.0,12.0,11.0,11.0,137.0,13.0,10.0,12.0,12.0,11.0,15.0,14.0,12.0,11.0,12.0,11.0,11.0,11.0,12.0,12.0,10.0,13.0,12.0,13.0,11.0,15.0,10.0,12.0,11.0,11.0,11.0,10.0,10.0,14.0
>ENST00000526803.1,9.0,8.0,10.0,9.0,9.0,9.0,0.0,8.0,8.0,12.0,7.0,7.0,11.0,9.0,11.0,11.0,8.0,8.0,11.0,9.0,8.0,10.0,10.0,9.0,7.0,9.0,8.0,10.0,9.0,7.0,10.0,8.0,10.0,11.0,8.0,9.0,8.0,7.0,7.0,8.0,9.0,8.0,8.0,7.0,13.0
>ENST00000421078.1,8.0,9.0,10.0,11.0,9.0,10.0,8.0,0.0,9.0,9.0,11.0,10.0,8.0,10.0,9.0,14.0,10.0,10.0,8.0,8.0,10.0,10.0,8.0,9.0,7.0,8.0,10.0,9.0,11.0,7.0,11.0,8.0,9.0,7.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,6.0,12.0,9.0,9.0
>ENST00000414476.1,8.0,9.0,10.0,11.0,11.0,10.0,8.0,9.0,0.0,11.0,9.0,8.0,9.0,9.0,10.0,11.0,11.0,9.0,8.0,8.0,10.0,8.0,8.0,10.0,9.0,10.0,10.0,8.0,8.0,8.0,10.0,10.0,14.0,8.0,9.0,9.0,10.0,7.0,8.0,9.0,10.0,6.0,8.0,9.0,13.0
>ENST00000431943.1,11.0,9.0,10.0,13.0,9.0,14.0,12.0,9.0,11.0,0.0,10.0,9.0,10.0,10.0,9.0,11.0,11.0,9.0,9.0,9.0,10.0,12.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,11.0,10.0,10.0,10.0,11.0,8.0,9.0,11.0,11.0
