,>ENST00000418188.1,>ENST00000426387.1,>ENST00000439405.2,>ENST00000555298.1,>ENST00000547000.1,>ENST00000603374.1,>ENST00000550617.1,>ENST00000495117.2,>ENST00000615151.1,ENSG00000181773.6,>ENST00000412176.1,>ENST00000615347.1,>ENST00000569235.1,>ENST00000427400.1,>ENST00000408914.2,>ENST00000430744.1,>ENST00000440164.1,>ENST00000396338.3,>ENST00000454480.1,>ENST00000439897.1,>ENST00000521705.1,>ENST00000463559.1,>ENST00000493774.1,>ENST00000418944.1,>ENST00000431226.1,>ENST00000418508.1,>ENST00000503381.1,>ENST00000517342.1,>ENST00000456604.1,>ENST00000554322.2,>ENST00000461683.1,>ENST00000434805.1,>ENST00000455142.1,>ENST00000440046.1,>ENST00000317902.7,>ENST00000405850.2,>ENST00000597056.1,>ENST00000589047.1,>ENST00000422350.1,>ENST00000521717.1,>ENST00000597863.1
>ENST00000418188.1,0.0,12.0,13.0,11.0,11.0,11.0,9.0,10.0,12.0,14.0,11.0,10.0,11.0,10.0,10.0,11.0,10.0,12.0,10.0,9.0,10.0,8.0,11.0,11.0,9.0,10.0,11.0,12.0,11.0,12.0,13.0,12.0,12.0,9.0,10.0,12.0,11.0,10.0,9.0,10.0,10.0
>ENST00000426387.1,12.0,0.0,12.0,8.0,11.0,10.0,8.0,12.0,9.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,10.0,11.0,10.0,11.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,9.0,9.0,11.0,11.0,11.0,9.0,11.0,11.0,9.0
>ENST00000439405.2,13.0,12.0,0.0,9.0,9.0,10.0,8.0,9.0,8.0,11.0,9.0,10.0,9.0,9.0,10.0,11.0,12.0,12.0,7.0,10.0,9.0,12.0,10.0,10.0,10.0,9.0,11.0,9.0,9.0,13.0,9.0,12.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0
>ENST00000555298.1,11.0,8.0,9.0,0.0,9.0,9.0,9.0,11.0,7.0,11.0,10.0,9.0,11.0,10.0,13.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,11.0,10.0,10.0,9.0,11.0,8.0,9.0,9.0,8.0,8.0,11.0,9.0,11.0,9.0,9.0,8.0,11.0,9.0,9.0
>ENST00000547000.1,11.0,11.0,9.0,9.0,0.0,10.0,9.0,12.0,9.0,11.0,9.0,13.0,10.0,12.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,9.0,13.0,10.0,10.0,11.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,13.0,20.0,10.0,9.0,9.0,10.0,9.0,10.0
>ENST00000603374.1,11.0,10.0,10.0,9.0,10.0,0.0,8.0,10.0,7.0,10.0,11.0,9.0,9.0,9.0,10.0,8.0,10.0,9.0,10.0,12.0,9.0,13.0,10.0,11.0,11.0,9.0,10.0,10.0,8.0,11.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0
>ENST00000550617.1,9.0,8.0,8.0,9.0,9.0,8.0,0.0,9.0,6.0,10.0,9.0,7.0,9.0,9.0,8.0,8.0,10.0,9.0,6.0,9.0,7.0,8.0,11.0,8.0,8.0,9.0,11.0,10.0,9.0,9.0,8.0,9.0,9.0,160.0,8.0,10.0,9.0,8.0,8.0,8.0,10.0
>ENST00000495117.2,10.0,12.0,9.0,11.0,12.0,10.0,9.0,0.0,7.0,10.0,12.0,9.0,8.0,10.0,10.0,9.0,10.0,10.0,7.0,8.0,11.0,8.0,9.0,8.0,8.0,9.0,11.0,9.0,9.0,11.0,10.0,11.0,12.0,10.0,11.0,10.0,8.0,9.0,10.0,9.0,9.0
>ENST00000615151.1,12.0,9.0,8.0,7.0,9.0,7.0,6.0,7.0,0.0,9.0,10.0,7.0,9.0,9.0,8.0,9.0,8.0,9.0,5.0,8.0,8.0,9.0,10.0,9.0,7.0,9.0,8.0,8.0,7.0,7.0,7.0,10.0,9.0,7.0,8.0,7.0,8.0,6.0,7.0,8.0,10.0
ENSG00000181773.6,14.0,10.0,11.0,11.0,11.0,10.0,10.0,10.0,9.0,0.0,12.0,9.0,9.0,10.0,11.0,11.0,11.0,12.0,12.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,12.0,10.0,12.0,10.0,10.0,10.0,11.0,10.0,11.0,11.0,11.0,10.0,11.0,10.0,14.0
>ENST00000412176.1,11.0,10.0,9.0,10.0,9.0,11.0,9.0,12.0,10.0,12.0,0.0,9.0,10.0,11.0,11.0,10.0,11.0,11.0,8.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,11.0,9.0,10.0,9.0,12.0,10.0,9.0,12.0,9.0,9.0,8.0,11.0,10.0,8.0
>ENST00000615347.1,10.0,9.0,10.0,9.0,13.0,9.0,7.0,9.0,7.0,9.0,9.0,0.0,11.0,11.0,9.0,8.0,9.0,9.0,6.0,8.0,10.0,10.0,10.0,11.0,9.0,11.0,9.0,9.0,7.0,10.0,9.0,9.0,11.0,9.0,11.0,8.0,8.0,6.0,8.0,8.0,10.0
>ENST00000569235.1,11.0,9.0,9.0,11.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,11.0,0.0,10.0,9.0,7.0,10.0,12.0,9.0,8.0,9.0,11.0,10.0,11.0,8.0,313.0,10.0,10.0,8.0,10.0,13.0,10.0,8.0,9.0,9.0,9.0,12.0,8.0,9.0,9.0,9.0
>ENST00000427400.1,10.0,11.0,9.0,10.0,12.0,9.0,9.0,10.0,9.0,10.0,11.0,11.0,10.0,0.0,9.0,10.0,10.0,10.0,8.0,7.0,9.0,8.0,10.0,11.0,9.0,11.0,13.0,10.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,11.0
>ENST00000408914.2,10.0,10.0,10.0,13.0,10.0,10.0,8.0,10.0,8.0,11.0,11.0,9.0,9.0,9.0,0.0,12.0,10.0,11.0,7.0,9.0,11.0,9.0,11.0,10.0,10.0,10.0,12.0,10.0,8.0,10.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,8.0,10.0,12.0,10.0
>ENST00000430744.1,11.0,9.0,11.0,9.0,10.0,8.0,8.0,9.0,9.0,11.0,10.0,8.0,7.0,10.0,12.0,0.0,9.0,9.0,7.0,8.0,9.0,8.0,9.0,9.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0,8.0,12.0,7.0,11.0,9.0,8.0,9.0,11.0,8.0,8.0
>ENST00000440164.1,10.0,10.0,12.0,9.0,10.0,10.0,10.0,10.0,8.0,11.0,11.0,9.0,10.0,10.0,10.0,9.0,0.0,11.0,9.0,9.0,10.0,11.0,10.0,11.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,12.0,10.0,10.0
>ENST00000396338.3,12.0,11.0,12.0,9.0,10.0,9.0,9.0,10.0,9.0,12.0,11.0,9.0,12.0,10.0,11.0,9.0,11.0,0.0,7.0,9.0,9.0,9.0,10.0,11.0,10.0,12.0,11.0,13.0,10.0,10.0,10.0,10.0,13.0,9.0,15.0,10.0,9.0,8.0,11.0,10.0,9.0
>ENST00000454480.1,10.0,10.0,7.0,7.0,8.0,10.0,6.0,7.0,5.0,12.0,8.0,6.0,9.0,8.0,7.0,7.0,9.0,7.0,0.0,6.0,7.0,8.0,8.0,7.0,6.0,9.0,9.0,6.0,7.0,7.0,6.0,8.0,7.0,6.0,7.0,7.0,8.0,10.0,6.0,8.0,6.0
>ENST00000439897.1,9.0,11.0,10.0,9.0,10.0,12.0,9.0,8.0,8.0,10.0,8.0,8.0,8.0,7.0,9.0,8.0,9.0,9.0,6.0,0.0,8.0,7.0,7.0,8.0,9.0,10.0,10.0,8.0,7.0,11.0,8.0,13.0,7.0,9.0,10.0,9.0,9.0,10.0,8.0,7.0,8.0
>ENST00000521705.1,10.0,10.0,9.0,9.0,10.0,9.0,7.0,11.0,8.0,10.0,9.0,10.0,9.0,9.0,11.0,9.0,10.0,9.0,7.0,8.0,0.0,12.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,11.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,11.0
>ENST00000463559.1,8.0,10.0,12.0,9.0,9.0,13.0,8.0,8.0,9.0,9.0,9.0,10.0,11.0,8.0,9.0,8.0,11.0,9.0,8.0,7.0,12.0,0.0,9.0,9.0,7.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,7.0,11.0,9.0,9.0,7.0,7.0,8.0,9.0
>ENST00000493774.1,11.0,9.0,10.0,11.0,13.0,10.0,11.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,9.0,10.0,10.0,8.0,7.0,9.0,9.0,0.0,10.0,9.0,10.0,12.0,10.0,11.0,9.0,10.0,10.0,10.0,11.0,11.0,12.0,9.0,9.0,11.0,10.0,8.0
>ENST00000418944.1,11.0,9.0,10.0,10.0,10.0,11.0,8.0,8.0,9.0,10.0,10.0,11.0,11.0,11.0,10.0,9.0,11.0,11.0,7.0,8.0,10.0,9.0,10.0,0.0,9.0,9.0,12.0,11.0,11.0,10.0,11.0,10.0,11.0,9.0,11.0,10.0,9.0,10.0,10.0,10.0,12.0
>ENST00000431226.1,9.0,10.0,10.0,10.0,10.0,11.0,8.0,8.0,7.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,10.0,6.0,9.0,8.0,7.0,9.0,9.0,0.0,8.0,10.0,10.0,9.0,9.0,7.0,11.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,11.0
>ENST00000418508.1,10.0,10.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,313.0,11.0,10.0,10.0,9.0,12.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,0.0,10.0,10.0,9.0,11.0,13.0,10.0,9.0,8.0,9.0,9.0,12.0,9.0,9.0,8.0,10.0
