,ENSG00000136997.15,ENSG00000242360.3,ENSG00000222952.1,ENSG00000221333.1,ENSG00000103024.7,ENSG00000187857.3,ENSG00000212273.1,ENSG00000212571.1,ENSG00000259803.6,ENSG00000221432.1,ENSG00000274764.5,ENSG00000277858.1,ENSG00000207287.1,ENSG00000159961.1,ENSG00000264963.2,ENSG00000273717.1,ENSG00000142700.11,ENSG00000223202.1,ENSG00000221428.1,ENSG00000129951.18,ENSG00000264071.2,ENSG00000169327.4,ENSG00000207214.1,ENSG00000207382.1,ENSG00000202016.1,ENSG00000204246.2,ENSG00000222068.1,ENSG00000276525.1,ENSG00000274529.4,ENSG00000221590.1
ENSG00000136997.15,0.0,10.0,9.0,10.0,14.0,12.0,10.0,9.0,80.0,8.0,49.0,10.0,10.0,11.0,23.0,10.0,13.0,11.0,13.0,65.0,11.0,15.0,8.0,10.0,9.0,12.0,10.0,9.0,11.0,9.0
ENSG00000242360.3,10.0,0.0,8.0,7.0,9.0,7.0,7.0,7.0,10.0,7.0,18.0,8.0,6.0,9.0,30.0,32.0,11.0,8.0,8.0,30.0,23.0,10.0,7.0,7.0,7.0,9.0,9.0,29.0,10.0,7.0
ENSG00000222952.1,9.0,8.0,0.0,7.0,8.0,8.0,6.0,22.0,10.0,5.0,10.0,7.0,5.0,8.0,7.0,8.0,10.0,8.0,6.0,9.0,8.0,8.0,6.0,7.0,5.0,8.0,7.0,10.0,8.0,6.0
ENSG00000221333.1,10.0,7.0,7.0,0.0,8.0,7.0,7.0,8.0,9.0,14.0,10.0,8.0,8.0,7.0,6.0,7.0,8.0,6.0,25.0,12.0,6.0,9.0,7.0,7.0,6.0,8.0,6.0,9.0,6.0,7.0
ENSG00000103024.7,14.0,9.0,8.0,8.0,0.0,12.0,8.0,7.0,15.0,7.0,13.0,12.0,8.0,10.0,11.0,11.0,13.0,9.0,8.0,17.0,9.0,12.0,8.0,9.0,8.0,9.0,9.0,10.0,10.0,8.0
ENSG00000187857.3,12.0,7.0,8.0,7.0,12.0,0.0,9.0,8.0,10.0,7.0,12.0,8.0,8.0,14.0,10.0,8.0,12.0,8.0,8.0,11.0,8.0,18.0,8.0,8.0,9.0,13.0,10.0,9.0,13.0,8.0
ENSG00000212273.1,10.0,7.0,6.0,7.0,8.0,9.0,0.0,6.0,9.0,7.0,10.0,8.0,6.0,8.0,10.0,6.0,9.0,7.0,8.0,11.0,8.0,7.0,7.0,7.0,7.0,10.0,8.0,7.0,7.0,8.0
ENSG00000212571.1,9.0,7.0,22.0,8.0,7.0,8.0,6.0,0.0,8.0,6.0,11.0,6.0,5.0,7.0,9.0,7.0,9.0,8.0,6.0,10.0,10.0,9.0,9.0,5.0,7.0,7.0,7.0,7.0,8.0,6.0
ENSG00000259803.6,80.0,10.0,10.0,9.0,15.0,10.0,9.0,8.0,0.0,10.0,65.0,12.0,11.0,12.0,53.0,10.0,14.0,10.0,9.0,75.0,11.0,11.0,10.0,10.0,9.0,10.0,11.0,12.0,11.0,10.0
ENSG00000221432.1,8.0,7.0,5.0,14.0,7.0,7.0,7.0,6.0,10.0,0.0,9.0,7.0,6.0,6.0,6.0,6.0,8.0,7.0,40.0,9.0,6.0,10.0,7.0,9.0,5.0,7.0,7.0,6.0,7.0,6.0
ENSG00000274764.5,49.0,18.0,10.0,10.0,13.0,12.0,10.0,11.0,65.0,9.0,0.0,12.0,11.0,13.0,30.0,22.0,12.0,11.0,9.0,75.0,76.0,13.0,13.0,10.0,9.0,12.0,12.0,14.0,12.0,10.0
ENSG00000277858.1,10.0,8.0,7.0,8.0,12.0,8.0,8.0,6.0,12.0,7.0,12.0,0.0,9.0,8.0,9.0,11.0,13.0,8.0,7.0,12.0,10.0,8.0,6.0,6.0,7.0,8.0,7.0,8.0,10.0,6.0
ENSG00000207287.1,10.0,6.0,5.0,8.0,8.0,8.0,6.0,5.0,11.0,6.0,11.0,9.0,0.0,7.0,9.0,6.0,9.0,8.0,6.0,9.0,8.0,8.0,17.0,6.0,32.0,9.0,8.0,7.0,11.0,10.0
ENSG00000159961.1,11.0,9.0,8.0,7.0,10.0,14.0,8.0,7.0,12.0,6.0,13.0,8.0,7.0,0.0,8.0,9.0,11.0,9.0,9.0,12.0,8.0,17.0,9.0,8.0,9.0,19.0,9.0,10.0,11.0,8.0
ENSG00000264963.2,23.0,30.0,7.0,6.0,11.0,10.0,10.0,9.0,53.0,6.0,30.0,9.0,9.0,8.0,0.0,22.0,11.0,8.0,8.0,97.0,63.0,10.0,7.0,6.0,8.0,9.0,8.0,18.0,10.0,9.0
ENSG00000273717.1,10.0,32.0,8.0,7.0,11.0,8.0,6.0,7.0,10.0,6.0,22.0,11.0,6.0,9.0,22.0,0.0,11.0,11.0,6.0,26.0,24.0,10.0,10.0,7.0,7.0,10.0,9.0,26.0,10.0,7.0
ENSG00000142700.11,13.0,11.0,10.0,8.0,13.0,12.0,9.0,9.0,14.0,8.0,12.0,13.0,9.0,11.0,11.0,11.0,0.0,10.0,11.0,15.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,12.0,13.0,9.0
