,ENSG00000251763.1,>ENST00000503899.1,>ENST00000440335.1,>ENST00000432727.1,>ENST00000458502.2,ENSG00000161798.6,>ENST00000413087.1,ENSG00000186710.11,>ENST00000573526.1,ENSG00000201749.1,>ENST00000479876.2,>ENST00000511924.1,>ENST00000566323.1,>ENST00000416620.2,>ENST00000510918.5,>ENST00000394467.3,>ENST00000603274.1,>ENST00000411655.1,>ENST00000604764.1,ENSG00000105136.19,ENSG00000173039.18,>ENST00000582254.1,>ENST00000619819.1,>ENST00000519099.1,ENSG00000281516.1,>ENST00000372011.4,>ENST00000446719.1,>ENST00000426249.1,>ENST00000396820.2
ENSG00000251763.1,0.0,9.0,7.0,7.0,7.0,8.0,9.0,9.0,7.0,6.0,9.0,8.0,7.0,9.0,9.0,7.0,8.0,8.0,7.0,11.0,10.0,8.0,8.0,7.0,7.0,8.0,8.0,11.0,8.0
>ENST00000503899.1,9.0,0.0,9.0,8.0,10.0,14.0,11.0,11.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,10.0,10.0,11.0,12.0,7.0,10.0,8.0,8.0,9.0,8.0,10.0,8.0
>ENST00000440335.1,7.0,9.0,0.0,8.0,9.0,10.0,11.0,10.0,9.0,7.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,13.0,10.0,8.0,10.0,7.0,8.0,9.0,9.0,9.0,10.0
>ENST00000432727.1,7.0,8.0,8.0,0.0,8.0,9.0,8.0,10.0,10.0,7.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,13.0,9.0,11.0,8.0,9.0,9.0,10.0,11.0,8.0
>ENST00000458502.2,7.0,10.0,9.0,8.0,0.0,13.0,10.0,12.0,13.0,7.0,9.0,9.0,9.0,10.0,9.0,10.0,11.0,9.0,9.0,11.0,12.0,10.0,10.0,9.0,7.0,10.0,8.0,9.0,9.0
ENSG00000161798.6,8.0,14.0,10.0,9.0,13.0,0.0,11.0,14.0,12.0,8.0,11.0,9.0,11.0,13.0,10.0,12.0,11.0,12.0,10.0,12.0,13.0,11.0,14.0,11.0,10.0,10.0,11.0,10.0,12.0
>ENST00000413087.1,9.0,11.0,11.0,8.0,10.0,11.0,0.0,11.0,12.0,8.0,10.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,10.0,11.0,11.0,10.0,10.0,12.0,8.0,10.0,10.0,11.0,10.0
ENSG00000186710.11,9.0,11.0,10.0,10.0,12.0,14.0,11.0,0.0,13.0,11.0,12.0,10.0,11.0,11.0,12.0,12.0,13.0,11.0,11.0,68.0,71.0,13.0,12.0,11.0,11.0,12.0,11.0,11.0,13.0
>ENST00000573526.1,7.0,8.0,9.0,10.0,13.0,12.0,12.0,13.0,0.0,8.0,9.0,9.0,9.0,10.0,9.0,12.0,10.0,9.0,10.0,10.0,12.0,9.0,11.0,8.0,8.0,10.0,8.0,10.0,9.0
ENSG00000201749.1,6.0,8.0,7.0,7.0,7.0,8.0,8.0,11.0,8.0,0.0,8.0,8.0,6.0,8.0,7.0,7.0,9.0,8.0,10.0,10.0,11.0,9.0,8.0,8.0,8.0,8.0,7.0,9.0,8.0
>ENST00000479876.2,9.0,10.0,10.0,9.0,9.0,11.0,10.0,12.0,9.0,8.0,0.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,11.0,12.0,10.0,10.0,9.0,11.0,10.0,9.0,10.0,10.0
>ENST00000511924.1,8.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,0.0,7.0,10.0,9.0,8.0,8.0,9.0,9.0,13.0,10.0,9.0,8.0,8.0,7.0,11.0,9.0,10.0,10.0
>ENST00000566323.1,7.0,9.0,8.0,8.0,9.0,11.0,8.0,11.0,9.0,6.0,9.0,7.0,0.0,10.0,10.0,10.0,8.0,9.0,8.0,9.0,11.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,7.0
>ENST00000416620.2,9.0,9.0,9.0,9.0,10.0,13.0,10.0,11.0,10.0,8.0,9.0,10.0,10.0,0.0,12.0,12.0,10.0,11.0,9.0,12.0,12.0,9.0,12.0,9.0,9.0,9.0,11.0,12.0,11.0
>ENST00000510918.5,9.0,9.0,9.0,9.0,9.0,10.0,9.0,12.0,9.0,7.0,10.0,9.0,10.0,12.0,0.0,9.0,10.0,12.0,9.0,11.0,11.0,9.0,11.0,7.0,9.0,10.0,10.0,10.0,9.0
>ENST00000394467.3,7.0,9.0,9.0,9.0,10.0,12.0,10.0,12.0,12.0,7.0,9.0,8.0,10.0,12.0,9.0,0.0,11.0,11.0,10.0,12.0,17.0,9.0,11.0,8.0,8.0,10.0,12.0,10.0,10.0
>ENST00000603274.1,8.0,11.0,9.0,8.0,11.0,11.0,9.0,13.0,10.0,9.0,10.0,8.0,8.0,10.0,10.0,11.0,0.0,10.0,11.0,11.0,12.0,8.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0
>ENST00000411655.1,8.0,10.0,8.0,10.0,9.0,12.0,9.0,11.0,9.0,8.0,9.0,9.0,9.0,11.0,12.0,11.0,10.0,0.0,10.0,11.0,12.0,9.0,10.0,9.0,10.0,10.0,9.0,12.0,10.0
>ENST00000604764.1,7.0,10.0,8.0,9.0,9.0,10.0,10.0,11.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,10.0,11.0,10.0,0.0,12.0,11.0,12.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0
ENSG00000105136.19,11.0,11.0,13.0,10.0,11.0,12.0,11.0,68.0,10.0,10.0,11.0,13.0,9.0,12.0,11.0,12.0,11.0,11.0,12.0,0.0,89.0,13.0,11.0,12.0,11.0,12.0,12.0,12.0,12.0
ENSG00000173039.18,10.0,12.0,10.0,13.0,12.0,13.0,11.0,71.0,12.0,11.0,12.0,10.0,11.0,12.0,11.0,17.0,12.0,12.0,11.0,89.0,0.0,11.0,14.0,10.0,11.0,12.0,11.0,13.0,12.0
>ENST00000582254.1,8.0,7.0,8.0,9.0,10.0,11.0,10.0,13.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,12.0,13.0,11.0,0.0,10.0,8.0,8.0,10.0,8.0,10.0,8.0
>ENST00000619819.1,8.0,10.0,10.0,11.0,10.0,14.0,10.0,12.0,11.0,8.0,10.0,8.0,9.0,12.0,11.0,11.0,10.0,10.0,9.0,11.0,14.0,10.0,0.0,9.0,7.0,9.0,9.0,11.0,8.0
>ENST00000519099.1,7.0,8.0,7.0,8.0,9.0,11.0,12.0,11.0,8.0,8.0,9.0,8.0,9.0,9.0,7.0,8.0,9.0,9.0,8.0,12.0,10.0,8.0,9.0,0.0,7.0,9.0,8.0,8.0,8.0
ENSG00000281516.1,7.0,8.0,8.0,9.0,7.0,10.0,8.0,11.0,8.0,8.0,11.0,7.0,8.0,9.0,9.0,8.0,8.0,10.0,8.0,11.0,11.0,8.0,7.0,7.0,0.0,10.0,8.0,9.0,8.0
>ENST00000372011.4,8.0,9.0,9.0,9.0,10.0,10.0,10.0,12.0,10.0,8.0,10.0,11.0,8.0,9.0,10.0,10.0,9.0,10.0,8.0,12.0,12.0,10.0,9.0,9.0,10.0,0.0,10.0,10.0,9.0
>ENST00000446719.1,8.0,8.0,9.0,10.0,8.0,11.0,10.0,11.0,8.0,7.0,9.0,9.0,9.0,11.0,10.0,12.0,10.0,9.0,8.0,12.0,11.0,8.0,9.0,8.0,8.0,10.0,0.0,11.0,10.0
>ENST00000426249.1,11.0,10.0,9.0,11.0,9.0,10.0,11.0,11.0,10.0,9.0,10.0,10.0,9.0,12.0,10.0,10.0,9.0,12.0,9.0,12.0,13.0,10.0,11.0,8.0,9.0,10.0,11.0,0.0,13.0
