,>ENST00000513394.1,>ENST00000531876.1,>ENST00000511047.2,>ENST00000508209.1,>ENST00000565294.1,>ENST00000402808.1,>ENST00000595082.1,>ENST00000447435.1,>ENST00000562098.1,>ENST00000467247.2,>ENST00000453641.1,>ENST00000413639.1,>ENST00000438016.2,>ENST00000603134.1,>ENST00000443599.2,>ENST00000411521.1,>ENST00000445263.2,>ENST00000527269.1,>ENST00000455459.1,>ENST00000551663.1,>ENST00000505218.1,>ENST00000621811.1,>ENST00000401898.2,>ENST00000406490.1,>ENST00000417555.2,>ENST00000573021.1,>ENST00000460917.1,>ENST00000452257.1,>ENST00000327258.5,>ENST00000459725.1,>ENST00000449858.2,>ENST00000402316.2,>ENST00000492168.1,>ENST00000603871.1,>ENST00000402490.1,ENSG00000263570.1,>ENST00000423148.2,>ENST00000584870.1,>ENST00000623396.3,>ENST00000428806.2,>ENST00000605170.1,>ENST00000429278.1
>ENST00000513394.1,0.0,10.0,11.0,7.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,12.0,10.0,9.0,11.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,11.0,8.0,9.0,10.0,9.0,10.0,11.0,11.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0
>ENST00000531876.1,10.0,0.0,10.0,9.0,10.0,9.0,13.0,10.0,10.0,10.0,10.0,13.0,10.0,9.0,11.0,9.0,10.0,11.0,10.0,10.0,12.0,12.0,10.0,12.0,10.0,9.0,11.0,11.0,12.0,11.0,10.0,9.0,11.0,10.0,9.0,9.0,12.0,12.0,10.0,11.0,10.0,9.0
>ENST00000511047.2,11.0,10.0,0.0,8.0,7.0,9.0,10.0,8.0,8.0,10.0,7.0,10.0,13.0,10.0,10.0,8.0,9.0,7.0,10.0,8.0,9.0,12.0,8.0,8.0,10.0,9.0,10.0,10.0,11.0,9.0,10.0,10.0,9.0,10.0,9.0,7.0,12.0,9.0,9.0,8.0,8.0,8.0
>ENST00000508209.1,7.0,9.0,8.0,0.0,9.0,8.0,8.0,10.0,7.0,9.0,8.0,9.0,9.0,8.0,8.0,6.0,9.0,8.0,8.0,10.0,7.0,9.0,8.0,8.0,9.0,7.0,10.0,9.0,8.0,7.0,10.0,7.0,8.0,7.0,8.0,9.0,9.0,8.0,11.0,10.0,9.0,9.0
>ENST00000565294.1,9.0,10.0,7.0,9.0,0.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,11.0,11.0,9.0,7.0,11.0,8.0,8.0,10.0,11.0,10.0,8.0,10.0,10.0,8.0,9.0,10.0,8.0,11.0,8.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0
>ENST00000402808.1,8.0,9.0,9.0,8.0,9.0,0.0,12.0,7.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,11.0,9.0,12.0,8.0,10.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,12.0,8.0,9.0,8.0,8.0,6.0
>ENST00000595082.1,9.0,13.0,10.0,8.0,9.0,12.0,0.0,10.0,11.0,9.0,9.0,10.0,9.0,9.0,11.0,8.0,9.0,9.0,9.0,9.0,10.0,13.0,8.0,8.0,9.0,9.0,12.0,10.0,12.0,9.0,10.0,8.0,9.0,10.0,7.0,7.0,9.0,9.0,10.0,9.0,8.0,8.0
>ENST00000447435.1,8.0,10.0,8.0,10.0,10.0,7.0,10.0,0.0,9.0,9.0,9.0,9.0,11.0,10.0,9.0,8.0,10.0,8.0,10.0,10.0,9.0,10.0,10.0,8.0,10.0,8.0,11.0,12.0,8.0,11.0,9.0,7.0,9.0,9.0,10.0,8.0,8.0,8.0,10.0,9.0,9.0,7.0
>ENST00000562098.1,10.0,10.0,8.0,7.0,9.0,10.0,11.0,9.0,0.0,14.0,9.0,10.0,10.0,11.0,12.0,10.0,10.0,9.0,9.0,10.0,9.0,12.0,10.0,8.0,11.0,8.0,12.0,10.0,10.0,9.0,9.0,8.0,10.0,8.0,12.0,9.0,8.0,10.0,10.0,10.0,9.0,8.0
>ENST00000467247.2,10.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,14.0,0.0,8.0,11.0,12.0,10.0,9.0,7.0,10.0,9.0,14.0,11.0,11.0,10.0,8.0,11.0,10.0,9.0,11.0,11.0,10.0,9.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,8.0,9.0,8.0,11.0,8.0
>ENST00000453641.1,9.0,10.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,0.0,9.0,9.0,9.0,11.0,7.0,10.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,10.0,7.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,7.0,8.0,9.0,9.0,8.0,8.0,150.0,8.0,8.0
>ENST00000413639.1,9.0,13.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,0.0,13.0,11.0,11.0,13.0,12.0,9.0,10.0,11.0,14.0,11.0,10.0,11.0,10.0,9.0,11.0,12.0,10.0,10.0,12.0,9.0,10.0,11.0,9.0,8.0,12.0,9.0,11.0,9.0,11.0,10.0
>ENST00000438016.2,9.0,10.0,13.0,9.0,11.0,9.0,9.0,11.0,10.0,12.0,9.0,13.0,0.0,10.0,9.0,9.0,11.0,8.0,9.0,10.0,10.0,8.0,9.0,11.0,12.0,9.0,10.0,11.0,12.0,9.0,12.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,7.0
>ENST00000603134.1,12.0,9.0,10.0,8.0,11.0,9.0,9.0,10.0,11.0,10.0,9.0,11.0,10.0,0.0,10.0,8.0,10.0,10.0,10.0,10.0,11.0,10.0,9.0,9.0,12.0,7.0,10.0,11.0,10.0,9.0,9.0,12.0,11.0,9.0,9.0,9.0,9.0,10.0,11.0,8.0,9.0,8.0
>ENST00000443599.2,10.0,11.0,10.0,8.0,9.0,9.0,11.0,9.0,12.0,9.0,11.0,11.0,9.0,10.0,0.0,8.0,11.0,8.0,10.0,10.0,10.0,12.0,11.0,8.0,11.0,9.0,10.0,11.0,9.0,11.0,11.0,9.0,9.0,10.0,9.0,8.0,11.0,10.0,11.0,11.0,9.0,9.0
>ENST00000411521.1,9.0,9.0,8.0,6.0,7.0,8.0,8.0,8.0,10.0,7.0,7.0,13.0,9.0,8.0,8.0,0.0,8.0,11.0,8.0,7.0,8.0,10.0,9.0,8.0,10.0,8.0,8.0,12.0,8.0,8.0,9.0,9.0,8.0,7.0,9.0,7.0,7.0,10.0,8.0,8.0,8.0,7.0
>ENST00000445263.2,11.0,10.0,9.0,9.0,11.0,9.0,9.0,10.0,10.0,10.0,10.0,12.0,11.0,10.0,11.0,8.0,0.0,9.0,13.0,10.0,10.0,10.0,11.0,9.0,12.0,10.0,12.0,14.0,12.0,12.0,11.0,10.0,10.0,9.0,11.0,8.0,12.0,9.0,10.0,11.0,8.0,8.0
>ENST00000527269.1,9.0,11.0,7.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,10.0,8.0,11.0,9.0,0.0,11.0,8.0,9.0,9.0,8.0,10.0,9.0,7.0,9.0,9.0,9.0,7.0,9.0,9.0,8.0,8.0,7.0,6.0,8.0,11.0,9.0,8.0,7.0,9.0
>ENST00000455459.1,9.0,10.0,10.0,8.0,8.0,8.0,9.0,10.0,9.0,14.0,8.0,10.0,9.0,10.0,10.0,8.0,13.0,11.0,0.0,10.0,9.0,14.0,9.0,8.0,9.0,8.0,11.0,9.0,10.0,10.0,11.0,9.0,9.0,8.0,9.0,7.0,9.0,8.0,11.0,8.0,9.0,9.0
>ENST00000551663.1,9.0,10.0,8.0,10.0,10.0,8.0,9.0,10.0,10.0,11.0,8.0,11.0,10.0,10.0,10.0,7.0,10.0,8.0,10.0,0.0,10.0,9.0,12.0,9.0,12.0,7.0,11.0,9.0,11.0,12.0,11.0,10.0,9.0,8.0,9.0,9.0,10.0,11.0,15.0,10.0,10.0,9.0
>ENST00000505218.1,10.0,12.0,9.0,7.0,11.0,9.0,10.0,9.0,9.0,11.0,9.0,14.0,10.0,11.0,10.0,8.0,10.0,9.0,9.0,10.0,0.0,10.0,9.0,9.0,11.0,10.0,11.0,11.0,10.0,10.0,34.0,8.0,10.0,10.0,9.0,8.0,8.0,10.0,10.0,12.0,10.0,10.0
>ENST00000621811.1,9.0,12.0,12.0,9.0,10.0,9.0,13.0,10.0,12.0,10.0,9.0,11.0,8.0,10.0,12.0,10.0,10.0,9.0,14.0,9.0,10.0,0.0,10.0,10.0,10.0,10.0,12.0,14.0,9.0,12.0,9.0,9.0,11.0,9.0,9.0,8.0,10.0,10.0,11.0,10.0,10.0,9.0
>ENST00000401898.2,10.0,10.0,8.0,8.0,8.0,11.0,8.0,10.0,10.0,8.0,8.0,10.0,9.0,9.0,11.0,9.0,11.0,8.0,9.0,12.0,9.0,10.0,0.0,9.0,10.0,8.0,11.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,8.0,8.0,9.0,11.0,9.0,8.0,8.0
>ENST00000406490.1,10.0,12.0,8.0,8.0,10.0,9.0,8.0,8.0,8.0,11.0,8.0,11.0,11.0,9.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0,10.0,9.0,0.0,11.0,7.0,12.0,9.0,9.0,12.0,9.0,9.0,10.0,8.0,8.0,6.0,9.0,10.0,8.0,8.0,9.0,7.0
>ENST00000417555.2,11.0,10.0,10.0,9.0,10.0,12.0,9.0,10.0,11.0,10.0,10.0,10.0,12.0,12.0,11.0,10.0,12.0,9.0,9.0,12.0,11.0,10.0,10.0,11.0,0.0,9.0,11.0,12.0,11.0,10.0,11.0,11.0,10.0,13.0,9.0,9.0,12.0,12.0,10.0,10.0,10.0,10.0
>ENST00000573021.1,8.0,9.0,9.0,7.0,8.0,8.0,9.0,8.0,8.0,9.0,7.0,9.0,9.0,7.0,9.0,8.0,10.0,7.0,8.0,7.0,10.0,10.0,8.0,7.0,9.0,0.0,11.0,12.0,8.0,8.0,8.0,9.0,7.0,6.0,6.0,5.0,10.0,9.0,8.0,8.0,7.0,7.0
>ENST00000460917.1,9.0,11.0,10.0,10.0,9.0,10.0,12.0,11.0,12.0,11.0,10.0,11.0,10.0,10.0,10.0,8.0,12.0,9.0,11.0,11.0,11.0,12.0,11.0,12.0,11.0,11.0,0.0,11.0,13.0,10.0,10.0,9.0,12.0,10.0,9.0,7.0,9.0,11.0,11.0,10.0,10.0,9.0
>ENST00000452257.1,10.0,11.0,10.0,9.0,10.0,9.0,10.0,12.0,10.0,11.0,10.0,12.0,11.0,11.0,11.0,12.0,14.0,9.0,9.0,9.0,11.0,14.0,10.0,9.0,12.0,12.0,11.0,0.0,12.0,10.0,11.0,10.0,10.0,8.0,10.0,8.0,11.0,9.0,11.0,10.0,9.0,9.0
>ENST00000327258.5,9.0,12.0,11.0,8.0,8.0,8.0,12.0,8.0,10.0,10.0,9.0,10.0,12.0,10.0,9.0,8.0,12.0,9.0,10.0,11.0,10.0,9.0,9.0,9.0,11.0,8.0,13.0,12.0,0.0,8.0,9.0,12.0,10.0,9.0,9.0,8.0,9.0,11.0,16.0,9.0,10.0,8.0
>ENST00000459725.1,10.0,11.0,9.0,7.0,11.0,8.0,9.0,11.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,8.0,12.0,7.0,10.0,12.0,10.0,12.0,9.0,12.0,10.0,8.0,10.0,10.0,8.0,0.0,9.0,9.0,11.0,8.0,10.0,7.0,11.0,9.0,10.0,9.0,9.0,12.0
>ENST00000449858.2,11.0,10.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,12.0,12.0,9.0,11.0,9.0,11.0,9.0,11.0,11.0,34.0,9.0,10.0,9.0,11.0,8.0,10.0,11.0,9.0,9.0,0.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,12.0,9.0,10.0,9.0
>ENST00000402316.2,11.0,9.0,10.0,7.0,9.0,8.0,8.0,7.0,8.0,8.0,8.0,9.0,9.0,12.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,12.0,9.0,9.0,0.0,11.0,7.0,9.0,10.0,8.0,10.0,13.0,8.0,10.0,9.0
>ENST00000492168.1,9.0,11.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,11.0,9.0,8.0,10.0,8.0,9.0,9.0,10.0,11.0,8.0,10.0,10.0,7.0,12.0,10.0,10.0,11.0,9.0,11.0,0.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0
