,>ENST00000508984.1,>ENST00000509147.2,>ENST00000621362.1,>ENST00000429271.1,>ENST00000525666.1,>ENST00000533716.1,>ENST00000603694.1,>ENSTR0000452144.6,>ENST00000613386.4,>ENST00000488429.5,>ENST00000571086.1,ENSG00000180658.3,>ENST00000603219.1,>ENST00000474297.1,>ENST00000407180.1,>ENST00000414251.3,>ENST00000334441.4,>ENST00000450768.1
>ENST00000508984.1,0.0,9.0,10.0,12.0,10.0,12.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,9.0,10.0,11.0,10.0,11.0
>ENST00000509147.2,9.0,0.0,7.0,9.0,10.0,9.0,10.0,7.0,10.0,10.0,12.0,10.0,10.0,8.0,9.0,12.0,8.0,13.0
>ENST00000621362.1,10.0,7.0,0.0,9.0,7.0,10.0,11.0,7.0,12.0,11.0,12.0,9.0,7.0,9.0,9.0,9.0,8.0,9.0
>ENST00000429271.1,12.0,9.0,9.0,0.0,10.0,10.0,9.0,10.0,11.0,9.0,9.0,10.0,10.0,7.0,8.0,9.0,8.0,9.0
>ENST00000525666.1,10.0,10.0,7.0,10.0,0.0,10.0,9.0,11.0,12.0,11.0,10.0,11.0,11.0,10.0,13.0,10.0,10.0,10.0
>ENST00000533716.1,12.0,9.0,10.0,10.0,10.0,0.0,9.0,10.0,12.0,11.0,11.0,10.0,10.0,9.0,10.0,10.0,9.0,11.0
>ENST00000603694.1,10.0,10.0,11.0,9.0,9.0,9.0,0.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,11.0,10.0,9.0,11.0
>ENSTR0000452144.6,10.0,7.0,7.0,10.0,11.0,10.0,10.0,0.0,10.0,13.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0
>ENST00000613386.4,11.0,10.0,12.0,11.0,12.0,12.0,11.0,10.0,0.0,11.0,11.0,12.0,11.0,10.0,11.0,12.0,10.0,11.0
>ENST00000488429.5,11.0,10.0,11.0,9.0,11.0,11.0,10.0,13.0,11.0,0.0,11.0,10.0,10.0,9.0,9.0,10.0,8.0,12.0
>ENST00000571086.1,10.0,12.0,12.0,9.0,10.0,11.0,10.0,8.0,11.0,11.0,0.0,11.0,9.0,9.0,9.0,11.0,9.0,10.0
ENSG00000180658.3,10.0,10.0,9.0,10.0,11.0,10.0,10.0,9.0,12.0,10.0,11.0,0.0,9.0,8.0,9.0,11.0,9.0,14.0
>ENST00000603219.1,10.0,10.0,7.0,10.0,11.0,10.0,9.0,9.0,11.0,10.0,9.0,9.0,0.0,10.0,9.0,10.0,9.0,9.0
>ENST00000474297.1,9.0,8.0,9.0,7.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,10.0,0.0,11.0,9.0,8.0,10.0
>ENST00000407180.1,10.0,9.0,9.0,8.0,13.0,10.0,11.0,9.0,11.0,9.0,9.0,9.0,9.0,11.0,0.0,11.0,9.0,10.0
>ENST00000414251.3,11.0,12.0,9.0,9.0,10.0,10.0,10.0,10.0,12.0,10.0,11.0,11.0,10.0,9.0,11.0,0.0,9.0,10.0
>ENST00000334441.4,10.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,0.0,12.0
>ENST00000450768.1,11.0,13.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,12.0,10.0,14.0,9.0,10.0,10.0,10.0,12.0,0.0
