,>ENST00000515177.2,>ENST00000451056.1,>ENST00000443818.1,>ENST00000514631.1,>ENST00000560906.1,>ENST00000454645.2,>ENST00000512920.2,>ENST00000441819.1,>ENST00000406473.1,>ENST00000604519.1,ENSG00000200407.1,>ENST00000605455.1,>ENST00000449818.1,>ENST00000596032.1,>ENST00000614601.1,>ENST00000474858.1,>ENST00000572906.2,>ENST00000489727.2,>ENST00000604859.1,>ENST00000560090.2,>ENST00000481681.1,>ENST00000434943.1,>ENST00000607331.1,>ENST00000446295.1,>ENST00000404881.2,>ENST00000452651.1,>ENST00000524010.1,>ENST00000429351.1,>ENST00000442271.1,>ENST00000426397.1,>ENST00000465177.1,>ENST00000437300.1,>ENST00000443317.1,>ENST00000559344.2,>ENST00000418453.1,>ENST00000520775.1,>ENST00000587229.2,>ENST00000529916.1,>ENST00000505671.1,>ENST00000464421.2,>ENST00000594322.2,>ENST00000451663.5,>ENST00000434901.2,ENSG00000211798.3,>ENST00000435756.1,>ENST00000412645.1,>ENST00000503181.1,>ENST00000634243.1,>ENST00000446606.1
>ENST00000515177.2,0.0,9.0,9.0,9.0,7.0,7.0,8.0,8.0,10.0,11.0,7.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,8.0,7.0,8.0,8.0,9.0,7.0,9.0,10.0,10.0,8.0,8.0,10.0,9.0,10.0,8.0,9.0,10.0,11.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0
>ENST00000451056.1,9.0,0.0,8.0,11.0,9.0,10.0,10.0,7.0,8.0,11.0,7.0,9.0,10.0,10.0,7.0,9.0,9.0,8.0,14.0,9.0,8.0,13.0,10.0,11.0,8.0,10.0,9.0,9.0,9.0,12.0,8.0,12.0,9.0,8.0,9.0,9.0,10.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,11.0,9.0,11.0,9.0,9.0
>ENST00000443818.1,9.0,8.0,0.0,10.0,8.0,10.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,10.0,8.0,11.0,10.0,10.0,9.0,9.0,8.0,11.0,8.0,9.0,8.0,8.0,8.0,9.0,11.0,7.0,10.0,9.0,8.0,8.0,7.0,8.0,10.0,9.0,8.0,9.0,8.0,10.0,9.0,8.0,8.0,9.0,9.0,10.0,8.0
>ENST00000514631.1,9.0,11.0,10.0,0.0,11.0,8.0,10.0,9.0,10.0,10.0,7.0,9.0,10.0,13.0,10.0,11.0,10.0,9.0,12.0,10.0,10.0,9.0,11.0,10.0,9.0,10.0,9.0,8.0,12.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,11.0,11.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0,11.0,10.0,10.0,11.0
>ENST00000560906.1,7.0,9.0,8.0,11.0,0.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,7.0,12.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,12.0,10.0,10.0,9.0,11.0,8.0,12.0,9.0
>ENST00000454645.2,7.0,10.0,10.0,8.0,9.0,0.0,10.0,8.0,9.0,8.0,8.0,11.0,9.0,9.0,8.0,9.0,7.0,9.0,8.0,10.0,8.0,9.0,11.0,9.0,8.0,7.0,8.0,7.0,12.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,8.0,10.0,10.0,9.0,12.0,12.0,9.0,9.0,11.0,9.0,10.0,8.0,8.0
>ENST00000512920.2,8.0,10.0,9.0,10.0,9.0,10.0,0.0,10.0,10.0,10.0,9.0,10.0,257.0,11.0,9.0,10.0,9.0,10.0,9.0,12.0,10.0,10.0,11.0,11.0,10.0,8.0,8.0,8.0,11.0,10.0,9.0,11.0,12.0,10.0,11.0,11.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,10.0,10.0,9.0,11.0,10.0,10.0
>ENST00000441819.1,8.0,7.0,8.0,9.0,9.0,8.0,10.0,0.0,10.0,7.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,10.0,9.0,9.0,9.0,6.0,9.0,10.0,9.0,8.0,7.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,7.0,9.0,9.0,8.0,7.0,9.0,10.0,10.0,8.0
>ENST00000406473.1,10.0,8.0,8.0,10.0,9.0,9.0,10.0,10.0,0.0,10.0,9.0,13.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,9.0,12.0,9.0,9.0,12.0,11.0,9.0,13.0,11.0,10.0,10.0,11.0,9.0,10.0,16.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0
>ENST00000604519.1,11.0,11.0,9.0,10.0,8.0,8.0,10.0,7.0,10.0,0.0,9.0,11.0,9.0,9.0,7.0,9.0,9.0,9.0,11.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,7.0,10.0,8.0,10.0,9.0,14.0,9.0,8.0,9.0,10.0,11.0,8.0,9.0,8.0,12.0,8.0,10.0,9.0,9.0,11.0,10.0,7.0
