,>ENST00000414273.1,>ENST00000511478.1,>ENST00000603341.1,>ENST00000514852.1,>ENST00000514795.2,>ENST00000403623.1,>ENST00000526965.1,>ENST00000496040.1,>ENST00000447821.1,>ENST00000471280.1,ENSG00000181218.5,>ENST00000423619.2,>ENST00000400429.3,>ENST00000575880.1,>ENST00000479921.2,>ENST00000597606.1,>ENST00000470499.1,>ENST00000452520.1,>ENST00000393978.2,>ENST00000521638.1,>ENST00000497342.1,>ENST00000420129.1,>ENST00000445822.1,>ENST00000403830.2,>ENST00000613254.1,>ENST00000413929.1,>ENST00000438212.1,>ENST00000440229.1,>ENST00000445234.1,>ENST00000503783.1,>ENST00000544730.1,>ENST00000513642.2,>ENST00000411487.1,>ENST00000502424.1,>ENST00000419919.2,ENSG00000207304.1,>ENST00000414704.1,>ENST00000467051.1,>ENST00000621227.1,>ENST00000615227.1,>ENST00000624956.2,>ENST00000420566.3,>ENST00000433312.1,>ENST00000504077.2,>ENST00000424695.1,>ENST00000441091.1,>ENST00000495111.1,>ENST00000425667.1,>ENST00000439309.1,>ENST00000490535.1,>ENST00000450566.1,>ENST00000436879.2,>ENST00000450948.1,>ENST00000576035.1
>ENST00000414273.1,0.0,10.0,10.0,11.0,11.0,10.0,9.0,11.0,10.0,9.0,10.0,8.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,9.0,12.0,9.0,10.0,10.0,13.0,11.0,10.0,8.0,10.0,9.0,11.0,12.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,10.0,10.0,9.0,7.0,9.0,13.0
>ENST00000511478.1,10.0,0.0,12.0,10.0,10.0,10.0,8.0,10.0,12.0,10.0,9.0,9.0,8.0,10.0,10.0,11.0,12.0,13.0,11.0,10.0,9.0,11.0,10.0,11.0,9.0,11.0,10.0,10.0,12.0,9.0,10.0,8.0,11.0,11.0,10.0,9.0,10.0,10.0,10.0,10.0,12.0,14.0,15.0,10.0,11.0,10.0,9.0,11.0,9.0,10.0,10.0,9.0,9.0,11.0
>ENST00000603341.1,10.0,12.0,0.0,9.0,11.0,9.0,9.0,9.0,10.0,8.0,10.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,8.0,10.0,9.0,11.0,8.0,11.0,9.0,8.0,9.0,9.0,9.0,12.0,8.0,10.0,8.0,11.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,7.0,11.0,8.0,9.0,8.0,8.0,14.0,12.0
>ENST00000514852.1,11.0,10.0,9.0,0.0,10.0,11.0,11.0,12.0,11.0,9.0,10.0,9.0,10.0,11.0,10.0,11.0,9.0,9.0,11.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,11.0,10.0,11.0,12.0,10.0,10.0,10.0,12.0,9.0,7.0,10.0,10.0,9.0,10.0,11.0,9.0,11.0,9.0,9.0,9.0,9.0,12.0,13.0,10.0,8.0,12.0,9.0,11.0
>ENST00000514795.2,11.0,10.0,11.0,10.0,0.0,10.0,9.0,10.0,10.0,8.0,10.0,8.0,8.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,11.0,12.0,8.0,14.0,8.0,10.0,9.0,11.0,10.0,9.0,7.0,10.0,11.0,13.0,7.0,8.0,8.0,12.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,8.0,10.0,8.0,10.0,10.0,9.0,9.0,9.0
>ENST00000403623.1,10.0,10.0,9.0,11.0,10.0,0.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,12.0,10.0,12.0,10.0,11.0,10.0,8.0,10.0,11.0,10.0,12.0,10.0,12.0,10.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,8.0,10.0,11.0,9.0,8.0,12.0,10.0,10.0,10.0,10.0,9.0,9.0,11.0,11.0,10.0,8.0,7.0,8.0,10.0
>ENST00000526965.1,9.0,8.0,9.0,11.0,9.0,8.0,0.0,7.0,10.0,8.0,10.0,7.0,10.0,9.0,11.0,8.0,10.0,8.0,10.0,9.0,7.0,9.0,7.0,8.0,10.0,11.0,9.0,9.0,8.0,8.0,10.0,7.0,11.0,10.0,10.0,7.0,10.0,10.0,8.0,13.0,9.0,8.0,8.0,8.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0,6.0,8.0,11.0
>ENST00000496040.1,11.0,10.0,9.0,12.0,10.0,10.0,7.0,0.0,11.0,9.0,10.0,9.0,11.0,10.0,10.0,9.0,9.0,12.0,12.0,10.0,9.0,13.0,11.0,8.0,8.0,10.0,12.0,10.0,11.0,10.0,13.0,8.0,10.0,10.0,12.0,9.0,9.0,10.0,13.0,10.0,11.0,12.0,10.0,12.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,11.0
>ENST00000447821.1,10.0,12.0,10.0,11.0,10.0,9.0,10.0,11.0,0.0,10.0,11.0,11.0,9.0,11.0,9.0,11.0,11.0,10.0,13.0,12.0,12.0,10.0,11.0,10.0,9.0,10.0,12.0,10.0,11.0,9.0,11.0,10.0,12.0,10.0,10.0,8.0,10.0,10.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,10.0,11.0,15.0,11.0,12.0,10.0,9.0,10.0,10.0
>ENST00000471280.1,9.0,10.0,8.0,9.0,8.0,9.0,8.0,9.0,10.0,0.0,12.0,10.0,8.0,13.0,9.0,10.0,9.0,8.0,11.0,10.0,8.0,11.0,8.0,10.0,10.0,13.0,11.0,8.0,11.0,11.0,8.0,11.0,11.0,11.0,8.0,7.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,11.0,11.0,13.0,8.0,10.0,10.0,11.0,11.0,9.0,8.0,10.0
