,>ENST00000407916.2,>ENST00000558211.2,>ENST00000412463.1,>ENST00000441462.1,>ENST00000521814.1,>ENST00000425951.1,>ENST00000430693.1,>ENST00000446164.1,>ENST00000514997.1,>ENST00000444021.1,>ENST00000438629.2,>ENST00000557871.1,>ENST00000464696.2,>ENST00000424137.2,>ENST00000614611.1,>ENST00000545329.1,ENSG00000274072.1,>ENST00000421208.1,>ENST00000376987.1,>ENST00000424971.1,>ENST00000564937.2,>ENST00000454211.1,>ENST00000443090.1,>ENST00000507775.2,>ENST00000325000.4,>ENST00000414981.2,>ENST00000622170.1,ENSG00000207278.1,>ENST00000530815.1,>ENST00000475330.1,>ENST00000432006.1,>ENST00000592972.1,>ENST00000509920.1,>ENST00000427301.1,>ENST00000581296.1,>ENST00000431782.1,>ENST00000429043.1,>ENST00000440193.1,>ENST00000567299.1,>ENST00000634439.1
>ENST00000407916.2,0.0,12.0,10.0,13.0,12.0,11.0,10.0,11.0,12.0,10.0,10.0,11.0,11.0,12.0,10.0,9.0,8.0,10.0,11.0,10.0,10.0,12.0,11.0,13.0,12.0,12.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,14.0,13.0,13.0,12.0,12.0,12.0,11.0
>ENST00000558211.2,12.0,0.0,10.0,10.0,10.0,10.0,9.0,11.0,9.0,10.0,9.0,13.0,14.0,11.0,9.0,10.0,7.0,9.0,11.0,11.0,9.0,11.0,9.0,11.0,9.0,18.0,10.0,9.0,9.0,10.0,11.0,8.0,8.0,14.0,11.0,10.0,11.0,17.0,10.0,10.0
>ENST00000412463.1,10.0,10.0,0.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,7.0,9.0,10.0,8.0,8.0,7.0,7.0,9.0,9.0,8.0,9.0,8.0,7.0,8.0,9.0,7.0,8.0,8.0,10.0,9.0,9.0,7.0,10.0,10.0,10.0,9.0,10.0,10.0,8.0,7.0
>ENST00000441462.1,13.0,10.0,8.0,0.0,11.0,10.0,10.0,9.0,12.0,9.0,9.0,12.0,12.0,9.0,9.0,9.0,8.0,11.0,13.0,12.0,12.0,9.0,10.0,11.0,10.0,11.0,13.0,9.0,11.0,10.0,11.0,9.0,8.0,10.0,13.0,10.0,11.0,10.0,10.0,10.0
>ENST00000521814.1,12.0,10.0,9.0,11.0,0.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0,8.0,7.0,9.0,9.0,9.0,8.0,10.0,11.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,11.0,9.0,8.0,11.0,11.0,10.0,10.0,9.0,9.0,11.0
>ENST00000425951.1,11.0,10.0,9.0,10.0,10.0,0.0,13.0,7.0,9.0,12.0,10.0,10.0,11.0,9.0,9.0,10.0,7.0,11.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,12.0,11.0,12.0,8.0,8.0,9.0,11.0,9.0,10.0,10.0,9.0,9.0
>ENST00000430693.1,10.0,9.0,8.0,10.0,10.0,13.0,0.0,10.0,10.0,8.0,8.0,13.0,10.0,8.0,8.0,10.0,7.0,10.0,10.0,8.0,10.0,8.0,11.0,8.0,9.0,8.0,8.0,9.0,10.0,9.0,12.0,10.0,10.0,10.0,12.0,9.0,12.0,9.0,10.0,8.0
>ENST00000446164.1,11.0,11.0,9.0,9.0,8.0,7.0,10.0,0.0,11.0,9.0,8.0,11.0,8.0,8.0,7.0,7.0,7.0,9.0,10.0,8.0,7.0,9.0,10.0,12.0,9.0,9.0,9.0,8.0,10.0,9.0,12.0,9.0,7.0,10.0,10.0,8.0,9.0,10.0,9.0,8.0
>ENST00000514997.1,12.0,9.0,9.0,12.0,9.0,9.0,10.0,11.0,0.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0,6.0,9.0,9.0,9.0,8.0,10.0,9.0,11.0,9.0,10.0,9.0,10.0,10.0,11.0,11.0,10.0,7.0,12.0,12.0,9.0,10.0,9.0,9.0,7.0
>ENST00000444021.1,10.0,10.0,9.0,9.0,9.0,12.0,8.0,9.0,9.0,0.0,9.0,10.0,11.0,11.0,11.0,9.0,6.0,11.0,9.0,9.0,8.0,8.0,12.0,10.0,9.0,10.0,9.0,9.0,9.0,11.0,10.0,7.0,7.0,11.0,11.0,8.0,11.0,10.0,10.0,8.0
