,>ENST00000440227.1,>ENST00000423599.1,>ENST00000555418.1,>ENST00000603396.1,>ENST00000455449.1,>ENST00000429660.1,>ENST00000407768.1,>ENST00000421570.1,>ENST00000603762.1,>ENST00000593323.1,>ENST00000603614.1,>ENST00000425589.1,>ENST00000559320.1,>ENST00000514718.2,>ENST00000382965.2,>ENST00000412637.1,>ENST00000536820.1,>ENST00000359859.4,>ENST00000415381.1,>ENST00000412071.1,>ENST00000529316.1,>ENST00000556538.1,>ENST00000505987.1,>ENST00000481134.1,>ENST00000494341.2,>ENST00000434628.1,ENSG00000253019.1,>ENST00000528817.1
>ENST00000440227.1,0.0,10.0,12.0,7.0,9.0,9.0,11.0,9.0,8.0,9.0,9.0,9.0,8.0,11.0,7.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,10.0,14.0,11.0,8.0,9.0,9.0
>ENST00000423599.1,10.0,0.0,9.0,8.0,10.0,10.0,9.0,9.0,8.0,13.0,10.0,9.0,8.0,10.0,8.0,10.0,12.0,10.0,9.0,12.0,9.0,9.0,12.0,12.0,9.0,9.0,10.0,9.0
>ENST00000555418.1,12.0,9.0,0.0,9.0,8.0,10.0,7.0,7.0,9.0,10.0,9.0,9.0,8.0,10.0,7.0,7.0,12.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,8.0,7.0,7.0
>ENST00000603396.1,7.0,8.0,9.0,0.0,7.0,8.0,6.0,6.0,8.0,8.0,10.0,7.0,7.0,7.0,10.0,7.0,8.0,7.0,8.0,7.0,9.0,6.0,10.0,10.0,8.0,8.0,7.0,8.0
>ENST00000455449.1,9.0,10.0,8.0,7.0,0.0,9.0,9.0,8.0,8.0,10.0,11.0,10.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,15.0,10.0,8.0,10.0,12.0,9.0,9.0,9.0,7.0
>ENST00000429660.1,9.0,10.0,10.0,8.0,9.0,0.0,9.0,6.0,11.0,10.0,8.0,10.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,7.0,11.0,10.0,9.0,8.0,8.0,9.0
>ENST00000407768.1,11.0,9.0,7.0,6.0,9.0,9.0,0.0,7.0,9.0,8.0,8.0,10.0,7.0,7.0,6.0,7.0,8.0,8.0,7.0,9.0,9.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0
>ENST00000421570.1,9.0,9.0,7.0,6.0,8.0,6.0,7.0,0.0,7.0,10.0,9.0,7.0,6.0,11.0,9.0,8.0,10.0,8.0,9.0,9.0,8.0,7.0,9.0,8.0,8.0,8.0,6.0,7.0
>ENST00000603762.1,8.0,8.0,9.0,8.0,8.0,11.0,9.0,7.0,0.0,9.0,8.0,9.0,8.0,10.0,8.0,8.0,10.0,8.0,8.0,9.0,10.0,9.0,9.0,11.0,8.0,11.0,8.0,9.0
>ENST00000593323.1,9.0,13.0,10.0,8.0,10.0,10.0,8.0,10.0,9.0,0.0,10.0,12.0,9.0,10.0,10.0,10.0,11.0,11.0,11.0,9.0,9.0,11.0,12.0,10.0,10.0,10.0,9.0,8.0
>ENST00000603614.1,9.0,10.0,9.0,10.0,11.0,8.0,8.0,9.0,8.0,10.0,0.0,10.0,9.0,9.0,9.0,9.0,10.0,11.0,8.0,9.0,9.0,12.0,9.0,9.0,10.0,9.0,7.0,9.0
>ENST00000425589.1,9.0,9.0,9.0,7.0,10.0,10.0,10.0,7.0,9.0,12.0,10.0,0.0,9.0,9.0,7.0,10.0,10.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,8.0,10.0,9.0,8.0
>ENST00000559320.1,8.0,8.0,8.0,7.0,9.0,9.0,7.0,6.0,8.0,9.0,9.0,9.0,0.0,12.0,10.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,11.0,10.0,7.0,7.0,7.0,11.0
>ENST00000514718.2,11.0,10.0,10.0,7.0,8.0,8.0,7.0,11.0,10.0,10.0,9.0,9.0,12.0,0.0,7.0,10.0,10.0,8.0,8.0,9.0,9.0,8.0,10.0,12.0,9.0,8.0,9.0,8.0
>ENST00000382965.2,7.0,8.0,7.0,10.0,9.0,8.0,6.0,9.0,8.0,10.0,9.0,7.0,10.0,7.0,0.0,7.0,9.0,9.0,10.0,7.0,9.0,8.0,11.0,9.0,9.0,8.0,6.0,7.0
>ENST00000412637.1,9.0,10.0,7.0,7.0,9.0,9.0,7.0,8.0,8.0,10.0,9.0,10.0,8.0,10.0,7.0,0.0,10.0,9.0,7.0,10.0,8.0,9.0,9.0,9.0,9.0,6.0,8.0,10.0
>ENST00000536820.1,10.0,12.0,12.0,8.0,10.0,10.0,8.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,10.0,0.0,9.0,9.0,9.0,12.0,12.0,11.0,14.0,9.0,11.0,9.0,12.0
>ENST00000359859.4,9.0,10.0,8.0,7.0,9.0,9.0,8.0,8.0,8.0,11.0,11.0,10.0,9.0,8.0,9.0,9.0,9.0,0.0,9.0,8.0,10.0,8.0,9.0,12.0,8.0,9.0,9.0,7.0
>ENST00000415381.1,9.0,9.0,9.0,8.0,9.0,8.0,7.0,9.0,8.0,11.0,8.0,8.0,9.0,8.0,10.0,7.0,9.0,9.0,0.0,9.0,9.0,7.0,11.0,11.0,10.0,10.0,7.0,8.0
>ENST00000412071.1,10.0,12.0,9.0,7.0,15.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,7.0,10.0,9.0,8.0,9.0,0.0,9.0,7.0,10.0,12.0,10.0,8.0,8.0,8.0
>ENST00000529316.1,9.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,12.0,10.0,9.0,9.0,0.0,8.0,10.0,11.0,10.0,12.0,10.0,7.0
>ENST00000556538.1,8.0,9.0,9.0,6.0,8.0,7.0,7.0,7.0,9.0,11.0,12.0,9.0,9.0,8.0,8.0,9.0,12.0,8.0,7.0,7.0,8.0,0.0,10.0,9.0,8.0,7.0,7.0,7.0
>ENST00000505987.1,10.0,12.0,9.0,10.0,10.0,11.0,8.0,9.0,9.0,12.0,9.0,9.0,11.0,10.0,11.0,9.0,11.0,9.0,11.0,10.0,10.0,10.0,0.0,12.0,12.0,11.0,9.0,9.0
>ENST00000481134.1,14.0,12.0,10.0,10.0,12.0,10.0,8.0,8.0,11.0,10.0,9.0,10.0,10.0,12.0,9.0,9.0,14.0,12.0,11.0,12.0,11.0,9.0,12.0,0.0,9.0,10.0,10.0,9.0
>ENST00000494341.2,11.0,9.0,10.0,8.0,9.0,9.0,8.0,8.0,8.0,10.0,10.0,8.0,7.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,8.0,12.0,9.0,0.0,13.0,9.0,7.0
>ENST00000434628.1,8.0,9.0,8.0,8.0,9.0,8.0,7.0,8.0,11.0,10.0,9.0,10.0,7.0,8.0,8.0,6.0,11.0,9.0,10.0,8.0,12.0,7.0,11.0,10.0,13.0,0.0,11.0,8.0
ENSG00000253019.1,9.0,10.0,7.0,7.0,9.0,8.0,7.0,6.0,8.0,9.0,7.0,9.0,7.0,9.0,6.0,8.0,9.0,9.0,7.0,8.0,10.0,7.0,9.0,10.0,9.0,11.0,0.0,7.0
>ENST00000528817.1,9.0,9.0,7.0,8.0,7.0,9.0,7.0,7.0,9.0,8.0,9.0,8.0,11.0,8.0,7.0,10.0,12.0,7.0,8.0,8.0,7.0,7.0,9.0,9.0,7.0,8.0,7.0,0.0
