,>ENST00000448468.1,>ENST00000465668.5,>ENST00000478757.2,>ENST00000476891.1,>ENST00000485185.1,>ENST00000441658.1,>ENST00000523429.1,>ENST00000424862.2,>ENST00000443325.1,>ENST00000338590.8,>ENST00000430003.1,>ENST00000392696.2,>ENST00000450025.1,>ENST00000589764.1,>ENST00000437636.1,>ENST00000505953.1,>ENST00000446663.1,>ENST00000404701.1,>ENST00000571424.1,>ENST00000603368.1,ENSG00000222213.1,>ENST00000563335.1,>ENST00000425216.1,>ENST00000412741.1,ENSG00000120068.6,>ENST00000440562.1,ENSG00000241552.3,>ENST00000452821.1,>ENST00000503847.1,>ENST00000392253.2,>ENST00000447818.2,>ENST00000467232.1,>ENST00000446203.1,>ENST00000514850.1,>ENST00000441518.1,ENSG00000199574.1,>ENST00000435341.1,>ENST00000586015.1,>ENST00000442381.1,>ENST00000439784.5,>ENST00000533307.1,>ENST00000510543.1,>ENST00000615810.1,>ENST00000444423.2
>ENST00000448468.1,0.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,11.0,11.0,9.0,7.0,9.0,9.0,12.0,9.0,7.0,10.0,9.0,11.0,7.0,9.0,8.0,10.0,11.0,9.0,7.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,11.0,7.0,9.0,10.0,7.0,11.0,7.0,11.0,8.0,8.0
>ENST00000465668.5,10.0,0.0,8.0,9.0,9.0,12.0,10.0,11.0,11.0,11.0,10.0,9.0,9.0,9.0,11.0,12.0,11.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0,8.0,8.0,12.0,11.0,11.0,10.0,12.0,11.0,9.0,11.0,9.0,9.0,10.0,8.0,12.0,6.0,13.0,9.0,8.0
>ENST00000478757.2,9.0,8.0,0.0,14.0,10.0,9.0,11.0,10.0,10.0,9.0,12.0,10.0,9.0,11.0,8.0,11.0,9.0,9.0,9.0,8.0,7.0,10.0,8.0,10.0,11.0,10.0,13.0,10.0,8.0,11.0,11.0,9.0,11.0,11.0,9.0,7.0,10.0,10.0,8.0,12.0,6.0,11.0,10.0,9.0
>ENST00000476891.1,10.0,9.0,14.0,0.0,10.0,8.0,12.0,10.0,11.0,10.0,9.0,11.0,9.0,10.0,8.0,11.0,14.0,11.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,12.0,10.0,9.0,11.0,13.0,10.0,8.0,10.0,9.0,9.0,12.0,8.0,11.0,9.0,11.0
>ENST00000485185.1,9.0,9.0,10.0,10.0,0.0,8.0,9.0,9.0,11.0,9.0,11.0,10.0,9.0,10.0,10.0,13.0,9.0,11.0,10.0,11.0,8.0,10.0,11.0,8.0,11.0,9.0,12.0,9.0,7.0,10.0,11.0,9.0,11.0,9.0,10.0,8.0,10.0,10.0,9.0,10.0,9.0,11.0,9.0,8.0
>ENST00000441658.1,9.0,12.0,9.0,8.0,8.0,0.0,9.0,8.0,10.0,9.0,8.0,7.0,13.0,9.0,10.0,9.0,8.0,10.0,8.0,7.0,6.0,9.0,9.0,8.0,9.0,9.0,8.0,10.0,8.0,10.0,12.0,53.0,8.0,8.0,10.0,8.0,9.0,8.0,8.0,10.0,8.0,9.0,8.0,11.0
>ENST00000523429.1,9.0,10.0,11.0,12.0,9.0,9.0,0.0,11.0,10.0,9.0,10.0,10.0,9.0,14.0,11.0,9.0,8.0,10.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,8.0,8.0,9.0,9.0,10.0,11.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,12.0,7.0,11.0,10.0,9.0
>ENST00000424862.2,8.0,11.0,10.0,10.0,9.0,8.0,11.0,0.0,11.0,10.0,10.0,8.0,9.0,9.0,9.0,12.0,8.0,10.0,9.0,11.0,8.0,8.0,8.0,10.0,9.0,7.0,9.0,8.0,8.0,10.0,11.0,8.0,9.0,9.0,10.0,7.0,9.0,8.0,9.0,12.0,6.0,10.0,9.0,11.0
>ENST00000443325.1,11.0,11.0,10.0,11.0,11.0,10.0,10.0,11.0,0.0,14.0,11.0,10.0,10.0,11.0,11.0,11.0,12.0,14.0,9.0,10.0,9.0,9.0,10.0,12.0,14.0,12.0,10.0,10.0,11.0,11.0,14.0,11.0,11.0,10.0,10.0,8.0,10.0,13.0,10.0,12.0,8.0,11.0,11.0,10.0
>ENST00000338590.8,11.0,11.0,9.0,10.0,9.0,9.0,9.0,10.0,14.0,0.0,10.0,9.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,11.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,10.0,10.0,9.0,7.0,10.0,8.0,8.0,14.0,7.0,10.0,11.0,10.0
>ENST00000430003.1,9.0,10.0,12.0,9.0,11.0,8.0,10.0,10.0,11.0,10.0,0.0,9.0,10.0,10.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,9.0,13.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,11.0,9.0,11.0,13.0,10.0,8.0,10.0,10.0,10.0,13.0,12.0,11.0,11.0,10.0
>ENST00000392696.2,7.0,9.0,10.0,11.0,10.0,7.0,10.0,8.0,10.0,9.0,9.0,0.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,12.0,8.0,9.0,10.0,8.0,11.0,11.0,9.0,8.0,13.0,9.0,8.0,9.0,9.0,8.0,11.0,6.0,10.0,9.0,9.0
>ENST00000450025.1,9.0,9.0,9.0,9.0,9.0,13.0,9.0,9.0,10.0,9.0,10.0,9.0,0.0,9.0,10.0,10.0,9.0,9.0,10.0,7.0,8.0,8.0,10.0,10.0,10.0,8.0,9.0,8.0,8.0,12.0,9.0,10.0,10.0,10.0,9.0,8.0,8.0,9.0,7.0,11.0,6.0,10.0,11.0,9.0
>ENST00000589764.1,9.0,9.0,11.0,10.0,10.0,9.0,14.0,9.0,11.0,11.0,10.0,9.0,9.0,0.0,9.0,11.0,10.0,10.0,10.0,10.0,7.0,9.0,9.0,12.0,11.0,9.0,9.0,10.0,8.0,12.0,11.0,9.0,10.0,8.0,9.0,7.0,9.0,8.0,9.0,14.0,7.0,13.0,8.0,10.0
>ENST00000437636.1,12.0,11.0,8.0,8.0,10.0,10.0,11.0,9.0,11.0,10.0,9.0,10.0,10.0,9.0,0.0,11.0,10.0,10.0,10.0,10.0,7.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,8.0,11.0,12.0,10.0,9.0,8.0,9.0,7.0,10.0,8.0,9.0,11.0,7.0,11.0,9.0,9.0
