,ENSG00000281698.1,ENSG00000278648.1,ENSG00000006377.10,ENSG00000241939.3,ENSG00000221003.1,ENSG00000113211.5,ENSG00000202103.1,ENSG00000207097.1,ENSG00000137285.9,ENSG00000244610.3,ENSG00000184697.6,ENSG00000207629.1,ENSG00000169605.5,ENSG00000252333.1,ENSG00000213996.12,ENSG00000197125.2,ENSG00000201766.1
ENSG00000281698.1,0.0,7.0,10.0,17.0,8.0,10.0,7.0,9.0,10.0,14.0,29.0,8.0,11.0,8.0,49.0,8.0,7.0
ENSG00000278648.1,7.0,0.0,8.0,7.0,6.0,9.0,6.0,8.0,11.0,7.0,9.0,6.0,9.0,7.0,12.0,9.0,6.0
ENSG00000006377.10,10.0,8.0,0.0,10.0,9.0,13.0,13.0,9.0,18.0,9.0,15.0,9.0,17.0,9.0,23.0,14.0,9.0
ENSG00000241939.3,17.0,7.0,10.0,0.0,6.0,9.0,6.0,6.0,11.0,20.0,27.0,7.0,12.0,6.0,27.0,9.0,7.0
ENSG00000221003.1,8.0,6.0,9.0,6.0,0.0,8.0,9.0,5.0,11.0,6.0,10.0,6.0,10.0,6.0,10.0,8.0,6.0
ENSG00000113211.5,10.0,9.0,13.0,9.0,8.0,0.0,9.0,9.0,13.0,10.0,12.0,8.0,13.0,9.0,13.0,10.0,9.0
ENSG00000202103.1,7.0,6.0,13.0,6.0,9.0,9.0,0.0,6.0,11.0,8.0,9.0,6.0,10.0,8.0,10.0,8.0,6.0
ENSG00000207097.1,9.0,8.0,9.0,6.0,5.0,9.0,6.0,0.0,9.0,6.0,11.0,6.0,10.0,9.0,10.0,9.0,5.0
ENSG00000137285.9,10.0,11.0,18.0,11.0,11.0,13.0,11.0,9.0,0.0,10.0,16.0,10.0,14.0,10.0,21.0,16.0,9.0
ENSG00000244610.3,14.0,7.0,9.0,20.0,6.0,10.0,8.0,6.0,10.0,0.0,20.0,7.0,10.0,6.0,26.0,8.0,8.0
ENSG00000184697.6,29.0,9.0,15.0,27.0,10.0,12.0,9.0,11.0,16.0,20.0,0.0,8.0,13.0,10.0,119.0,12.0,9.0
ENSG00000207629.1,8.0,6.0,9.0,7.0,6.0,8.0,6.0,6.0,10.0,7.0,8.0,0.0,11.0,6.0,9.0,8.0,6.0
ENSG00000169605.5,11.0,9.0,17.0,12.0,10.0,13.0,10.0,10.0,14.0,10.0,13.0,11.0,0.0,12.0,39.0,12.0,8.0
ENSG00000252333.1,8.0,7.0,9.0,6.0,6.0,9.0,8.0,9.0,10.0,6.0,10.0,6.0,12.0,0.0,10.0,9.0,6.0
ENSG00000213996.12,49.0,12.0,23.0,27.0,10.0,13.0,10.0,10.0,21.0,26.0,119.0,9.0,39.0,10.0,0.0,13.0,9.0
ENSG00000197125.2,8.0,9.0,14.0,9.0,8.0,10.0,8.0,9.0,16.0,8.0,12.0,8.0,12.0,9.0,13.0,0.0,8.0
ENSG00000201766.1,7.0,6.0,9.0,7.0,6.0,9.0,6.0,5.0,9.0,8.0,9.0,6.0,8.0,6.0,9.0,8.0,0.0
