,ENSG00000199705.1,>ENST00000434920.1,>ENST00000475906.1,>ENST00000441651.2,>ENST00000447996.2,>ENST00000420021.2,>ENST00000528178.1,>ENST00000454614.1,>ENST00000502859.1,>ENST00000428659.1,>ENST00000424716.1,>ENST00000439586.1,>ENST00000605519.1,>ENST00000552852.1,>ENST00000604280.1,>ENST00000402732.2,>ENST00000564581.1,>ENST00000430032.3,>ENST00000598383.1,>ENST00000440184.1
ENSG00000199705.1,0.0,6.0,7.0,8.0,7.0,9.0,9.0,8.0,9.0,8.0,9.0,7.0,7.0,8.0,8.0,8.0,10.0,9.0,5.0,7.0
>ENST00000434920.1,6.0,0.0,6.0,7.0,8.0,9.0,6.0,7.0,10.0,6.0,11.0,9.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0
>ENST00000475906.1,7.0,6.0,0.0,9.0,10.0,11.0,7.0,9.0,10.0,10.0,8.0,11.0,8.0,9.0,9.0,11.0,9.0,8.0,8.0,9.0
>ENST00000441651.2,8.0,7.0,9.0,0.0,13.0,12.0,8.0,10.0,10.0,10.0,10.0,11.0,9.0,9.0,15.0,10.0,13.0,8.0,9.0,9.0
>ENST00000447996.2,7.0,8.0,10.0,13.0,0.0,12.0,9.0,10.0,12.0,9.0,9.0,11.0,9.0,10.0,11.0,12.0,11.0,9.0,10.0,11.0
>ENST00000420021.2,9.0,9.0,11.0,12.0,12.0,0.0,9.0,13.0,12.0,9.0,11.0,13.0,9.0,10.0,10.0,12.0,10.0,9.0,10.0,14.0
>ENST00000528178.1,9.0,6.0,7.0,8.0,9.0,9.0,0.0,6.0,8.0,7.0,10.0,9.0,8.0,6.0,8.0,8.0,9.0,8.0,7.0,7.0
>ENST00000454614.1,8.0,7.0,9.0,10.0,10.0,13.0,6.0,0.0,10.0,10.0,13.0,10.0,9.0,9.0,10.0,11.0,10.0,9.0,9.0,10.0
>ENST00000502859.1,9.0,10.0,10.0,10.0,12.0,12.0,8.0,10.0,0.0,10.0,10.0,15.0,11.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0
>ENST00000428659.1,8.0,6.0,10.0,10.0,9.0,9.0,7.0,10.0,10.0,0.0,12.0,9.0,8.0,9.0,8.0,10.0,9.0,7.0,8.0,8.0
>ENST00000424716.1,9.0,11.0,8.0,10.0,9.0,11.0,10.0,13.0,10.0,12.0,0.0,10.0,11.0,11.0,9.0,9.0,10.0,10.0,12.0,8.0
>ENST00000439586.1,7.0,9.0,11.0,11.0,11.0,13.0,9.0,10.0,15.0,9.0,10.0,0.0,11.0,10.0,9.0,12.0,9.0,9.0,9.0,9.0
>ENST00000605519.1,7.0,7.0,8.0,9.0,9.0,9.0,8.0,9.0,11.0,8.0,11.0,11.0,0.0,8.0,8.0,11.0,8.0,8.0,11.0,8.0
>ENST00000552852.1,8.0,7.0,9.0,9.0,10.0,10.0,6.0,9.0,9.0,9.0,11.0,10.0,8.0,0.0,9.0,9.0,8.0,8.0,9.0,11.0
>ENST00000604280.1,8.0,8.0,9.0,15.0,11.0,10.0,8.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,0.0,11.0,10.0,9.0,9.0,8.0
>ENST00000402732.2,8.0,8.0,11.0,10.0,12.0,12.0,8.0,11.0,10.0,10.0,9.0,12.0,11.0,9.0,11.0,0.0,10.0,8.0,9.0,9.0
>ENST00000564581.1,10.0,8.0,9.0,13.0,11.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,8.0,8.0,10.0,10.0,0.0,7.0,8.0,9.0
>ENST00000430032.3,9.0,7.0,8.0,8.0,9.0,9.0,8.0,9.0,10.0,7.0,10.0,9.0,8.0,8.0,9.0,8.0,7.0,0.0,8.0,9.0
>ENST00000598383.1,5.0,7.0,8.0,9.0,10.0,10.0,7.0,9.0,10.0,8.0,12.0,9.0,11.0,9.0,9.0,9.0,8.0,8.0,0.0,8.0
>ENST00000440184.1,7.0,7.0,9.0,9.0,11.0,14.0,7.0,10.0,10.0,8.0,8.0,9.0,8.0,11.0,8.0,9.0,9.0,9.0,8.0,0.0
