,>ENST00000438081.1,>ENST00000458289.2,>ENST00000533055.1,>ENST00000450741.1,>ENST00000413490.1,>ENST00000442033.1,>ENST00000454707.2,>ENST00000457394.1,>ENST00000463158.1,>ENST00000618587.1,>ENST00000621360.1,>ENST00000519620.1,>ENST00000451079.1,>ENST00000412200.1,>ENST00000526563.2,>ENST00000433048.1,>ENST00000405234.1,>ENST00000453537.2,>ENST00000445713.1,>ENST00000436164.1,ENSG00000200953.1,>ENST00000514223.2,>ENST00000403365.1,>ENST00000503772.1
>ENST00000438081.1,0.0,11.0,9.0,12.0,11.0,8.0,10.0,8.0,12.0,8.0,9.0,14.0,8.0,9.0,8.0,9.0,10.0,8.0,10.0,9.0,7.0,8.0,12.0,9.0
>ENST00000458289.2,11.0,0.0,10.0,10.0,9.0,9.0,12.0,11.0,9.0,9.0,12.0,9.0,10.0,11.0,10.0,11.0,11.0,10.0,11.0,11.0,9.0,11.0,10.0,11.0
>ENST00000533055.1,9.0,10.0,0.0,9.0,8.0,9.0,12.0,9.0,10.0,7.0,7.0,10.0,8.0,9.0,8.0,10.0,10.0,9.0,10.0,8.0,12.0,11.0,8.0,10.0
>ENST00000450741.1,12.0,10.0,9.0,0.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,8.0,11.0,9.0,9.0,8.0
>ENST00000413490.1,11.0,9.0,8.0,10.0,0.0,8.0,11.0,9.0,9.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,7.0,9.0,8.0
>ENST00000442033.1,8.0,9.0,9.0,8.0,8.0,0.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0,11.0,9.0,9.0,11.0,8.0,9.0,8.0,7.0,7.0,9.0,8.0
>ENST00000454707.2,10.0,12.0,12.0,9.0,11.0,10.0,0.0,9.0,10.0,9.0,11.0,9.0,12.0,11.0,9.0,10.0,10.0,8.0,10.0,12.0,9.0,9.0,12.0,10.0
>ENST00000457394.1,8.0,11.0,9.0,10.0,9.0,9.0,9.0,0.0,9.0,9.0,10.0,10.0,9.0,9.0,7.0,9.0,9.0,8.0,10.0,12.0,7.0,10.0,9.0,9.0
>ENST00000463158.1,12.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,0.0,10.0,12.0,8.0,10.0,9.0,9.0,10.0,10.0,11.0,9.0,9.0,8.0,8.0,10.0,9.0
>ENST00000618587.1,8.0,9.0,7.0,9.0,8.0,9.0,9.0,9.0,10.0,0.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,8.0,10.0,8.0,7.0,9.0,9.0,8.0
>ENST00000621360.1,9.0,12.0,7.0,9.0,9.0,8.0,11.0,10.0,12.0,9.0,0.0,10.0,11.0,10.0,8.0,9.0,9.0,7.0,9.0,9.0,6.0,7.0,9.0,9.0
>ENST00000519620.1,14.0,9.0,10.0,9.0,8.0,8.0,9.0,10.0,8.0,10.0,10.0,0.0,9.0,9.0,9.0,9.0,9.0,7.0,11.0,19.0,10.0,8.0,8.0,8.0
>ENST00000451079.1,8.0,10.0,8.0,9.0,10.0,8.0,12.0,9.0,10.0,8.0,11.0,9.0,0.0,9.0,9.0,12.0,11.0,7.0,9.0,9.0,8.0,8.0,11.0,8.0
>ENST00000412200.1,9.0,11.0,9.0,9.0,9.0,11.0,11.0,9.0,9.0,8.0,10.0,9.0,9.0,0.0,9.0,11.0,11.0,9.0,9.0,12.0,7.0,8.0,10.0,11.0
>ENST00000526563.2,8.0,10.0,8.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,8.0,9.0,9.0,9.0,0.0,14.0,10.0,9.0,9.0,10.0,8.0,8.0,8.0,8.0
>ENST00000433048.1,9.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,12.0,11.0,14.0,0.0,10.0,10.0,11.0,9.0,7.0,9.0,9.0,11.0
>ENST00000405234.1,10.0,11.0,10.0,10.0,9.0,11.0,10.0,9.0,10.0,8.0,9.0,9.0,11.0,11.0,10.0,10.0,0.0,9.0,11.0,12.0,7.0,10.0,11.0,9.0
>ENST00000453537.2,8.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,11.0,8.0,7.0,7.0,7.0,9.0,9.0,10.0,9.0,0.0,8.0,8.0,7.0,9.0,12.0,8.0
>ENST00000445713.1,10.0,11.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,11.0,9.0,9.0,9.0,11.0,11.0,8.0,0.0,9.0,9.0,9.0,10.0,8.0
>ENST00000436164.1,9.0,11.0,8.0,8.0,8.0,8.0,12.0,12.0,9.0,8.0,9.0,19.0,9.0,12.0,10.0,9.0,12.0,8.0,9.0,0.0,8.0,9.0,9.0,9.0
ENSG00000200953.1,7.0,9.0,12.0,11.0,8.0,7.0,9.0,7.0,8.0,7.0,6.0,10.0,8.0,7.0,8.0,7.0,7.0,7.0,9.0,8.0,0.0,6.0,7.0,8.0
>ENST00000514223.2,8.0,11.0,11.0,9.0,7.0,7.0,9.0,10.0,8.0,9.0,7.0,8.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,6.0,0.0,8.0,8.0
>ENST00000403365.1,12.0,10.0,8.0,9.0,9.0,9.0,12.0,9.0,10.0,9.0,9.0,8.0,11.0,10.0,8.0,9.0,11.0,12.0,10.0,9.0,7.0,8.0,0.0,9.0
>ENST00000503772.1,9.0,11.0,10.0,8.0,8.0,8.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,11.0,8.0,11.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,0.0
