,>ENST00000426224.2,>ENST00000580510.1,ENSG00000161849.3,>ENST00000416656.1,>ENST00000413520.1,>ENST00000517978.1,>ENST00000604758.1,>ENST00000427142.1,>ENST00000444048.1,>ENST00000413824.2,>ENST00000421694.1,>ENST00000419392.1,>ENST00000604264.2,>ENST00000502784.2,>ENST00000402896.2,>ENST00000451806.1,>ENST00000472498.2,>ENST00000468432.1,>ENST00000435536.5,ENSG00000221230.1,ENSG00000213578.5
>ENST00000426224.2,0.0,9.0,12.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,8.0,8.0,9.0,8.0,11.0,6.0,12.0
>ENST00000580510.1,9.0,0.0,10.0,8.0,8.0,8.0,10.0,9.0,7.0,9.0,10.0,9.0,9.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0
ENSG00000161849.3,12.0,10.0,0.0,11.0,12.0,14.0,10.0,14.0,12.0,9.0,10.0,10.0,13.0,11.0,11.0,10.0,11.0,11.0,12.0,8.0,13.0
>ENST00000416656.1,9.0,8.0,11.0,0.0,9.0,11.0,8.0,10.0,11.0,8.0,11.0,11.0,11.0,10.0,8.0,8.0,10.0,9.0,9.0,6.0,11.0
>ENST00000413520.1,9.0,8.0,12.0,9.0,0.0,9.0,10.0,8.0,11.0,9.0,9.0,8.0,12.0,10.0,12.0,8.0,12.0,10.0,8.0,6.0,13.0
>ENST00000517978.1,8.0,8.0,14.0,11.0,9.0,0.0,9.0,10.0,9.0,8.0,8.0,9.0,9.0,11.0,10.0,9.0,9.0,12.0,10.0,8.0,11.0
>ENST00000604758.1,8.0,10.0,10.0,8.0,10.0,9.0,0.0,8.0,8.0,10.0,11.0,9.0,12.0,9.0,9.0,8.0,9.0,10.0,10.0,7.0,10.0
>ENST00000427142.1,9.0,9.0,14.0,10.0,8.0,10.0,8.0,0.0,9.0,9.0,11.0,9.0,9.0,10.0,12.0,8.0,10.0,11.0,11.0,7.0,10.0
>ENST00000444048.1,9.0,7.0,12.0,11.0,11.0,9.0,8.0,9.0,0.0,9.0,8.0,9.0,10.0,8.0,9.0,12.0,10.0,9.0,14.0,8.0,10.0
>ENST00000413824.2,8.0,9.0,9.0,8.0,9.0,8.0,10.0,9.0,9.0,0.0,7.0,8.0,9.0,10.0,7.0,8.0,7.0,8.0,10.0,7.0,11.0
>ENST00000421694.1,10.0,10.0,10.0,11.0,9.0,8.0,11.0,11.0,8.0,7.0,0.0,8.0,11.0,9.0,9.0,9.0,11.0,11.0,11.0,11.0,12.0
>ENST00000419392.1,9.0,9.0,10.0,11.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,0.0,11.0,10.0,9.0,10.0,8.0,8.0,10.0,9.0,11.0
>ENST00000604264.2,10.0,9.0,13.0,11.0,12.0,9.0,12.0,9.0,10.0,9.0,11.0,11.0,0.0,11.0,10.0,8.0,9.0,10.0,11.0,7.0,11.0
>ENST00000502784.2,10.0,11.0,11.0,10.0,10.0,11.0,9.0,10.0,8.0,10.0,9.0,10.0,11.0,0.0,9.0,8.0,9.0,10.0,11.0,9.0,12.0
>ENST00000402896.2,8.0,9.0,11.0,8.0,12.0,10.0,9.0,12.0,9.0,7.0,9.0,9.0,10.0,9.0,0.0,8.0,9.0,9.0,10.0,9.0,12.0
>ENST00000451806.1,8.0,9.0,10.0,8.0,8.0,9.0,8.0,8.0,12.0,8.0,9.0,10.0,8.0,8.0,8.0,0.0,9.0,10.0,8.0,6.0,9.0
>ENST00000472498.2,9.0,8.0,11.0,10.0,12.0,9.0,9.0,10.0,10.0,7.0,11.0,8.0,9.0,9.0,9.0,9.0,0.0,9.0,10.0,8.0,11.0
>ENST00000468432.1,8.0,9.0,11.0,9.0,10.0,12.0,10.0,11.0,9.0,8.0,11.0,8.0,10.0,10.0,9.0,10.0,9.0,0.0,10.0,9.0,11.0
>ENST00000435536.5,11.0,9.0,12.0,9.0,8.0,10.0,10.0,11.0,14.0,10.0,11.0,10.0,11.0,11.0,10.0,8.0,10.0,10.0,0.0,9.0,11.0
ENSG00000221230.1,6.0,9.0,8.0,6.0,6.0,8.0,7.0,7.0,8.0,7.0,11.0,9.0,7.0,9.0,9.0,6.0,8.0,9.0,9.0,0.0,8.0
ENSG00000213578.5,12.0,10.0,13.0,11.0,13.0,11.0,10.0,10.0,10.0,11.0,12.0,11.0,11.0,12.0,12.0,9.0,11.0,11.0,11.0,8.0,0.0
