,>ENST00000612320.1,ENSG00000221357.1,>ENST00000437537.1,>ENST00000437925.1,>ENST00000589942.1,ENSG00000205279.8,>ENST00000535082.1,>ENST00000605856.1,>ENST00000604721.1,>ENST00000424609.1,>ENST00000394842.2,>ENST00000405796.1,>ENST00000571473.2,>ENST00000420490.1,>ENST00000425922.1,>ENST00000512159.1,>ENST00000519345.1,>ENST00000579660.1,>ENST00000418578.1,>ENST00000619102.1
>ENST00000612320.1,0.0,8.0,10.0,10.0,9.0,11.0,12.0,10.0,9.0,11.0,10.0,10.0,13.0,11.0,10.0,10.0,8.0,8.0,10.0,8.0
ENSG00000221357.1,8.0,0.0,8.0,7.0,9.0,10.0,7.0,10.0,9.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,6.0
>ENST00000437537.1,10.0,8.0,0.0,10.0,9.0,11.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,8.0,9.0,11.0,8.0,8.0,8.0,7.0
>ENST00000437925.1,10.0,7.0,10.0,0.0,9.0,12.0,9.0,9.0,10.0,12.0,10.0,10.0,10.0,11.0,11.0,10.0,12.0,8.0,11.0,8.0
>ENST00000589942.1,9.0,9.0,9.0,9.0,0.0,12.0,9.0,8.0,8.0,9.0,9.0,11.0,8.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0
ENSG00000205279.8,11.0,10.0,11.0,12.0,12.0,0.0,11.0,11.0,14.0,11.0,11.0,12.0,11.0,13.0,11.0,16.0,10.0,11.0,11.0,10.0
>ENST00000535082.1,12.0,7.0,10.0,9.0,9.0,11.0,0.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,11.0,10.0,10.0
>ENST00000605856.1,10.0,10.0,10.0,9.0,8.0,11.0,9.0,0.0,10.0,9.0,8.0,9.0,10.0,8.0,10.0,10.0,8.0,9.0,9.0,8.0
>ENST00000604721.1,9.0,9.0,10.0,10.0,8.0,14.0,10.0,10.0,0.0,9.0,8.0,10.0,10.0,10.0,11.0,13.0,9.0,9.0,12.0,8.0
>ENST00000424609.1,11.0,7.0,8.0,12.0,9.0,11.0,9.0,9.0,9.0,0.0,10.0,12.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
>ENST00000394842.2,10.0,7.0,9.0,10.0,9.0,11.0,10.0,8.0,8.0,10.0,0.0,10.0,8.0,9.0,10.0,12.0,8.0,8.0,8.0,11.0
>ENST00000405796.1,10.0,7.0,10.0,10.0,11.0,12.0,10.0,9.0,10.0,12.0,10.0,0.0,10.0,9.0,11.0,10.0,10.0,9.0,10.0,10.0
>ENST00000571473.2,13.0,8.0,10.0,10.0,8.0,11.0,10.0,10.0,10.0,10.0,8.0,10.0,0.0,11.0,10.0,10.0,8.0,10.0,11.0,7.0
>ENST00000420490.1,11.0,8.0,8.0,11.0,11.0,13.0,10.0,8.0,10.0,9.0,9.0,9.0,11.0,0.0,9.0,10.0,10.0,9.0,11.0,8.0
>ENST00000425922.1,10.0,8.0,9.0,11.0,10.0,11.0,10.0,10.0,11.0,9.0,10.0,11.0,10.0,9.0,0.0,12.0,11.0,11.0,8.0,8.0
>ENST00000512159.1,10.0,8.0,11.0,10.0,10.0,16.0,10.0,10.0,13.0,9.0,12.0,10.0,10.0,10.0,12.0,0.0,10.0,9.0,12.0,9.0
>ENST00000519345.1,8.0,8.0,8.0,12.0,10.0,10.0,8.0,8.0,9.0,9.0,8.0,10.0,8.0,10.0,11.0,10.0,0.0,7.0,8.0,9.0
>ENST00000579660.1,8.0,7.0,8.0,8.0,10.0,11.0,11.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,11.0,9.0,7.0,0.0,9.0,7.0
>ENST00000418578.1,10.0,7.0,8.0,11.0,10.0,11.0,10.0,9.0,12.0,9.0,8.0,10.0,11.0,11.0,8.0,12.0,8.0,9.0,0.0,6.0
>ENST00000619102.1,8.0,6.0,7.0,8.0,9.0,10.0,10.0,8.0,8.0,9.0,11.0,10.0,7.0,8.0,8.0,9.0,9.0,7.0,6.0,0.0
