,>ENST00000433816.1,>ENST00000562369.1,>ENST00000466005.2,>ENST00000518968.1,>ENST00000418851.1,>ENST00000445492.1,>ENST00000426703.1,>ENST00000494882.1,>ENST00000393397.2,>ENST00000422443.2,>ENST00000512757.1,>ENST00000493762.1,>ENST00000458202.1,>ENST00000456245.1,>ENST00000448626.1,>ENST00000428215.2,>ENST00000514785.1,>ENST00000523014.1,>ENST00000604432.1,>ENST00000430287.1,>ENST00000604107.1,>ENST00000422120.1,>ENST00000507583.1,>ENST00000502249.6,>ENST00000456086.1,>ENST00000580106.1,>ENST00000605671.1,>ENST00000572715.1,>ENST00000515476.1,>ENST00000553339.1,>ENST00000432623.1,>ENST00000522241.2,>ENST00000546014.1,>ENST00000524809.1,>ENST00000435623.1,>ENST00000437011.1,>ENST00000405071.1,>ENST00000451959.1,>ENST00000554632.2,>ENST00000507441.1,>ENST00000509174.1,>ENST00000604639.1,>ENST00000438353.1,>ENST00000520029.1
>ENST00000433816.1,0.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,11.0,11.0,10.0,10.0,13.0,9.0,12.0,12.0,11.0,8.0,9.0,10.0,9.0,11.0,8.0,13.0,8.0,14.0,8.0,10.0,9.0,10.0,9.0,9.0,12.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,9.0,10.0,11.0,9.0
>ENST00000562369.1,10.0,0.0,10.0,13.0,10.0,9.0,9.0,9.0,11.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,12.0,10.0,11.0,10.0,10.0,11.0,9.0,12.0,14.0,10.0,9.0,10.0,11.0,8.0,10.0,9.0,10.0,9.0,13.0,11.0,9.0
>ENST00000466005.2,10.0,10.0,0.0,9.0,9.0,9.0,9.0,10.0,10.0,12.0,11.0,9.0,11.0,10.0,8.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,11.0,11.0,9.0,9.0,8.0,10.0,11.0,13.0,12.0,9.0,9.0,10.0,8.0,12.0,7.0,9.0,11.0,11.0,11.0,10.0,11.0,8.0
>ENST00000518968.1,9.0,13.0,9.0,0.0,8.0,9.0,11.0,10.0,10.0,10.0,9.0,13.0,10.0,9.0,10.0,9.0,10.0,8.0,10.0,9.0,11.0,9.0,10.0,11.0,9.0,9.0,9.0,9.0,11.0,12.0,11.0,8.0,9.0,11.0,9.0,11.0,9.0,10.0,9.0,9.0,8.0,10.0,13.0,10.0
>ENST00000418851.1,9.0,10.0,9.0,8.0,0.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,9.0,11.0,8.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,13.0,9.0,9.0,10.0,8.0
>ENST00000445492.1,9.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,11.0,9.0,10.0,11.0,9.0,12.0,9.0,10.0,7.0,10.0,9.0,8.0,10.0,7.0,11.0,8.0,9.0,9.0,9.0,8.0,11.0,10.0,8.0,9.0,12.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,8.0,9.0,10.0
>ENST00000426703.1,10.0,9.0,9.0,11.0,8.0,9.0,0.0,9.0,9.0,10.0,12.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0,11.0,9.0,12.0,9.0,9.0,12.0,9.0,9.0,8.0,9.0,9.0,11.0,10.0,12.0,9.0,10.0,10.0,8.0,7.0,10.0,9.0,10.0,8.0,10.0,10.0,9.0
>ENST00000494882.1,8.0,9.0,10.0,10.0,10.0,9.0,9.0,0.0,9.0,9.0,9.0,12.0,11.0,9.0,9.0,10.0,10.0,81.0,9.0,10.0,8.0,9.0,9.0,12.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,7.0,9.0,7.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0
>ENST00000393397.2,11.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,0.0,11.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,8.0,11.0,9.0,10.0,9.0,8.0,13.0,9.0,12.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,11.0,10.0,10.0,11.0,9.0,11.0,11.0
>ENST00000422443.2,11.0,9.0,12.0,10.0,9.0,11.0,10.0,9.0,11.0,0.0,10.0,10.0,11.0,8.0,9.0,10.0,11.0,9.0,10.0,11.0,12.0,10.0,7.0,12.0,10.0,9.0,8.0,11.0,9.0,10.0,12.0,10.0,10.0,9.0,10.0,10.0,9.0,14.0,10.0,10.0,10.0,12.0,11.0,10.0
>ENST00000512757.1,10.0,10.0,11.0,9.0,8.0,9.0,12.0,9.0,9.0,10.0,0.0,9.0,10.0,11.0,8.0,11.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,11.0,9.0,12.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,12.0,8.0,8.0,8.0,12.0,12.0,10.0,10.0,9.0,9.0
