,>ENST00000619797.1,>ENST00000493696.2,>ENST00000449922.1,>ENST00000490750.1,>ENST00000441664.1,>ENST00000445207.1,>ENST00000430315.2,>ENST00000604554.1,>ENST00000449328.1,>ENST00000417593.1,>ENST00000603159.1,>ENST00000488305.1,>ENST00000619728.1,>ENST00000544535.1,>ENST00000425640.1,>ENST00000521552.1,>ENST00000451333.1,>ENST00000415152.1,>ENST00000419316.1,>ENST00000445629.1,>ENST00000456871.1,ENSG00000200298.1,>ENST00000481802.1,ENSG00000100197.20,>ENST00000547971.1,>ENST00000613014.1,>ENST00000412037.2,>ENST00000559378.4,>ENST00000436677.1,>ENST00000447254.2,>ENST00000559111.1,>ENST00000635481.1,>ENST00000479477.2,>ENST00000508893.2,>ENST00000568304.1,>ENST00000472460.1,>ENST00000427757.1,>ENST00000509651.1,>ENST00000578842.1,>ENST00000513330.1,>ENST00000428909.1,>ENST00000454879.1,>ENST00000460864.4,>ENST00000416876.1,>ENST00000439143.1,ENSG00000207454.1,>ENST00000393804.2,>ENST00000414224.1,>ENST00000481157.1,>ENST00000368895.2,>ENST00000526345.1,>ENST00000549459.1,>ENST00000631952.1,>ENST00000491837.1
>ENST00000619797.1,0.0,9.0,9.0,10.0,6.0,9.0,10.0,9.0,9.0,8.0,7.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,11.0,11.0,9.0,11.0,9.0,7.0,8.0,9.0,10.0,9.0,9.0,12.0,8.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,11.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0
>ENST00000493696.2,9.0,0.0,10.0,14.0,9.0,13.0,10.0,11.0,11.0,12.0,11.0,10.0,9.0,11.0,13.0,11.0,11.0,12.0,10.0,9.0,10.0,10.0,12.0,11.0,12.0,10.0,10.0,9.0,11.0,13.0,11.0,11.0,10.0,11.0,12.0,10.0,11.0,10.0,11.0,11.0,13.0,10.0,11.0,9.0,11.0,9.0,10.0,10.0,11.0,10.0,10.0,8.0,9.0,11.0
>ENST00000449922.1,9.0,10.0,0.0,9.0,8.0,9.0,9.0,8.0,11.0,9.0,9.0,10.0,7.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,9.0,7.0,10.0,12.0,8.0,8.0,10.0,8.0,7.0,9.0,12.0,13.0,10.0,9.0,7.0,10.0,10.0,12.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,7.0,10.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0
>ENST00000490750.1,10.0,14.0,9.0,0.0,11.0,11.0,9.0,12.0,10.0,9.0,9.0,9.0,9.0,11.0,11.0,9.0,9.0,11.0,9.0,9.0,11.0,8.0,9.0,13.0,11.0,9.0,10.0,8.0,9.0,12.0,11.0,9.0,10.0,10.0,10.0,10.0,13.0,11.0,10.0,10.0,11.0,10.0,10.0,9.0,8.0,8.0,9.0,10.0,11.0,10.0,8.0,8.0,10.0,9.0
>ENST00000441664.1,6.0,9.0,8.0,11.0,0.0,10.0,8.0,8.0,8.0,6.0,8.0,9.0,5.0,8.0,8.0,7.0,10.0,9.0,8.0,7.0,10.0,7.0,8.0,9.0,8.0,8.0,6.0,6.0,8.0,8.0,10.0,11.0,9.0,10.0,7.0,9.0,8.0,7.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,6.0,9.0,9.0,9.0,9.0,8.0,7.0,9.0,11.0
>ENST00000445207.1,9.0,13.0,9.0,11.0,10.0,0.0,10.0,9.0,9.0,12.0,11.0,10.0,8.0,9.0,319.0,12.0,9.0,11.0,8.0,8.0,10.0,7.0,9.0,11.0,9.0,12.0,7.0,9.0,9.0,9.0,11.0,11.0,10.0,11.0,10.0,10.0,9.0,10.0,11.0,9.0,9.0,10.0,9.0,11.0,9.0,8.0,13.0,10.0,11.0,11.0,9.0,10.0,9.0,10.0
>ENST00000430315.2,10.0,10.0,9.0,9.0,8.0,10.0,0.0,9.0,9.0,8.0,7.0,10.0,8.0,8.0,10.0,9.0,10.0,9.0,8.0,8.0,9.0,7.0,10.0,10.0,8.0,10.0,10.0,8.0,9.0,12.0,11.0,10.0,8.0,11.0,9.0,9.0,9.0,8.0,10.0,10.0,11.0,9.0,9.0,9.0,9.0,6.0,9.0,9.0,8.0,10.0,7.0,9.0,9.0,182.0
>ENST00000604554.1,9.0,11.0,8.0,12.0,8.0,9.0,9.0,0.0,9.0,8.0,10.0,10.0,8.0,9.0,10.0,9.0,8.0,11.0,8.0,8.0,10.0,8.0,9.0,11.0,8.0,9.0,9.0,8.0,12.0,9.0,11.0,8.0,8.0,11.0,9.0,10.0,10.0,8.0,9.0,12.0,10.0,8.0,9.0,10.0,8.0,7.0,9.0,9.0,9.0,9.0,7.0,7.0,8.0,9.0
>ENST00000449328.1,9.0,11.0,11.0,10.0,8.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,7.0,10.0,12.0,11.0,9.0,10.0,10.0,9.0,9.0,7.0,10.0,12.0,8.0,8.0,10.0,10.0,10.0,10.0,11.0,10.0,9.0,13.0,9.0,11.0,10.0,9.0,9.0,10.0,12.0,13.0,10.0,11.0,10.0,8.0,11.0,9.0,12.0,10.0,9.0,10.0,9.0,11.0
>ENST00000417593.1,8.0,12.0,9.0,9.0,6.0,12.0,8.0,8.0,9.0,0.0,8.0,8.0,7.0,11.0,10.0,10.0,10.0,9.0,10.0,7.0,10.0,7.0,9.0,11.0,8.0,10.0,8.0,9.0,7.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,12.0,10.0,10.0,11.0,11.0,10.0,10.0,9.0,7.0,10.0,11.0,12.0,9.0,8.0,7.0,11.0,8.0
>ENST00000603159.1,7.0,11.0,9.0,9.0,8.0,11.0,7.0,10.0,9.0,8.0,0.0,9.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,6.0,10.0,7.0,8.0,10.0,8.0,9.0,8.0,9.0,8.0,12.0,10.0,8.0,7.0,9.0,8.0,8.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,12.0,8.0,7.0,8.0,8.0,10.0,9.0,6.0,8.0,8.0,10.0
>ENST00000488305.1,9.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,0.0,9.0,11.0,9.0,8.0,8.0,9.0,10.0,9.0,10.0,7.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,8.0,10.0,11.0,10.0,9.0,8.0,11.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,7.0,9.0,10.0,9.0,10.0,7.0,7.0,9.0,11.0
>ENST00000619728.1,8.0,9.0,7.0,9.0,5.0,8.0,8.0,8.0,7.0,7.0,9.0,9.0,0.0,7.0,9.0,9.0,7.0,7.0,7.0,7.0,8.0,6.0,7.0,10.0,6.0,9.0,7.0,8.0,10.0,8.0,10.0,7.0,9.0,9.0,6.0,8.0,7.0,8.0,7.0,9.0,10.0,8.0,8.0,7.0,6.0,7.0,7.0,10.0,8.0,8.0,8.0,6.0,10.0,9.0
>ENST00000544535.1,9.0,11.0,9.0,11.0,8.0,9.0,8.0,9.0,10.0,11.0,8.0,11.0,7.0,0.0,11.0,10.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,11.0,9.0,9.0,8.0,10.0,10.0,9.0,13.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,11.0,10.0,9.0,10.0,10.0,7.0,10.0,7.0,13.0,8.0,10.0,10.0,9.0,8.0,8.0,10.0
>ENST00000425640.1,8.0,13.0,11.0,11.0,8.0,319.0,10.0,10.0,12.0,10.0,10.0,9.0,9.0,11.0,0.0,11.0,9.0,11.0,9.0,8.0,10.0,8.0,9.0,11.0,10.0,9.0,8.0,9.0,9.0,9.0,13.0,10.0,10.0,11.0,11.0,12.0,10.0,10.0,9.0,11.0,11.0,9.0,10.0,10.0,9.0,7.0,11.0,10.0,11.0,10.0,7.0,10.0,9.0,10.0
>ENST00000521552.1,9.0,11.0,10.0,9.0,7.0,12.0,9.0,9.0,11.0,10.0,9.0,8.0,9.0,10.0,11.0,0.0,9.0,9.0,8.0,8.0,10.0,7.0,10.0,11.0,8.0,11.0,8.0,10.0,9.0,9.0,11.0,11.0,10.0,10.0,8.0,10.0,11.0,11.0,12.0,9.0,13.0,11.0,9.0,8.0,10.0,8.0,10.0,11.0,10.0,8.0,9.0,9.0,9.0,10.0
>ENST00000451333.1,8.0,11.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,8.0,8.0,7.0,9.0,9.0,9.0,0.0,9.0,8.0,11.0,10.0,7.0,9.0,10.0,8.0,10.0,8.0,13.0,9.0,10.0,15.0,9.0,10.0,10.0,10.0,9.0,12.0,10.0,10.0,13.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0
>ENST00000415152.1,9.0,12.0,9.0,11.0,9.0,11.0,9.0,11.0,10.0,9.0,9.0,9.0,7.0,10.0,11.0,9.0,9.0,0.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,12.0,10.0,10.0,10.0,12.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,11.0,9.0,9.0,9.0,12.0,9.0,13.0,9.0,9.0,8.0,9.0,10.0
>ENST00000419316.1,8.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,10.0,10.0,9.0,10.0,7.0,9.0,9.0,8.0,8.0,9.0,0.0,8.0,9.0,9.0,11.0,11.0,8.0,9.0,8.0,10.0,8.0,9.0,12.0,8.0,10.0,11.0,9.0,10.0,9.0,10.0,8.0,10.0,11.0,12.0,10.0,10.0,10.0,8.0,10.0,7.0,9.0,11.0,9.0,9.0,8.0,8.0
>ENST00000445629.1,9.0,9.0,9.0,9.0,7.0,8.0,8.0,8.0,9.0,7.0,6.0,9.0,7.0,8.0,8.0,8.0,11.0,10.0,8.0,0.0,12.0,8.0,7.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,11.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,6.0,8.0,10.0,9.0,10.0,8.0,7.0,9.0,10.0
>ENST00000456871.1,9.0,10.0,9.0,11.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,9.0,9.0,12.0,0.0,8.0,8.0,12.0,9.0,10.0,10.0,11.0,9.0,9.0,10.0,10.0,11.0,10.0,9.0,8.0,11.0,13.0,10.0,11.0,10.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,12.0,8.0,8.0,9.0,10.0
ENSG00000200298.1,8.0,10.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,6.0,9.0,8.0,7.0,7.0,9.0,9.0,8.0,8.0,0.0,8.0,8.0,9.0,8.0,6.0,7.0,7.0,8.0,8.0,7.0,7.0,9.0,7.0,8.0,7.0,7.0,9.0,7.0,10.0,7.0,8.0,8.0,8.0,6.0,8.0,8.0,9.0,9.0,6.0,7.0,8.0,7.0
>ENST00000481802.1,11.0,12.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,8.0,11.0,7.0,9.0,9.0,10.0,9.0,9.0,11.0,7.0,8.0,8.0,0.0,12.0,10.0,9.0,11.0,8.0,11.0,10.0,10.0,10.0,9.0,10.0,11.0,12.0,10.0,9.0,10.0,10.0,10.0,10.0,13.0,7.0,9.0,7.0,10.0,11.0,8.0,11.0,9.0,8.0,9.0,9.0
ENSG00000100197.20,11.0,11.0,12.0,13.0,9.0,11.0,10.0,11.0,12.0,11.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,11.0,9.0,12.0,8.0,12.0,0.0,13.0,10.0,9.0,10.0,9.0,10.0,11.0,10.0,11.0,12.0,12.0,10.0,13.0,11.0,10.0,10.0,12.0,11.0,11.0,11.0,10.0,8.0,10.0,10.0,11.0,12.0,9.0,11.0,10.0,11.0
>ENST00000547971.1,9.0,12.0,8.0,11.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,6.0,9.0,10.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,13.0,0.0,10.0,8.0,9.0,9.0,8.0,11.0,10.0,10.0,10.0,8.0,8.0,7.0,11.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,9.0
>ENST00000613014.1,11.0,10.0,8.0,9.0,8.0,12.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,10.0,9.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,0.0,7.0,8.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,8.0,10.0,9.0,10.0,8.0,13.0,11.0,11.0,10.0,11.0,8.0,11.0,8.0
>ENST00000412037.2,9.0,10.0,10.0,10.0,6.0,7.0,10.0,9.0,10.0,8.0,8.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,6.0,11.0,9.0,8.0,7.0,0.0,7.0,7.0,9.0,9.0,10.0,7.0,10.0,8.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,10.0,7.0,7.0,6.0,8.0,11.0,9.0,7.0,11.0,8.0,7.0,8.0
>ENST00000559378.4,7.0,9.0,8.0,8.0,6.0,9.0,8.0,8.0,10.0,9.0,9.0,10.0,8.0,10.0,9.0,10.0,13.0,9.0,10.0,8.0,11.0,7.0,8.0,10.0,9.0,8.0,7.0,0.0,8.0,8.0,9.0,10.0,11.0,9.0,9.0,9.0,14.0,10.0,8.0,9.0,10.0,10.0,8.0,8.0,11.0,7.0,9.0,8.0,12.0,10.0,9.0,8.0,9.0,9.0
>ENST00000436677.1,8.0,11.0,7.0,9.0,8.0,9.0,9.0,12.0,10.0,7.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,7.0,11.0,9.0,9.0,9.0,7.0,8.0,0.0,10.0,10.0,9.0,8.0,12.0,10.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,8.0,8.0,9.0,7.0,8.0,9.0,10.0,10.0,9.0,8.0,10.0,8.0
