,ENSG00000200693.2,ENSG00000239672.7,ENSG00000252096.1,ENSG00000221189.1,ENSG00000273818.1,ENSG00000252962.1,ENSG00000227151.4,ENSG00000202160.1
ENSG00000200693.2,0.0,9.0,6.0,9.0,7.0,9.0,10.0,9.0
ENSG00000239672.7,9.0,0.0,10.0,9.0,12.0,9.0,12.0,12.0
ENSG00000252096.1,6.0,10.0,0.0,7.0,7.0,6.0,9.0,6.0
ENSG00000221189.1,9.0,9.0,7.0,0.0,7.0,6.0,8.0,7.0
ENSG00000273818.1,7.0,12.0,7.0,7.0,0.0,9.0,12.0,6.0
ENSG00000252962.1,9.0,9.0,6.0,6.0,9.0,0.0,8.0,6.0
ENSG00000227151.4,10.0,12.0,9.0,8.0,12.0,8.0,0.0,10.0
ENSG00000202160.1,9.0,12.0,6.0,7.0,6.0,6.0,10.0,0.0
