,>ENST00000536213.1,>ENST00000435701.1,>ENST00000518911.1,>ENST00000571702.1,>ENST00000330155.3,>ENST00000541142.1,>ENST00000502748.1,>ENST00000557286.2,>ENST00000448870.1,>ENST00000550518.1,>ENST00000512182.2,>ENST00000413128.1,>ENST00000376400.3,>ENST00000429522.1,>ENST00000399740.2,ENSG00000199364.1,ENSG00000238295.1,>ENST00000425793.1,>ENST00000526864.1,ENSG00000281003.1,>ENST00000524155.2,>ENST00000438795.1,>ENST00000510867.2,>ENST00000558361.1,>ENST00000557918.1,>ENST00000411473.1,>ENST00000426885.1,>ENST00000522680.1,>ENST00000606338.1,>ENST00000429407.1,>ENST00000589904.1,>ENST00000511041.1,>ENST00000457622.1,>ENST00000451645.1,>ENST00000400019.2,>ENST00000461341.2,>ENST00000395193.2,>ENST00000460237.2,>ENST00000435600.1,>ENST00000612843.1,>ENST00000439303.1,>ENST00000448403.2,>ENST00000474343.1,>ENST00000603021.1,>ENST00000425060.1,>ENST00000430307.1,>ENST00000430381.1,>ENST00000417526.2,>ENST00000413691.2,>ENST00000440877.1,>ENST00000432156.1,>ENST00000432472.1,>ENST00000442212.1,>ENST00000399417.3,>ENST00000404829.2,>ENST00000447199.1,>ENST00000438434.2,>ENST00000445502.1,>ENST00000426762.1,>ENST00000463711.1,>ENST00000422868.2,>ENST00000489784.1,>ENST00000462701.1,>ENST00000447050.1,>ENST00000443620.1,>ENST00000520330.1,>ENST00000448956.1
>ENST00000536213.1,0.0,9.0,9.0,8.0,10.0,10.0,9.0,11.0,10.0,9.0,11.0,10.0,10.0,8.0,12.0,7.0,7.0,11.0,10.0,7.0,10.0,8.0,10.0,9.0,8.0,11.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,8.0,10.0,11.0,9.0,9.0,9.0,10.0,8.0,10.0,8.0,10.0,8.0,9.0,10.0,10.0,11.0,9.0,8.0,11.0,8.0,12.0,9.0,8.0,10.0,10.0,8.0,7.0,11.0,10.0,9.0,9.0,9.0,8.0,8.0
>ENST00000435701.1,9.0,0.0,10.0,10.0,10.0,9.0,12.0,10.0,11.0,12.0,9.0,11.0,8.0,9.0,9.0,8.0,8.0,11.0,9.0,9.0,10.0,12.0,10.0,10.0,9.0,11.0,11.0,11.0,10.0,11.0,8.0,11.0,13.0,9.0,12.0,11.0,10.0,10.0,9.0,10.0,11.0,11.0,12.0,10.0,8.0,9.0,11.0,9.0,10.0,10.0,9.0,10.0,11.0,10.0,11.0,11.0,10.0,9.0,12.0,8.0,10.0,11.0,10.0,10.0,9.0,9.0,9.0
>ENST00000518911.1,9.0,10.0,0.0,9.0,9.0,9.0,14.0,9.0,10.0,8.0,9.0,10.0,8.0,10.0,9.0,9.0,7.0,10.0,8.0,10.0,10.0,10.0,9.0,8.0,7.0,10.0,10.0,9.0,10.0,10.0,8.0,11.0,11.0,9.0,10.0,11.0,11.0,9.0,11.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,10.0,10.0,9.0,7.0,11.0,8.0,10.0,7.0,9.0,11.0,10.0,9.0,9.0,7.0,8.0
>ENST00000571702.1,8.0,10.0,9.0,0.0,11.0,9.0,11.0,10.0,11.0,8.0,9.0,8.0,9.0,10.0,9.0,7.0,7.0,10.0,9.0,8.0,9.0,10.0,8.0,10.0,9.0,10.0,8.0,11.0,10.0,12.0,9.0,10.0,12.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,8.0,9.0,7.0,10.0,10.0,8.0,10.0,8.0,8.0,12.0,9.0,10.0,9.0,10.0,11.0,9.0,9.0,9.0,8.0
>ENST00000330155.3,10.0,10.0,9.0,11.0,0.0,10.0,11.0,11.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,10.0,9.0,9.0,12.0,10.0,10.0,8.0,10.0,15.0,13.0,11.0,11.0,11.0,10.0,12.0,11.0,13.0,9.0,15.0,10.0,9.0,9.0,9.0,11.0,9.0,10.0,9.0,11.0,8.0,9.0,8.0,9.0,8.0,10.0,10.0,10.0,12.0,12.0,9.0,8.0,11.0,10.0,8.0,13.0,9.0,9.0,8.0
>ENST00000541142.1,10.0,9.0,9.0,9.0,10.0,0.0,10.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,7.0,8.0,9.0,8.0,7.0,11.0,9.0,9.0,12.0,8.0,8.0,9.0,9.0,11.0,10.0,8.0,9.0,10.0,9.0,10.0,11.0,10.0,9.0,8.0,8.0,11.0,9.0,8.0,10.0,8.0,9.0,8.0,12.0,8.0,7.0,9.0,10.0,8.0,9.0,10.0,9.0,8.0,12.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,7.0
>ENST00000502748.1,9.0,12.0,14.0,11.0,11.0,10.0,0.0,10.0,10.0,10.0,11.0,10.0,9.0,11.0,10.0,9.0,8.0,12.0,8.0,19.0,11.0,9.0,11.0,11.0,9.0,10.0,9.0,11.0,10.0,11.0,9.0,9.0,16.0,10.0,14.0,11.0,13.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,11.0,9.0,11.0,11.0,10.0,9.0,10.0,10.0,13.0,12.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,12.0,11.0,10.0,11.0,9.0
>ENST00000557286.2,11.0,10.0,9.0,10.0,11.0,9.0,10.0,0.0,9.0,10.0,12.0,10.0,10.0,9.0,9.0,8.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,11.0,8.0,10.0,9.0,10.0,10.0,11.0,11.0,12.0,12.0,12.0,11.0,11.0,9.0,9.0,8.0,10.0,9.0,10.0,8.0,9.0,10.0,8.0,11.0,9.0,10.0,8.0,8.0,10.0,11.0,9.0,10.0,8.0,7.0,9.0,11.0,9.0,13.0,10.0,10.0,10.0,8.0
>ENST00000448870.1,10.0,11.0,10.0,11.0,9.0,8.0,10.0,9.0,0.0,9.0,9.0,10.0,8.0,10.0,10.0,7.0,7.0,13.0,9.0,9.0,13.0,9.0,9.0,10.0,7.0,10.0,8.0,10.0,10.0,9.0,9.0,8.0,10.0,8.0,9.0,11.0,8.0,11.0,8.0,8.0,8.0,8.0,11.0,10.0,9.0,10.0,8.0,8.0,10.0,8.0,8.0,9.0,8.0,10.0,10.0,8.0,8.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0,7.0
>ENST00000550518.1,9.0,12.0,8.0,8.0,9.0,8.0,10.0,10.0,9.0,0.0,9.0,12.0,7.0,9.0,9.0,8.0,7.0,10.0,8.0,9.0,11.0,8.0,11.0,10.0,9.0,9.0,10.0,8.0,11.0,11.0,9.0,10.0,9.0,8.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,10.0,10.0,8.0,10.0,11.0,8.0,9.0,11.0,11.0,7.0,8.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,7.0
