,>ENST00000579401.1,>ENST00000422174.1,>ENST00000455141.2,>ENST00000524732.2,>ENST00000416942.2,>ENST00000477936.2,>ENST00000513196.1,>ENST00000452829.1,>ENST00000470205.2,>ENST00000402084.1,>ENST00000524313.1,>ENST00000506567.1,ENSG00000173894.10,>ENST00000451650.1,>ENST00000422068.1,>ENST00000453405.1,>ENST00000483126.1
>ENST00000579401.1,0.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,9.0,9.0,12.0,10.0,13.0,10.0,8.0,9.0,12.0
>ENST00000422174.1,10.0,0.0,10.0,13.0,11.0,10.0,11.0,8.0,9.0,10.0,10.0,13.0,12.0,10.0,8.0,10.0,12.0
>ENST00000455141.2,10.0,10.0,0.0,11.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,13.0,11.0,8.0,8.0,12.0
>ENST00000524732.2,10.0,13.0,11.0,0.0,11.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,11.0,10.0,6.0,9.0,10.0
>ENST00000416942.2,10.0,11.0,9.0,11.0,0.0,11.0,11.0,8.0,8.0,11.0,8.0,11.0,14.0,11.0,8.0,11.0,10.0
>ENST00000477936.2,10.0,10.0,10.0,8.0,11.0,0.0,13.0,9.0,9.0,8.0,9.0,9.0,13.0,11.0,8.0,8.0,10.0
>ENST00000513196.1,10.0,11.0,9.0,9.0,11.0,13.0,0.0,10.0,9.0,8.0,9.0,10.0,13.0,9.0,8.0,8.0,11.0
>ENST00000452829.1,8.0,8.0,9.0,8.0,8.0,9.0,10.0,0.0,7.0,7.0,8.0,8.0,10.0,9.0,5.0,8.0,9.0
>ENST00000470205.2,9.0,9.0,9.0,9.0,8.0,9.0,9.0,7.0,0.0,10.0,8.0,7.0,12.0,8.0,7.0,9.0,9.0
>ENST00000402084.1,9.0,10.0,8.0,10.0,11.0,8.0,8.0,7.0,10.0,0.0,9.0,9.0,10.0,10.0,7.0,8.0,11.0
>ENST00000524313.1,12.0,10.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,0.0,8.0,11.0,9.0,8.0,8.0,9.0
>ENST00000506567.1,10.0,13.0,9.0,9.0,11.0,9.0,10.0,8.0,7.0,9.0,8.0,0.0,10.0,9.0,7.0,7.0,9.0
ENSG00000173894.10,13.0,12.0,13.0,11.0,14.0,13.0,13.0,10.0,12.0,10.0,11.0,10.0,0.0,13.0,9.0,11.0,13.0
>ENST00000451650.1,10.0,10.0,11.0,10.0,11.0,11.0,9.0,9.0,8.0,10.0,9.0,9.0,13.0,0.0,8.0,9.0,14.0
>ENST00000422068.1,8.0,8.0,8.0,6.0,8.0,8.0,8.0,5.0,7.0,7.0,8.0,7.0,9.0,8.0,0.0,5.0,9.0
>ENST00000453405.1,9.0,10.0,8.0,9.0,11.0,8.0,8.0,8.0,9.0,8.0,8.0,7.0,11.0,9.0,5.0,0.0,9.0
>ENST00000483126.1,12.0,12.0,12.0,10.0,10.0,10.0,11.0,9.0,9.0,11.0,9.0,9.0,13.0,14.0,9.0,9.0,0.0
